Year,State,Total Schools - All management,Total Schools - Government,Total Schools - Government aided,Total Schools - Pvt. unaided,Total Schools - Others,Schools with toilet facility - All management,Schools with toilet facility - Government,Schools with toilet facility - Government aided,Schools with toilet facility - Pvt. unaided,Schools with toilet facility - Others,Schools with functional toilet facility - All management,Schools with functional toilet facility - Government,Schools with functional toilet facility - Government aided,Schools with functional toilet facility - Pvt. unaided,Schools with functional toilet facility - Others
2020-21,Puducherry,741,422,33,286,0,741,422,33,286,0,741,422,33,286,0
2020-21,Punjab,28695,19330,455,8893,17,28695,19330,455,8893,17,28695,19330,455,8893,17
2020-21,Rajasthan,107376,68813,0,36023,2540,105865,67482,0,35971,2412,99980,64128,0,33677,2175
2020-21,Sikkim,1263,851,19,393,0,1262,850,19,393,0,1261,849,19,393,0
2020-21,Tamil Nadu,58904,37589,8326,12402,587,58904,37589,8326,12402,587,58904,37589,8326,12402,587
2020-21,Telangana,42917,30015,700,12023,179,40694,27922,637,11958,177,35876,23181,607,11913,175
2020-21,Tripura,4934,4265,43,360,266,4745,4140,43,356,206,4104,3545,42,341,176
2020-21,Uttar Pradesh,256911,137068,8125,96741,14977,255370,135867,8092,96512,14899,250875,132816,8019,95363,14677
2020-21,Uttarakhand,23169,16651,614,5396,508,22814,16318,605,5383,508,22057,15627,598,5332,500
2020-21,West Bengal,95153,83379,87,10042,1645,95086,83359,86,10020,1621,95086,83359,86,10020,1621
2021-22,India,1489115,1022386,82480,335844,48405,1469891,1010386,80067,334584,44854,1436286,983943,78399,330411,43533
2021-22,Andaman and Nicobar Islands,416,342,2,72,0,416,342,2,72,0,416,342,2,72,0
2021-22,Andhra Pradesh,61948,45137,1542,15058,211,61080,44318,1502,15049,211,60767,44034,1487,15036,210
2021-22,Arunachal Pradesh,3603,2985,68,503,47,3502,2891,68,497,46,2686,2083,68,490,45
2021-22,Assam,60859,45490,3841,5852,5676,56017,44864,2804,5715,2634,52857,43179,2249,5429,2000
2021-22,Bihar,93165,75558,742,8097,8768,92880,75299,737,8090,8754,92542,74980,736,8086,8740
2021-22,Chandigarh,233,123,7,76,27,233,123,7,76,27,233,123,7,76,27
2021-22,Chhattisgarh,56512,48743,417,7063,289,56292,48523,417,7063,289,55686,47935,414,7049,288
2021-22,Daman and Diu and Dadra and Nagar Haveli,460,388,8,63,1,460,388,8,63,1,460,388,8,63,1
2021-22,Delhi,5619,2762,247,2610,0,5619,2762,247,2610,0,5619,2762,247,2610,0
2021-22,Goa,1510,814,557,139,0,1510,814,557,139,0,1510,814,557,139,0
2021-22,Gujarat,53851,34699,5590,13559,3,53742,34594,5588,13557,3,53363,34219,5585,13556,3
2021-22,Haryana,23726,14562,16,8261,887,23541,14377,16,8261,887,23471,14315,16,8256,884
2021-22,Himachal Pradesh,18028,15380,0,2646,2,17954,15306,0,2646,2,17890,15249,0,2639,2
2021-22,Jammu and Kashmir,28805,23173,1,5526,105,27718,22106,1,5508,103,26041,20436,1,5501,103
2021-22,Jharkhand,44855,35840,1175,1559,6281,44526,35620,1095,1558,6253,43759,34993,1043,1553,6170
2021-22,Karnataka,76450,49679,7110,19650,11,76122,49375,7109,19627,11,75607,48877,7106,19613,11
2021-22,Kerala,16240,5010,7183,3164,883,16233,5003,7183,3164,883,16224,4996,7182,3164,882
2021-22,Ladakh,978,838,28,112,0,973,833,28,112,0,958,818,28,112,0
2021-22,Lakshadweep,38,38,0,0,0,38,38,0,0,0,38,38,0,0,0
2021-22,Madhya Pradesh,125582,92695,740,30345,1802,124854,92075,739,30255,1785,122904,90391,732,30027,1754
2021-22,Maharashtra,109605,65639,24037,19268,661,108511,64581,24013,19256,661,105710,62038,23910,19101,661
2021-22,Manipur,4617,2889,583,1010,135,4421,2768,509,1009,135,3830,2314,379,1005,132
2021-22,Meghalaya,14600,7783,4172,2120,525,12938,7317,3624,1632,365,11141,6256,3133,1424,328
2021-22,Mizoram,3911,2563,230,1034,84,3790,2482,224,1004,80,3608,2316,219,996,77
2021-22,Nagaland,2718,1960,0,757,1,2553,1809,0,743,1,2183,1455,0,727,1
2021-22,Odisha,62291,49072,5807,6104,1308,61168,48476,5325,6075,1292,59725,47293,5135,6027,1270
2021-22,Puducherry,736,422,33,281,0,736,422,33,281,0,736,422,33,281,0
2021-22,Punjab,27701,19259,450,7978,14,27670,19229,450,7977,14,27639,19198,450,7977,14
2021-22,Rajasthan,106373,68948,0,34826,2599,105017,67731,0,34793,2493,99683,64614,0,32814,2255
2021-22,Sikkim,1259,864,19,376,0,1259,864,19,376,0,1257,862,19,376,0
2021-22,Tamil Nadu,58801,37636,8323,12396,446,58801,37636,8323,12396,446,58801,37636,8323,12396,446
2021-22,Telangana,43083,30023,700,12193,167,40791,27899,627,12100,165,35682,22859,601,12058,164
2021-22,Tripura,4929,4262,43,363,261,4725,4125,43,361,196,4066,3506,43,348,169
2021-22,Uttar Pradesh,258054,137024,8113,97808,15109,256576,135887,8080,97570,15039,252833,133467,8008,96522,14836
2021-22,Uttarakhand,22815,16484,608,5225,498,22544,16225,602,5219,498,21687,15451,591,5163,482
2021-22,West Bengal,94744,83302,88,9750,1604,94681,83284,87,9730,1580,94674,83284,87,9725,1578
