Year,State,Total Girls and Co-educational Schools - All management,Total Girls and Co-educational Schools - Government,Total Girls and Co-educational Schools - Government aided,Total Girls and Co-educational Schools - Pvt. unaided,Total Girls and Co-educational Schools - Others,Schools with girl's toilet facility - All management,Schools with girl's toilet facility - Government,Schools with girl's toilet facility - Government aided,Schools with girl's toilet facility - Pvt. unaided,Schools with girl's toilet facility - Others,Schools with functional girl's toilet facility - All management,Schools with functional girl's toilet facility - Government,Schools with functional girl's toilet facility - Government aided,Schools with functional girl's toilet facility - Pvt. unaided,Schools with functional girl's toilet facility - Others
2019-20,Maharashtra,109211,65142,23624,19579,866,106475,62600,23557,19495,823,102403,58902,23409,19273,819
2019-20,Manipur,4657,2874,584,1014,185,3887,2328,387,1003,169,3297,1847,291,997,162
2019-20,Meghalaya,14713,7796,4172,2192,553,11310,6372,3216,1379,343,9865,5514,2816,1234,301
2019-20,Mizoram,3923,2551,231,1046,95,3651,2363,224,977,87,3509,2252,212,963,82
2019-20,Nagaland,2757,2010,0,746,1,2584,1851,0,732,1,2480,1756,0,723,1
2019-20,Odisha,66938,53199,5830,6368,1541,63455,52710,4087,5461,1197,56522,46084,3930,5364,1144
2019-20,Puducherry,715,401,30,284,0,715,401,30,284,0,715,401,30,284,0
2019-20,Punjab,28555,19176,448,8617,314,28555,19176,448,8617,314,28555,19176,448,8617,314
2019-20,Rajasthan,106219,67646,0,36049,2524,103034,65328,0,35580,2126,96294,61428,0,32959,1907
2019-20,Sikkim,1199,780,15,404,0,1190,777,12,401,0,1185,774,11,400,0
2019-20,Tamil Nadu,58205,37195,8066,12337,607,57983,37042,8015,12321,605,57879,36943,8012,12319,605
2019-20,Telangana,41890,29388,690,11667,145,40670,28193,686,11654,137,39181,26744,681,11619,137
2019-20,Tripura,4927,4268,43,350,266,4446,3883,43,339,181,3795,3276,42,326,151
2019-20,Uttar Pradesh,253372,137392,7804,93549,14627,250080,135085,7666,92969,14360,244216,130991,7562,91588,14075
2019-20,Uttarakhand,23159,16663,582,5449,465,22119,15699,564,5394,462,21068,14727,553,5331,457
2019-20,West Bengal,94730,82602,76,10318,1734,94492,82563,75,10190,1664,94492,82563,75,10190,1664
2020-21,India,1496164,1021995,82995,339774,51400,1456073,995893,78377,336623,45180,1405114,953659,76705,330955,43795
2020-21,Andaman and Nicobar Islands,417,342,2,73,0,416,342,2,72,0,415,341,2,72,0
2020-21,Andhra Pradesh,62888,44789,2102,15764,233,59280,41844,1742,15521,173,49256,32635,1605,14853,163
2020-21,Arunachal Pradesh,3671,3061,64,495,51,3209,2606,63,490,50,2633,2041,63,480,49
2020-21,Assam,65052,46680,4980,6027,7365,56441,45296,2982,5675,2488,52941,43211,2423,5378,1929
2020-21,Bihar,93280,75410,724,7911,9235,91852,74075,716,7888,9173,91257,73541,713,7861,9142
2020-21,Chandigarh,229,121,7,74,27,229,121,7,74,27,229,121,7,74,27
