Year,State,Primary (1-5) - Boys,Primary (1-5) - Girls,Primary (1-5) - Total,Upper Primary (6-8) - Boys,Upper Primary (6-8) - Girls,Upper Primary (6-8) - Total,Elementary (1-8) - Boys,Elementary (1-8) - Girls,Elementary (1-8) - Total,Secondary (9-10) - Boys,Secondary (9-10) - Girls,Secondary (9-10) - Total,Higher Secondary (11-12) - Boys,Higher Secondary (11-12) - Girls,Higher Secondary (11-12) - Total
2018-19,India,88.5,89.8,89.1,68.2,69.9,69,87.83,89.15,88.46,48.2,49,48.6,30,31.7,30.8
2018-19,Andaman and Nicobar Islands,71.4,74.4,72.8,59.3,61.5,60.4,72.24,75.26,73.69,43.7,51,47.1,32.8,42.1,37.1
2018-19,Andhra Pradesh,82.7,77.4,80.1,65,62.8,63.9,85.35,81.2,83.33,49.7,47.7,48.8,27.7,28.7,28.2
2018-19,Arunachal Pradesh,86.3,86.6,86.5,55.3,59.4,57.3,85.34,87.13,86.22,37.4,39.9,38.6,19.8,21,20.4
2018-19,Assam,100,100,100,70.4,77.5,73.9,95.39,100,97.77,49,57.9,53.3,21.3,21.2,21.2
2018-19,Bihar,86.7,89.8,88.2,67.9,74.4,71,82.72,87.3,84.94,31,34.2,32.5,13,12.7,12.8
2018-19,Chandigarh,74.1,82,77.6,79.4,87,82.7,83.31,91.7,87.01,61.4,69.4,64.8,55.6,61.7,58.1
2018-19,Chhattisgarh,89.2,89.2,89.2,79.3,81.2,80.3,90.8,90.95,90.88,58.7,67.4,63,31.1,37.8,34.4
2018-19,Dadra and Nagar Haveli,76.4,79.9,78,67.8,71,69.3,87.58,89.89,88.66,48.9,60.7,53.9,18.4,35.8,24.4
2018-19,Daman and Diu,88.9,92.3,90.5,69.3,70.8,70,80.92,83.8,82.24,57.4,63.1,60,27,38.3,31.8
2018-19,Delhi,100,100,100,90.8,95,92.8,100,100,100,67.9,73.1,70.3,43.2,47.5,45.1
2018-19,Goa,88.7,93.5,91,76.2,79.2,77.6,89.8,93.47,91.54,62.5,67.8,65,42.3,51.2,46.5
2018-19,Gujarat,80.8,82.9,81.8,72.8,72.8,72.8,85.28,86.56,85.88,55.8,48.1,52.2,28.3,27.5,27.9
2018-19,Haryana,84.7,83.2,84.1,69.9,68.6,69.3,89.9,88.74,89.37,54.3,51.5,53,32.6,31.8,32.2
2018-19,Himachal Pradesh,89.8,91.5,90.6,74.7,75.5,75.2,92.51,93.98,93.21,67,67.3,67.2,52.3,55.1,53.6
2018-19,Jammu and Kashmir,67.4,70.5,68.8,46.4,48.7,47.5,65.65,68.62,67.03,33.1,33.8,33.4,24.6,24.1,24.4
2018-19,Jharkhand,95.1,93.9,94.5,69.8,72.6,71.2,90.23,90.49,90.35,40.6,43.1,41.9,19.6,20.1,19.8
2018-19,Karnataka,98.3,96.2,97.3,79.4,77.5,78.5,98.46,96.64,97.58,59.1,57.2,58.2,34.5,41.4,37.8
