Year,State,Number of Primary schools - Total,Number of Primary schools - Having AWC in the school campus,Number of Primary schools - Having Pre-Primary Sections,Number of Primary schools - Having AWC in the school campus or Pre-Primary Sections
2020-21,India,1251506,304711,365988,612894
2020-21,Andaman and Nicobar Islands,393,20,364,364
2020-21,Andhra Pradesh,50560,11793,6497,16758
2020-21,Arunachal Pradesh,3483,149,1062,1155
2020-21,Assam,51462,17054,33051,39241
2020-21,Bihar,85779,10242,9432,19599
2020-21,Chandigarh,226,8,211,211
2020-21,Chhattisgarh,38250,7362,6388,13749
2020-21,Daman and Diu and Dadra and Nagar Haveli,388,55,126,158
2020-21,Delhi,4952,0,2951,2951
2020-21,Goa,1140,239,409,627
2020-21,Gujarat,43864,10757,4262,14977
2020-21,Haryana,17826,3436,6840,9550
2020-21,Himachal Pradesh,13348,3084,6212,7759
2020-21,Jammu and Kashmir,27783,65,16602,16623
2020-21,Jharkhand,43165,2899,22506,23941
2020-21,Karnataka,61409,13472,13083,25591
2020-21,Kerala,13772,740,11158,11298
2020-21,Ladakh,985,289,881,898
2020-21,Lakshadweep,35,0,20,20
2020-21,Madhya Pradesh,113010,19352,31426,50130
2020-21,Maharashtra,98861,44054,13108,56073
2020-21,Manipur,4389,136,1588,1706
2020-21,Meghalaya,9757,846,8440,8580
2020-21,Mizoram,1956,2,998,998
2020-21,Nagaland,2506,74,2433,2435
2020-21,Odisha,53557,21660,3261,24214
2020-21,Puducherry,641,5,599,600
2020-21,Punjab,21986,7879,21382,21387
2020-21,Rajasthan,106223,24526,21857,44568
2020-21,Sikkim,1249,36,1166,1167
2020-21,Tamil Nadu,50571,10576,19865,24554
2020-21,Telangana,35437,9659,5630,15016
2020-21,Tripura,4855,480,491,961
2020-21,Uttar Pradesh,192213,59331,13882,71058
2020-21,Uttarakhand,17066,6048,2875,8922
2020-21,West Bengal,78409,18383,74932,75055
2021-22,India,1240854,293258,374027,611565
2021-22,Andaman and Nicobar Islands,392,22,363,363
2021-22,Andhra Pradesh,49847,8395,6553,13921
2021-22,Arunachal Pradesh,3410,179,1147,1263
2021-22,Assam,49043,18068,32272,38750
2021-22,Bihar,85409,8055,9149,17158
2021-22,Chandigarh,228,9,212,213
2021-22,Chhattisgarh,38397,9780,6384,16157
2021-22,Daman and Diu and Dadra and Nagar Haveli,398,42,128,149
2021-22,Delhi,4915,0,2952,2952
2021-22,Goa,1164,244,426,649
2021-22,Gujarat,43372,8018,4335,12327
2021-22,Haryana,17779,3481,6815,9559
2021-22,Himachal Pradesh,13222,3021,7006,8306
2021-22,Jammu and Kashmir,27665,46,25736,25739
2021-22,Jharkhand,42720,2653,22211,23510
2021-22,Karnataka,61246,13295,13111,25443
2021-22,Kerala,13535,747,11060,11198
2021-22,Ladakh,906,270,846,851
2021-22,Lakshadweep,29,2,19,19
2021-22,Madhya Pradesh,111385,18981,30318,48669
2021-22,Maharashtra,98394,43004,12737,54637
2021-22,Manipur,4354,157,1928,2056
2021-22,Meghalaya,9673,851,8453,8581
2021-22,Mizoram,1935,1,1035,1035
2021-22,Nagaland,2518,132,2449,2452
2021-22,Odisha,51821,17855,3305,20377
2021-22,Puducherry,634,4,596,597
2021-22,Punjab,21059,8552,20525,20529
2021-22,Rajasthan,105239,24356,21348,43945
2021-22,Sikkim,1245,45,1154,1155
2021-22,Tamil Nadu,50481,2193,19768,19788
2021-22,Telangana,35599,9688,6835,16084
2021-22,Tripura,4858,531,524,1041
2021-22,Uttar Pradesh,193228,66242,14819,78612
2021-22,Uttarakhand,16770,5884,2834,8718
2021-22,West Bengal,77984,18455,74674,74762
