Year,State,Total (Pre-primary to 12),Pre-Primary,Primary (1-5),Upper Primary (6-8),Elementary (1-8),Secondary (9-10),Higher Secondary (11-12)
2019-20,Uttar Pradesh,22069303,451733,9646636,4955895,14602531,4114954,2900085
2019-20,Uttarakhand,1298229,125020,625108,294418,919526,145684,107999
2019-20,West Bengal,2536216,659510,1332176,335610,1667786,124197,84723
2020-21,India,95157082,7067697,43009553,21088676,64098229,13358678,10632478
2020-21,Andaman and Nicobar Islands,22089,3686,10461,4519,14980,2229,1194
2020-21,Andhra Pradesh,3505297,155391,1513040,755086,2268126,487271,594509
2020-21,Arunachal Pradesh,88144,10934,48242,18193,66435,7760,3015
2020-21,Assam,1647409,217987,769343,352177,1121520,196051,111851
2020-21,Bihar,3389583,251240,1358751,677826,2036577,525993,575773
2020-21,Chandigarh,91576,13222,33692,19922,53614,13317,11423
2020-21,Chhattisgarh,1824071,260420,848537,375614,1224151,193257,146243
2020-21,Daman and Diu and Dadra and Nagar Haveli,37376,3680,18549,8323,26872,4495,2329
2020-21,Delhi,1781795,148333,826330,409949,1236279,215941,181242
2020-21,Goa,40382,7021,25468,4334,29802,2256,1303
2020-21,Gujarat,4376834,181107,2093632,1131437,3225069,560507,410151
2020-21,Haryana,3440885,183002,1458919,853291,2312210,547626,398047
2020-21,Himachal Pradesh,579342,65415,263894,130391,394285,75547,44095
2020-21,Jammu and Kashmir,1240551,221701,560838,272173,833011,136345,49494
2020-21,Jharkhand,1355868,69743,351796,283838,635634,332103,318388
2020-21,Karnataka,5317640,259174,2539417,1218694,3758111,679588,620767
2020-21,Kerala,1735940,209567,847683,372078,1219761,196461,110151
2020-21,Ladakh,29691,6129,13325,6591,19916,2948,698
2020-21,Lakshadweep,0,0,0,0,0,0,0
2020-21,Madhya Pradesh,7094440,766246,3303696,1719673,5023369,765407,539418
2020-21,Maharashtra,6537755,394698,3200560,1444241,4644801,864493,633763
2020-21,Manipur,461572,51300,187120,108466,295586,64944,49742
2020-21,Meghalaya,263613,55510,122729,31796,154525,33662,19916
2020-21,Mizoram,142674,23476,64786,29652,94438,13339,11421
2020-21,Nagaland,278271,43033,112079,61604,173683,38972,22583
2020-21,Odisha,1627444,109377,766314,330141,1096455,129083,292529
2020-21,Puducherry,150076,14652,62581,34353,96934,20819,17671
2020-21,Punjab,3235701,398095,1306947,737376,2044323,492121,301162
2020-21,Rajasthan,8732616,748107,4073583,1946950,6020533,1098307,865669
2020-21,Sikkim,47612,12855,23477,7123,30600,3004,1153
2020-21,Tamil Nadu,5909228,805110,2679516,1137182,3816698,695775,591645
2020-21,Telangana,3964350,227835,1840598,878916,2719514,515770,501231
2020-21,Tripura,126502,21413,59285,26048,85333,13337,6419
2020-21,Uttar Pradesh,22056925,392184,9588070,5007658,14595728,4110672,2958341
2020-21,Uttarakhand,1282798,90303,618015,305672,923687,152104,116704
2020-21,West Bengal,2741032,645751,1418280,387389,1805669,167174,122438
2021-22,India,88271316,5820991,38936394,20013229,58949623,12847281,10653421
2021-22,Andaman and Nicobar Islands,20802,2976,9800,4523,14323,2162,1341
2021-22,Andhra Pradesh,3321792,72367,1424096,734685,2158781,471757,618887
2021-22,Arunachal Pradesh,94940,15839,49944,18811,68755,7110,3236
2021-22,Assam,1595135,198859,720244,347938,1068182,195529,132565
2021-22,Bihar,3306257,231738,1296746,662425,1959171,507623,607725
2021-22,Chandigarh,88519,11950,32765,19616,52381,13293,10895
2021-22,Chhattisgarh,1643600,224219,756897,341086,1097983,173055,148343
2021-22,Daman and Diu and Dadra and Nagar Haveli,35223,3192,16567,8051,24618,4641,2772
2021-22,Delhi,1624522,128834,730571,380444,1111015,204119,180554
2021-22,Goa,39113,6875,24086,4286,28372,2300,1566
2021-22,Gujarat,4155768,157791,1955314,1085802,3041116,524294,432567
2021-22,Haryana,3301867,215283,1342458,815942,2158400,522646,405538
2021-22,Himachal Pradesh,536204,62214,238648,122804,361452,71468,41070
2021-22,Jammu and Kashmir,1235033,246965,539814,265437,805251,134441,48376
2021-22,Jharkhand,1307487,62004,325723,269839,595562,333826,316095
2021-22,Karnataka,5153185,238303,2406481,1208785,3615266,686706,612910
2021-22,Kerala,1624221,189129,779282,352448,1131730,188403,114959
2021-22,Ladakh,29758,6028,13145,6596,19741,3107,882
2021-22,Lakshadweep,0,0,0,0,0,0,0
2021-22,Madhya Pradesh,6523496,712250,2951878,1618895,4570773,688919,551554
2021-22,Maharashtra,6392405,332266,3058071,1453598,4511669,892307,656163
2021-22,Manipur,430166,43417,165655,103878,269533,65025,52191
2021-22,Meghalaya,265667,54913,120709,32663,153372,33642,23740
2021-22,Mizoram,137212,20751,61822,29477,91299,12982,12180
2021-22,Nagaland,273491,39341,109743,61037,170780,39260,24110
2021-22,Odisha,1361051,40240,670003,279641,949644,123115,248052
2021-22,Puducherry,133980,11748,52610,31212,83822,20347,18063
2021-22,Punjab,2864397,407569,1165572,616139,1781711,380577,294540
2021-22,Rajasthan,7584938,486039,3564895,1756369,5321264,943425,834210
2021-22,Sikkim,47581,13125,22913,7110,30023,3139,1294
2021-22,Tamil Nadu,5229947,558778,2363753,1038819,3402572,680473,588124
2021-22,Telangana,3514338,143967,1546425,842378,2388803,512102,469466
2021-22,Tripura,129032,21197,58630,27028,85658,14444,7733
2021-22,Uttar Pradesh,21095448,386589,8787874,4834295,13622169,4107018,2979672
2021-22,Uttarakhand,1238714,92771,574798,297467,872265,153296,120382
2021-22,West Bengal,1936027,381464,998462,333705,1332167,130730,91666
