Year,State,Total Schools - All management,Total Schools - Government,Total Schools - Government aided,Total Schools - Pvt. unaided,Total Schools - Others,Schools with ramps for CWSN - All management,Schools with ramps for CWSN - Government,Schools with ramps for CWSN - Government aided,Schools with ramps for CWSN - Pvt. unaided,Schools with ramps for CWSN - Others
2019-20,Punjab,28775,19377,457,8623,318,28475,19077,457,8623,318
2019-20,Rajasthan,106240,67660,0,36056,2524,63812,47084,0,16458,270
2019-20,Sikkim,1277,851,19,407,0,241,191,2,48,0
2019-20,Tamil Nadu,58897,37579,8328,12382,608,43364,33619,5310,4269,166
2019-20,Telangana,42575,30001,702,11688,184,36830,27301,234,9213,82
2019-20,Tripura,4940,4275,45,352,268,2575,2439,29,73,34
2019-20,Uttar Pradesh,254352,137638,8048,93750,14916,158262,108875,4436,40276,4675
2019-20,Uttarakhand,23295,16741,617,5467,470,13183,11731,169,1196,87
2019-20,West Bengal,95755,83456,93,10424,1782,71837,68995,55,2451,336
2020-21,India,1509136,1032049,84295,340753,52039,1067752,843470,51042,159721,13519
2020-21,Andaman and Nicobar Islands,417,342,2,73,0,234,212,0,22,0
2020-21,Andhra Pradesh,63343,45145,2121,15792,285,27737,23606,483,3607,41
2020-21,Arunachal Pradesh,3675,3061,67,496,51,781,681,16,78,6
2020-21,Assam,65203,46749,4983,6045,7426,43656,42317,394,700,245
2020-21,Bihar,93459,75555,735,7923,9246,65953,59833,334,2797,2989
2020-21,Chandigarh,230,121,7,75,27,200,118,5,70,7
2020-21,Chhattisgarh,56494,48619,430,7131,314,47624,43643,265,3596,120
2020-21,Daman and Diu and Dadra and Nagar Haveli,479,407,8,63,1,445,405,7,33,0
2020-21,Delhi,5642,2751,250,2641,0,5642,2751,250,2641,0
2020-21,Goa,1481,821,522,138,0,855,704,121,30,0
2020-21,Gujarat,54444,34967,5640,13834,3,44471,33821,3662,6985,3
2020-21,Haryana,23764,14563,17,8235,949,16581,11880,10,4361,330
2020-21,Himachal Pradesh,18145,15391,0,2753,1,13282,12805,0,477,0
