Year,State,Primary (1-5) - Boys,Primary (1-5) - Girls,Primary (1-5) - Total,Upper Primary (6-8) - Boys,Upper Primary (6-8) - Girls,Upper Primary (6-8) - Total,Elementary (1-8) - Boys,Elementary (1-8) - Girls,Elementary (1-8) - Total,Secondary (9-10) - Boys,Secondary (9-10) - Girls,Secondary (9-10) - Total
2019-20,Arunachal Pradesh,98.0,100.0,99.1,62.6,67.4,65.0,91.2,94.2,92.7,41.4,47.7,44.5
2019-20,Assam,100.0,100.0,100.0,79.2,87.3,83.2,100.0,100.0,100.0,50.8,60.2,55.4
2019-20,Bihar,89.4,92.8,91.0,79.4,86.5,82.9,87.2,92.0,89.5,44.0,46.4,45.1
2019-20,Chandigarh,77.6,87.2,81.9,84.4,95.3,89.1,83.9,93.6,88.2,69.3,81.0,74.3
2019-20,Chhattisgarh,92.1,92.4,92.2,77.1,78.3,77.7,89.7,90.1,89.9,57.7,63.1,60.3
2019-20,Dadra and Nagar Haveli,85.4,90.6,87.8,70.5,74.0,72.1,88.5,92.4,90.3,64.8,72.7,68.3
2019-20,Daman and Diu,77.3,82.7,79.8,69.8,78.2,73.7,82.0,87.2,84.4,47.2,63.2,53.9
2019-20,Delhi,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,85.5,90.0,87.6
2019-20,Goa,92.0,96.3,94.1,81.7,83.4,82.5,91.2,94.4,92.7,69.8,73.1,71.3
2019-20,Gujarat,88.8,92.0,90.3,79.3,78.9,79.1,87.8,89.7,88.7,66.0,58.3,62.4
2019-20,Haryana,95.8,96.5,96.1,87.7,88.1,87.9,97.3,97.2,97.3,71.1,70.5,70.8
2019-20,Himachal Pradesh,100.0,100.0,100.0,92.3,94.4,93.5,100.0,100.0,100.0,83.2,86.0,84.5
2019-20,Jammu and Kashmir,84.0,86.4,85.2,56.7,60.0,58.2,74.2,77.2,75.6,40.5,41.3,40.9
2019-20,Jharkhand,96.0,96.5,96.2,75.3,78.6,77.0,91.5,92.9,92.2,46.6,48.1,47.3
2019-20,Karnataka,100.0,100.0,100.0,96.3,96.3,96.3,100.0,100.0,100.0,78.6,79.3,79.0
2019-20,Kerala,96.1,95.9,95.9,90.6,90.6,90.5,96.8,96.5,96.6,83.2,84.4,83.8
2019-20,Ladakh,69.5,76.7,73.0,51.0,60.2,55.3,66.2,74.7,70.2,33.2,40.9,36.9
2019-20,Lakshadweep,76.7,76.2,76.4,59.3,55.6,57.3,72.5,69.0,70.8,53.9,61.6,57.7
2019-20,Madhya Pradesh,85.4,85.2,85.3,76.9,75.2,76.1,86.6,85.6,86.1,54.3,51.1,52.8
2019-20,Maharashtra,100.0,100.0,100.0,85.0,85.1,85.1,99.2,99.9,99.5,66.9,67.2,67.0
2019-20,Manipur,100.0,100.0,100.0,78.0,81.2,79.6,100.0,100.0,100.0,60.1,63.2,61.6
2019-20,Meghalaya,100.0,100.0,100.0,64.7,74.9,69.7,100.0,100.0,100.0,39.8,50.0,44.8
2019-20,Mizoram,100.0,100.0,100.0,71.7,74.1,72.9,100.0,100.0,100.0,52.2,59.9,55.9
2019-20,Nagaland,78.8,81.9,80.3,51.3,56.0,53.6,74.3,78.2,76.2,36.9,41.8,39.3
2019-20,Odisha,89.9,89.4,89.7,86.1,84.3,85.2,92.1,90.8,91.4,42.5,42.6,42.5
2019-20,Puducherry,84.2,85.6,84.9,79.4,81.0,80.2,82.9,84.3,83.6,66.0,75.8,70.6
2019-20,Punjab,100.0,100.0,100.0,97.5,100.0,99.1,100.0,100.0,100.0,87.8,93.4,90.3
2019-20,Rajasthan,91.8,92.8,92.3,77.3,72.0,74.8,92.3,90.7,91.6,63.1,56.0,59.7
2019-20,Sikkim,85.0,82.0,83.5,57.6,62.3,59.9,81.4,80.2,80.8,44.3,52.8,48.5
2019-20,Tamil Nadu,98.9,100.0,99.6,94.6,95.5,95.1,97.6,98.6,98.1,81.4,87.8,84.6
2019-20,Telangana,100.0,100.0,100.0,86.0,89.9,87.9,100.0,100.0,100.0,57.0,57.4,57.2
2019-20,Tripura,100.0,100.0,100.0,85.7,89.2,87.4,100.0,100.0,100.0,72.6,77.6,75.0
2019-20,Uttar Pradesh,96.1,100.0,98.4,73.1,74.2,73.6,90.3,93.8,91.9,52.2,48.2,50.3
2019-20,Uttarakhand,100.0,100.0,100.0,85.0,86.1,85.5,100.0,100.0,100.0,69.6,71.2,70.3
2019-20,West Bengal,100.0,100.0,100.0,77.0,81.7,79.3,99.4,100.0,100.0,62.2,75.8,68.8
2020-21,India,97.4,99.9,98.6,84.0,84.9,84.4,95.2,96.9,96.0,61.8,61.9,61.8
2020-21,Andaman and Nicobar Islands,68.8,73.4,71.0,61.6,65.9,63.7,69.1,72.9,70.9,52.4,58.9,55.4
2020-21,Andhra Pradesh,84.6,82.4,83.6,96.4,92.9,94.7,89.1,86.5,87.8,84.9,83.5,84.2
2020-21,Arunachal Pradesh,100.0,100.0,100.0,63.7,69.0,66.4,94.5,98.9,96.7,45.1,50.1,47.6
2020-21,Assam,100.0,100.0,100.0,82.4,90.6,86.4,100.0,100.0,100.0,53.6,63.4,58.4
2020-21,Bihar,95.7,98.0,96.8,85.5,90.5,88.0,93.1,96.3,94.7,48.9,51.7,50.2
2020-21,Chandigarh,72.9,82.6,77.2,79.0,90.1,83.8,79.2,89.3,83.7,67.3,78.0,71.8
2020-21,Chhattisgarh,92.6,92.9,92.7,79.2,80.1,79.6,90.1,90.5,90.3,59.4,64.8,62.1
2020-21,Daman and Diu and Dadra and Nagar Haveli,76.8,82.3,79.3,72.5,77.2,74.7,81.8,86.7,84.0,51.8,63.9,57.1
2020-21,Delhi,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,88.8,89.1,89.0
2020-21,Goa,88.8,92.9,90.7,80.1,83.2,81.6,88.0,91.7,89.8,72.5,76.0,74.1
2020-21,Gujarat,88.0,92.3,90.0,80.2,80.2,80.2,87.0,89.6,88.2,64.4,59.0,61.9
2020-21,Haryana,91.8,92.6,92.2,87.0,87.7,87.3,94.4,94.6,94.5,72.4,72.0,72.2
2020-21,Himachal Pradesh,100.0,100.0,100.0,92.2,94.6,93.6,99.9,100.0,100.0,84.8,86.3,85.5
2020-21,Jammu and Kashmir,92.5,94.5,93.5,56.9,60.0,58.3,78.2,81.2,79.6,44.1,44.0,44.1
2020-21,Jharkhand,96.5,97.3,96.8,77.9,80.6,79.2,92.3,93.5,92.9,47.2,49.4,48.3
2020-21,Karnataka,100.0,100.0,100.0,96.8,97.7,97.2,100.0,100.0,100.0,77.8,78.1,78.0
2020-21,Kerala,96.5,96.6,96.5,91.7,92.3,91.9,96.7,96.9,96.8,85.5,86.1,85.8
2020-21,Ladakh,69.4,74.7,71.9,49.0,59.4,53.9,65.9,73.7,69.6,34.7,41.4,38.0
2020-21,Lakshadweep,78.0,80.1,79.0,66.3,51.6,58.6,75.0,69.3,72.1,69.1,68.9,69.0
2020-21,Madhya Pradesh,84.2,84.3,84.3,78.4,76.6,77.5,85.6,84.8,85.2,51.5,49.2,50.4
2020-21,Maharashtra,97.4,100.0,99.2,84.7,84.5,84.6,97.3,99.1,98.2,66.1,66.3,66.2
2020-21,Manipur,100.0,100.0,100.0,79.7,83.2,81.4,100.0,100.0,100.0,62.0,63.9,62.9
2020-21,Meghalaya,100.0,100.0,100.0,68.9,79.6,74.2,100.0,100.0,100.0,41.9,51.2,46.5
2020-21,Mizoram,100.0,100.0,100.0,72.5,75.6,74.1,100.0,100.0,100.0,49.9,57.1,53.4
2020-21,Nagaland,83.1,86.7,84.8,51.9,56.5,54.1,75.5,80.2,77.7,38.4,43.9,41.0
2020-21,Odisha,100.0,100.0,100.0,95.3,91.5,93.4,100.0,100.0,100.0,42.6,41.5,42.0
2020-21,Puducherry,81.7,82.3,82.0,78.5,77.6,78.1,81.0,81.0,81.0,63.3,71.4,67.1
2020-21,Punjab,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.2,97.6,98.5
2020-21,Rajasthan,94.1,95.6,94.8,79.3,74.8,77.2,94.2,93.2,93.7,63.7,57.0,60.5
2020-21,Sikkim,91.3,88.2,89.7,58.3,60.9,59.6,83.2,81.3,82.2,46.0,53.0,49.5
2020-21,Tamil Nadu,98.6,100.0,99.5,97.4,97.2,97.3,98.2,99.2,98.7,85.6,89.4,87.4
2020-21,Telangana,100.0,100.0,100.0,92.7,95.2,93.9,100.0,100.0,100.0,59.7,60.5,60.1
2020-21,Tripura,100.0,100.0,100.0,80.5,83.5,81.9,100.0,100.0,100.0,61.1,68.1,64.5
2020-21,Uttar Pradesh,96.2,100.0,98.5,75.5,76.0,75.8,91.7,95.2,93.4,53.6,48.6,51.2
2020-21,Uttarakhand,100.0,100.0,100.0,87.4,88.6,88.0,100.0,100.0,100.0,71.4,73.0,72.0
2020-21,West Bengal,100.0,100.0,100.0,81.1,84.4,82.7,100.0,100.0,100.0,66.3,79.5,72.8
2021-22,India,97.6,100.0,99.1,87.0,87.5,87.3,95.6,97.5,96.5,64.7,64.7,64.7
2021-22,Andaman and Nicobar Islands,66.2,70.1,68.1,64.4,67.0,65.7,67.2,70.4,68.7,56.3,65.1,60.4
2021-22,Andhra Pradesh,96.7,98.2,97.4,92.6,91.0,91.8,97.1,96.7,96.9,69.6,67.7,68.7
2021-22,Arunachal Pradesh,100.0,100.0,100.0,70.8,75.1,72.9,98.4,100.0,100.0,50.1,53.6,51.8
2021-22,Assam,100.0,100.0,100.0,82.5,91.9,87.1,100.0,100.0,100.0,52.6,63.0,57.7
2021-22,Bihar,99.5,100.0,100.0,87.6,90.4,89.0,95.6,98.4,97.0,49.5,51.8,50.6
2021-22,Chandigarh,76.3,85.8,80.5,78.3,89.8,83.3,80.1,90.3,84.6,70.7,84.1,76.4
2021-22,Chhattisgarh,91.8,92.3,92.0,84.0,85.6,84.9,90.4,91.1,90.7,63.7,70.0,66.8
2021-22,Daman and Diu and Dadra and Nagar Haveli,81.0,86.6,83.6,79.7,84.6,82.0,85.0,89.9,87.3,56.8,69.0,62.2
2021-22,Delhi,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,92.6,88.9,90.9
2021-22,Goa,85.9,89.3,87.5,79.3,82.0,80.6,85.4,88.6,86.9,62.9,71.4,66.9
2021-22,Gujarat,87.9,93.2,90.3,84.0,83.3,83.7,87.6,90.6,89.0,64.6,61.3,63.0
2021-22,Haryana,94.8,96.7,95.7,92.7,92.8,92.7,97.3,98.2,97.7,78.3,78.1,78.2
2021-22,Himachal Pradesh,100.0,100.0,100.0,94.7,97.8,96.4,100.0,100.0,100.0,87.8,89.1,88.4
2021-22,Jammu and Kashmir,100.0,100.0,100.0,58.0,62.0,59.8,82.9,85.9,84.3,45.3,46.7,45.9
2021-22,Jharkhand,98.0,100.0,98.9,82.8,84.6,83.7,93.6,95.3,94.4,52.2,55.0,53.6
2021-22,Karnataka,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,75.3,76.2,75.8
2021-22,Kerala,100.0,100.0,100.0,99.9,99.4,99.6,100.0,100.0,100.0,85.7,87.8,86.8
2021-22,Ladakh,67.5,73.5,70.4,51.5,63.2,57.0,63.7,72.3,67.8,36.8,50.1,43.2
2021-22,Lakshadweep,76.5,77.8,77.1,65.0,52.6,58.5,73.5,68.8,71.2,58.3,61.5,59.9
2021-22,Madhya Pradesh,80.3,81.0,80.6,77.9,76.3,77.1,81.7,81.4,81.5,55.1,53.8,54.5
2021-22,Maharashtra,100.0,100.0,100.0,91.2,90.9,91.1,100.0,100.0,100.0,74.3,73.9,74.1
2021-22,Manipur,100.0,100.0,100.0,77.2,81.0,79.1,100.0,100.0,100.0,67.5,69.6,68.5
2021-22,Meghalaya,100.0,100.0,100.0,76.1,90.6,83.2,100.0,100.0,100.0,46.3,58.8,52.5
2021-22,Mizoram,100.0,100.0,100.0,84.3,88.4,86.3,100.0,100.0,100.0,60.4,67.5,63.9
2021-22,Nagaland,88.4,93.4,90.8,54.4,60.6,57.4,77.5,83.3,80.3,38.3,45.3,41.6
2021-22,Odisha,97.6,97.4,97.5,84.9,85.2,85.0,93.1,93.0,93.0,63.8,65.6,64.6
2021-22,Puducherry,76.4,77.0,76.7,75.3,78.1,76.7,76.2,77.6,76.9,62.3,71.4,66.6
2021-22,Punjab,96.4,97.4,96.9,80.4,86.2,83.0,98.3,100.0,99.2,61.9,67.8,64.6
2021-22,Rajasthan,94.0,96.5,95.2,84.5,80.2,82.5,93.8,93.6,93.7,69.5,62.9,66.4
2021-22,Sikkim,95.5,94.2,94.9,62.3,66.4,64.3,85.3,85.0,85.2,53.4,62.0,57.6
2021-22,Tamil Nadu,98.6,100.0,99.8,98.5,98.4,98.4,98.8,100.0,99.5,88.8,92.0,90.4
2021-22,Telangana,100.0,100.0,100.0,95.6,97.7,96.6,100.0,100.0,100.0,75.3,79.4,77.2
2021-22,Tripura,100.0,100.0,100.0,82.4,86.5,84.4,100.0,100.0,100.0,69.5,75.1,72.2
2021-22,Uttar Pradesh,95.3,100.0,97.5,83.1,82.7,82.9,92.7,95.5,94.0,58.7,53.1,56.0
2021-22,Uttarakhand,100.0,100.0,100.0,91.8,93.6,92.7,100.0,100.0,100.0,76.7,78.9,77.5
2021-22,West Bengal,100.0,100.0,100.0,85.4,86.7,86.0,100.0,100.0,100.0,69.1,76.4,72.7
