Year,State,Total - Admitted in class 1,Total - with pre-school experience in same school,Total - with pre-school experience in another school,Total - with pre-school experience in anganwadi/ECCE centre,Boys - Admitted in class 1,Boys - with pre-school experience in same school,Boys - with pre-school experience in another school,Boys - with pre-school experience in anganwadi/ECCE centre,Girls - Admitted in class 1,Girls - with pre-school experience in same school,Girls - with pre-school experience in another school,Girls - with pre-school experience in anganwadi/ECCE centre
2018-19,India,23013491,4628793,1677916,3207384,12018933,2457481,911568,1599718,10994558,2171312,766348,1607666
2018-19,Andaman and Nicobar Islands,5520,3098,1212,402,2843,1585,623,192,2677,1513,589,210
2018-19,Andhra Pradesh,704223,0,0,0,362720,0,0,0,341503,0,0,0
2018-19,Arunachal Pradesh,25902,3093,1541,2607,13313,1609,870,1334,12589,1484,671,1273
2018-19,Assam,829622,269075,50602,130065,424367,138647,26399,65083,405255,130428,24203,64982
2018-19,Bihar,1902029,58626,35343,209317,986550,33047,19295,104462,915479,25579,16048,104855
2018-19,Chandigarh,16450,9430,2969,793,8729,4949,1557,432,7721,4481,1412,361
2018-19,Chhattisgarh,551603,406937,143784,882,283720,210686,72534,500,267883,196251,71250,382
2018-19,Dadra and Nagar Haveli,8485,1617,1729,1683,4426,936,965,809,4059,681,764,874
2018-19,Daman and Diu,3966,1227,704,331,2131,668,386,160,1835,559,318,171
2018-19,Delhi,323412,182725,125276,15411,171865,89807,73555,8503,151547,92918,51721,6908
2018-19,Goa,25422,10548,4882,3094,13025,5372,2577,1571,12397,5176,2305,1523
2018-19,Gujarat,1107803,136466,59482,371128,586379,77200,33766,189623,521424,59266,25716,181505
2018-19,Haryana,516565,136008,47039,63256,283660,77385,26767,31940,232905,58623,20272,31316
2018-19,Himachal Pradesh,109564,29148,4965,14739,57395,15694,2788,7356,52169,13454,2177,7383
2018-19,Jammu and Kashmir,239822,110206,11637,4622,125050,56672,6352,2310,114772,53534,5285,2312
2018-19,Jharkhand,666998,123099,29613,112143,346553,66300,16570,55977,320445,56799,13043,56166
2018-19,Karnataka,1127477,385161,220256,522060,589604,214887,122846,251871,537873,170274,97410,270189
2018-19,Kerala,492616,211224,67324,31567,252369,108198,34816,16184,240247,103026,32508,15383
2018-19,Ladakh,5114,2324,336,322,2626,1218,175,160,2488,1106,161,162
2018-19,Lakshadweep,961,33,863,0,471,14,437,0,490,19,426,0
2018-19,Madhya Pradesh,1138533,141116,24237,155311,590048,77404,13645,77204,548485,63712,10592,78107
2018-19,Maharashtra,1947131,436956,228932,644666,1024751,236044,124442,325915,922380,200912,104490,318751
2018-19,Manipur,78779,23445,15840,11972,40188,12153,7970,6070,38591,11292,7870,5902
2018-19,Meghalaya,125953,77491,7817,1925,64617,39782,4050,1035,61336,37709,3767,890
2018-19,Mizoram,32371,12868,2676,8349,16770,6534,1400,4448,15601,6334,1276,3901
2018-19,Nagaland,29339,21510,2260,74,15158,11173,1133,33,14181,10337,1127,41
2018-19,Odisha,712315,260,97144,9938,367822,133,50352,4970,344493,127,46792,4968
2018-19,Puducherry,19949,11805,2827,172,10242,6206,1382,95,9707,5599,1445,77
2018-19,Punjab,435132,67865,20427,18499,236856,37224,11333,9451,198276,30641,9094,9048
2018-19,Rajasthan,1734659,224692,111375,211210,913914,125663,61373,102417,820745,99029,50002,108793
2018-19,Sikkim,6467,3141,1044,238,3409,1644,577,117,3058,1497,467,121
2018-19,Tamil Nadu,1058051,0,0,0,548597,0,0,0,509454,0,0,0
2018-19,Telangana,606798,241477,102257,155188,315701,129757,54704,75707,291097,111720,47553,79481
2018-19,Tripura,60491,5168,4101,18865,30627,2777,2044,9491,29864,2391,2057,9374
2018-19,Uttar Pradesh,4526939,138011,123683,345229,2371901,77220,67888,172368,2155038,60791,55795,172861
2018-19,Uttarakhand,222593,43914,22125,32235,119192,24635,12376,15944,103401,19279,9749,16291
2018-19,West Bengal,1614437,1099029,101614,109091,831344,564258,53621,55986,783093,534771,47993,53105
2019-20,India,21198140,5229038,2079966,3508905,11030874,2764673,1114604,1754188,10167266,2464365,965362,1754717
2019-20,Andaman and Nicobar Islands,5202,2888,1120,455,2638,1439,589,244,2564,1449,531,211
2019-20,Andhra Pradesh,791870,75675,565784,150411,414182,42062,293043,79077,377688,33613,272741,71334
2019-20,Arunachal Pradesh,30971,6591,3594,3558,15852,3485,1900,1758,15119,3106,1694,1800
2019-20,Assam,729193,260792,45114,139218,372522,134285,23422,69688,356671,126507,21692,69530
2019-20,Bihar,2040670,100376,46657,255699,1055969,57604,27123,126835,984701,42772,19534,128864
2019-20,Chandigarh,15759,9261,2999,1014,8221,4812,1618,482,7538,4449,1381,532
2019-20,Chhattisgarh,472933,93883,18623,209837,242017,50027,10279,104893,230916,43856,8344,104944
2019-20,Dadra and Nagar Haveli,8892,1627,1475,2330,4567,918,817,1134,4325,709,658,1196
2019-20,Daman and Diu,4104,1307,1163,617,2130,710,582,306,1974,597,581,311
2019-20,Delhi,327883,152059,144831,30993,172571,77376,79077,16118,155312,74683,65754,14875
2019-20,Goa,23341,9982,4144,2618,12045,5145,2299,1336,11296,4837,1845,1282
2019-20,Gujarat,1098394,171820,83101,422979,580484,95872,47054,215828,517910,75948,36047,207151
2019-20,Haryana,485923,143909,59549,62335,265900,81319,33831,31666,220023,62590,25718,30669
2019-20,Himachal Pradesh,96808,29376,5361,10197,50627,15738,2881,5111,46181,13638,2480,5086
