Year,State,All ages - Pre-Primary to Higher Secondary - Boys,All ages - Pre-Primary to Higher Secondary - Girls,All ages - Pre-Primary to Higher Secondary - Total,All ages - Pre-Primary - Boys,All ages - Pre-Primary - Girls,All ages - Pre-Primary - Total,All ages - Primary (1-5) - Boys,All ages - Primary (1-5) - Girls,All ages - Primary (1-5) - Total,All ages - Upper Primary (6-8) - Boys,All ages - Upper Primary (6-8) - Girls,All ages - Upper Primary (6-8) - Total,All ages - Secondary (9-10) - Boys,All ages - Secondary (9-10) - Girls,All ages - Secondary (9-10) - Total,All ages - Higher Secondary (11-12) - Boys,All ages - Higher Secondary (11-12) - Girls,All ages - Higher Secondary (11-12) - Total,< 6 years - All - Boys,< 6 years - All - Girls,< 6 years - All - Total,< 6 years - Pre-Primary - Boys,< 6 years - Pre-Primary - Girls,< 6 years - Pre-Primary - Total,< 6 years - Primary (1-5) - Boys,< 6 years - Primary (1-5) - Girls,< 6 years - Primary (1-5) - Total,6-10 years - All - Boys,6-10 years - All - Girls,6-10 years - All - Total,6-10 years - Primary (1-5) - Boys,6-10 years - Primary (1-5) - Girls,6-10 years - Primary (1-5) - Total,6-10 years - Upper Primary (6-8) - Boys,6-10 years - Upper Primary (6-8) - Girls,6-10 years - Upper Primary (6-8) - Total,11-13 years - All - Boys,11-13 years - All - Girls,11-13 years - All - Total,11-13 years - Primary (1-5) - Boys,11-13 years - Primary (1-5) - Girls,11-13 years - Primary (1-5) - Total,11-13 years - Upper Primary (6-8) - Boys,11-13 years - Upper Primary (6-8) - Girls,11-13 years - Upper Primary (6-8) - Total,11-13 years - Secondary (9-10) - Boys,11-13 years - Secondary (9-10) - Girls,11-13 years - Secondary (9-10) - Total,14-15 years - All - Boys,14-15 years - All - Girls,14-15 years - All - Total,14-15 years - Primary (1-5) - Boys,14-15 years - Primary (1-5) - Girls,14-15 years - Primary (1-5) - Total,14-15 years - Upper Primary (6-8) - Boys,14-15 years - Upper Primary (6-8) - Girls,14-15 years - Upper Primary (6-8) - Total,14-15 years - Secondary (9-10) - Boys,14-15 years - Secondary (9-10) - Girls,14-15 years - Secondary (9-10) - Total,14-15 years - Higher Secondary (11-12) - Boys,14-15 years - Higher Secondary (11-12) - Girls,14-15 years - Higher Secondary (11-12) - Total,16-17 years - All - Boys,16-17 years - All - Girls,16-17 years - All - Total,16-17 years - Primary (1-5) - Boys,16-17 years - Primary (1-5) - Girls,16-17 years - Primary (1-5) - Total,16-17 years - Upper Primary (6-8) - Boys,16-17 years - Upper Primary (6-8) - Girls,16-17 years - Upper Primary (6-8) - Total,16-17 years - Secondary (9-10) - Boys,16-17 years - Secondary (9-10) - Girls,16-17 years - Secondary (9-10) - Total,16-17 years - Higher Secondary (11-12) - Boys,16-17 years - Higher Secondary (11-12) - Girls,16-17 years - Higher Secondary (11-12) - Total,>17 years - All - Boys,>17 years - All - Girls,>17 years - All - Total,>17 years - Primary (1-5) - Boys,>17 years - Primary (1-5) - Girls,>17 years - Primary (1-5) - Total,>17 years - Upper Primary (6-8) - Boys,>17 years - Upper Primary (6-8) - Girls,>17 years - Upper Primary (6-8) - Total,>17 years - Secondary (9-10) - Boys,>17 years - Secondary (9-10) - Girls,>17 years - Secondary (9-10) - Total,>17 years - Higher Secondary (11-12) - Boys,>17 years - Higher Secondary (11-12) - Girls,>17 years - Higher Secondary (11-12) - Total,6-10 years - Pre-Primary - Boys,6-10 years - Pre-Primary - Girls,6-10 years - Pre-Primary - Total
2018-19,Lakshadweep,6427,6376,12803,585,543,1128,2470,2364,4834,1206,1308,2514,1079,1043,2122,1087,1118,2205,585,545,1130,585,543,1128,0,2,2,2469,2372,4841,2427,2314,4741,42,58,100,1349,1430,2779,43,47,90,1145,1228,2373,161,155,316,930,1030,1960,0,1,1,19,22,41,805,839,1644,106,168,274,847,916,1763,0,0,0,0,0,0,108,49,157,739,867,1606,247,83,330,0,0,0,0,0,0,5,0,5,242,83,325,NA,NA,NA
2018-19,Madhya Pradesh,8580700,7704078,16284778,316983,256770,573753,3942871,3621229,7564100,2223832,2007490,4231322,1336497,1152190,2488687,760517,666399,1426916,653262,559479,1212741,316983,256770,573753,336279,302709,638988,3491337,3223985,6715322,3307463,3051181,6358644,183874,172804,356678,2219327,2012477,4231804,286252,255335,541587,1732838,1577773,3310611,200237,179369,379606,1228898,1065569,2294467,9343,8407,17750,276223,233289,509512,805079,701104,1506183,138253,122769,261022,744673,645786,1390459,1990,2028,4018,24806,19407,44213,293187,241828,535015,424690,382523,807213,243203,196782,439985,1544,1569,3113,6091,4217,10308,37994,29889,67883,197574,161107,358681,NA,NA,NA
2018-19,Maharashtra,12398763,10832930,23231693,469420,406240,875660,5268893,4652459,9921352,3095100,2731600,5826700,1999833,1723380,3723213,1565517,1319251,2884768,591659,524163,1115822,469420,406240,875660,122239,117923,240162,4844790,4309484,9154274,4699175,4168819,8867994,145615,140665,286280,3016088,2664414,5680502,438935,361397,800332,2413737,2149422,4563159,163416,153595,317011,1915598,1679135,3594733,5368,2995,8363,510604,424634,935238,1292446,1142744,2435190,107180,108762,215942,1476465,1265384,2741849,2161,817,2978,19592,14044,33636,503102,405637,908739,951610,844886,1796496,554163,390350,944513,1015,508,1523,5552,2835,8387,40869,21404,62273,506727,365603,872330,NA,NA,NA
2018-19,Manipur,360830,346109,706939,35299,33149,68448,171156,163186,334342,78849,76724,155573,42685,42296,84981,32841,30754,63595,53658,50523,104181,35299,33149,68448,18359,17374,35733,154170,147293,301463,143206,136816,280022,10964,10477,21441,80245,78372,158617,9150,8628,17778,61724,60475,122199,9371,9269,18640,41842,41984,83826,374,306,680,5578,5254,10832,29884,29891,59775,6006,6533,12539,26058,24058,50116,52,47,99,426,393,819,3241,3003,6244,22339,20615,42954,4857,3879,8736,15,15,30,157,125,282,189,133,322,4496,3606,8102,NA,NA,NA
2018-19,Meghalaya,563584,581247,1144831,114325,109045,223370,261738,258411,520149,109540,122128,231668,51298,60052,111350,26683,31611,58294,127332,121630,248962,114325,109045,223370,13007,12585,25592,201270,199819,401089,195263,193245,388508,6007,6574,12581,116646,124404,241050,48686,48143,96829,65646,73246,138892,2314,3015,5329,61669,70286,131955,4315,4006,8321,30120,34100,64220,26557,31319,57876,677,861,1538,40375,46000,86375,425,387,812,6896,7333,14229,18041,21047,39088,15013,17233,32246,16292,19108,35400,42,45,87,871,875,1746,4386,4671,9057,10993,13517,24510,NA,NA,NA
2018-19,Mizoram,156340,150478,306818,19280,18354,37634,70525,66627,137152,34018,32438,66456,20816,20382,41198,11701,12677,24378,23291,22068,45359,19280,18354,37634,4011,3714,7725,54531,52874,107405,53430,51721,105151,1101,1153,2254,34855,33167,68022,12213,10585,22798,21644,21488,43132,998,1094,2092,21690,21306,42996,730,507,1237,9477,8348,17825,10514,11293,21807,969,1158,2127,15698,15606,31304,106,75,181,1558,1276,2834,7692,6815,14507,6342,7440,13782,6275,5457,11732,35,25,60,238,173,411,1612,1180,2792,4390,4079,8469,NA,NA,NA
2018-19,Nagaland,235681,228015,463696,45545,41850,87395,96158,91183,187341,50339,49776,100115,27585,28361,55946,16054,16845,32899,48565,44803,93368,45545,41850,87395,3020,2953,5973,82001,78200,160201,79811,75867,155678,2190,2333,4523,51115,49540,100655,12318,11414,23732,36672,35955,72627,2125,2171,4296,29309,29751,59060,865,833,1698,9580,9639,19219,17272,17806,35078,1592,1473,3065,17590,19078,36668,124,109,233,1614,1561,3175,6838,7105,13943,9014,10303,19317,7101,6643,13744,20,7,27,283,288,571,1350,1279,2629,5448,5069,10517,NA,NA,NA
2018-19,Odisha,4235833,4022997,8258830,85983,70516,156499,1864042,1741497,3605539,1106087,1020956,2127043,661926,631081,1293007,517795,558947,1076742,94016,77375,171391,85983,70516,156499,8033,6859,14892,1477355,1398946,2876301,1464959,1386435,2851394,12396,12511,24907,1150791,1068768,2219559,376119,335814,711933,766324,723437,1489761,8348,9517,17865,709614,657182,1366796,9284,7381,16665,301573,263909,565482,398063,385362,783425,694,530,1224,498977,499113,998090,1937,1797,3734,20450,16662,37112,234781,217824,452605,241809,262830,504639,305080,321613,626693,3710,3211,6921,5344,4437,9781,20734,18378,39112,275292,295587,570879,NA,NA,NA
2018-19,Puducherry,137747,133346,271093,16684,15367,32051,52345,49494,101839,31400,30019,61419,21165,20426,41591,16153,18040,34193,23789,22295,46084,16684,15367,32051,7105,6928,14033,51112,48299,99411,44791,42165,86956,6321,6134,12455,31481,29989,61470,447,400,847,24519,23392,47911,6515,6197,12712,19327,20175,39502,2,1,3,545,486,1031,14030,13506,27536,4750,6182,10932,11103,12098,23201,0,0,0,14,7,21,609,716,1325,10480,11375,21855,935,490,1425,0,0,0,1,0,1,11,7,18,923,483,1406,NA,NA,NA
2018-19,Punjab,3282931,2737152,6020083,410213,345180,755393,1250693,1056325,2307018,748335,621609,1369944,495877,404313,900190,377813,309725,687538,413491,348435,761926,410213,345180,755393,3278,3255,6533,898426,799490,1697916,894436,794661,1689097,3990,4829,8819,758199,641040,1399239,334529,247582,582111,418268,387013,805281,5402,6445,11847,492382,406632,899014,14887,8743,23630,284447,205837,490284,190669,188658,379327,2379,3394,5773,430482,356174,786656,2623,1474,4097,37300,21289,58589,256388,187845,444233,134171,145566,279737,289951,185381,475332,940,610,1550,4330,2641,6971,43418,21365,64783,241263,160765,402028,NA,NA,NA
2018-19,Rajasthan,9502688,8017339,17520027,594716,457749,1052465,4278269,3805179,8083448,2187909,1845666,4033575,1417353,1137762,2555115,1024441,770983,1795424,974138,802235,1776373,594716,457749,1052465,379422,344486,723908,3719558,3290885,7010443,3501284,3111764,6613048,218274,179121,397395,2229740,1886541,4116281,384942,338788,723730,1602001,1356026,2958027,242797,191727,434524,1351688,1087968,2439656,11296,9219,20515,334583,282450,617033,810939,651598,1462537,194870,144701,339571,938701,725977,1664678,1147,748,1895,30356,25793,56149,321915,259842,581757,585283,439594,1024877,288863,223733,512596,178,174,352,2695,2276,4971,41702,34595,76297,244288,186688,430976,NA,NA,NA
2018-19,Sikkim,73370,73099,146469,9945,9472,19417,26268,23326,49594,17431,17409,34840,12479,13837,26316,7247,9055,16302,10899,10431,21330,9945,9472,19417,954,959,1913,21734,20392,42126,20611,19316,39927,1123,1076,2199,15482,15175,30657,3908,2858,6766,10885,11370,22255,689,947,1636,10967,11158,22125,426,169,595,4321,3989,8310,5899,6518,12417,321,482,803,8529,9644,18173,185,21,206,934,837,1771,4428,4846,9274,2982,3940,6922,5759,6299,12058,184,3,187,168,137,305,1463,1526,2989,3944,4633,8577,NA,NA,NA
2018-19,Tamil Nadu,6857526,6559165,13416691,661392,575942,1237334,2748544,2556001,5304545,1616260,1521003,3137263,1050651,1001773,2052424,780679,904446,1685125,663026,577540,1240566,661392,575942,1237334,1634,1598,3232,2448200,2303638,4751838,2445188,2300899,4746087,3012,2739,5751,1615390,1528118,3143508,297806,250834,548640,1314873,1274262,2589135,2711,3022,5733,1058104,1015454,2073558,1625,1091,2716,290736,239305,530041,762419,769400,1531819,3324,5658,8982,871309,943151,1814460,657,443,1100,5504,3233,8737,280457,226534,506991,584691,712941,1297632,201497,191264,392761,1634,1136,2770,2135,1464,3599,5064,2817,7881,192664,185847,378511,NA,NA,NA
2018-19,Telangana,3435507,3265710,6701217,78359,66157,144516,1587999,1464116,3052115,865036,819005,1684041,546278,528056,1074334,357835,388376,746211,234439,239726,474165,78359,66157,144516,156080,173569,329649,1470903,1391816,2862719,1339267,1234053,2573320,131636,157763,289399,855334,808377,1663711,90218,55103,145321,644290,606981,1251271,120826,146293,267119,473444,440985,914429,2376,1349,3725,82566,50227,132793,352870,337866,690736,35632,51543,87175,315182,302700,617882,56,42,98,6481,3953,10434,68602,41420,110022,240043,257285,497328,86205,82106,168311,2,0,2,63,81,144,3980,2477,6457,82160,79548,161708,NA,NA,NA
2018-19,Tripura,375804,365572,741376,16729,13888,30617,168537,162844,331381,99608,98075,197683,61548,62987,124535,29382,27778,57160,18628,15680,34308,16729,13888,30617,1899,1792,3691,163673,158526,322199,161856,156742,318598,1817,1784,3601,97925,96247,194172,4686,4240,8926,91033,89690,180723,2206,2317,4523,58185,59404,117589,83,68,151,6452,6353,12805,50219,51277,101496,1431,1706,3137,31345,30279,61624,7,2,9,282,232,514,8556,8787,17343,22500,21258,43758,6048,5436,11484,6,0,6,24,16,40,567,606,1173,5451,4814,10265,NA,NA,NA
2018-19,Uttar Pradesh,23247214,21242344,44489558,204057,155087,359144,11788991,10997867,22786858,5449361,5165012,10614373,3367498,2837951,6205449,2437307,2086427,4523734,928737,783381,1712118,204057,155087,359144,724680,628294,1352974,11353612,10592629,21946241,10573528,9887139,20460667,780084,705490,1485574,5505963,5125034,10630997,474945,467246,942191,4125963,3903866,8029829,905055,753922,1658977,3147118,2736604,5883722,14274,13828,28102,504843,511346,1016189,1923823,1625810,3549633,704178,585620,1289798,1888600,1621672,3510272,1256,1125,2381,33354,38420,71774,483539,409846,893385,1370451,1172281,2542732,423184,383024,806208,308,235,543,5117,5890,11007,55081,48373,103454,362678,328526,691204,NA,NA,NA
2018-19,Uttarakhand,1294165,1158976,2453141,71099,56430,127529,564850,496740,1061590,311273,281285,592558,198935,179907,378842,148008,144614,292622,124125,104564,228689,71099,56430,127529,53026,48134,101160,525048,462935,987983,478023,420748,898771,47025,42187,89212,313805,279106,592911,32547,26870,59417,233883,210962,444845,47375,41274,88649,185043,169888,354931,1133,905,2038,28176,26141,54317,120989,110652,231641,34745,32190,66935,119694,114275,233969,115,75,190,2004,1843,3847,28131,25323,53454,89444,87034,176478,26450,28208,54658,6,8,14,185,152,337,2440,2658,5098,23819,25390,49209,NA,NA,NA
2018-19,West Bengal,8972890,9223060,18195950,866132,807167,1673299,4037789,3896093,7933882,2017817,2100756,4118573,1223688,1474594,2698282,827464,944450,1771914,918865,856443,1775308,866132,807167,1673299,52733,49276,102009,3859681,3711294,7570975,3772132,3628538,7400670,87549,82756,170305,2046300,2118340,4164640,207325,212969,420294,1682257,1732064,3414321,156718,173307,330025,1238977,1445542,2684519,3036,3124,6160,226922,260788,487710,881454,1040817,1922271,127565,140813,268378,770314,915841,1686155,1219,1102,2321,15955,20245,36200,171442,234089,405531,581698,660405,1242103,138753,175600,314353,1344,1084,2428,5134,4903,10037,14074,26381,40455,118201,143232,261433,NA,NA,NA
2019-20,India,137399463,127128112,264527575,7316838,6239054,13555892,63251749,58434954,121686703,33427571,31445816,64873387,20072356,18392077,38464433,13330949,12616211,25947160,11153473,9824483,20977956,7316838,6239054,13555892,3836635,3585429,7422064,59792473,55472487,115264960,56209090,52056698,108265788,3583383,3415789,6999172,33496052,31359113,64855165,3106257,2709044,5815301,26477634,24989099,51466733,3912161,3660970,7573131,18597407,17153759,35751166,92709,78404,171113,3132099,2832858,5964957,12914744,11885729,24800473,2457855,2356768,4814623,11481646,10811609,22293255,7058,5379,12437,211614,188270,399884,2971210,2611253,5582463,8291764,8006707,16298471,2878412,2506661,5385073,0,0,0,22841,19800,42641,274241,234125,508366,2581330,2252736,4834066,NA,NA,NA
2019-20,Andaman and Nicobar Islands,38794,38089,76883,4514,4242,8756,15136,14470,29606,9188,8981,18169,6544,6293,12837,3412,4103,7515,5214,5016,10230,4514,4242,8756,700,774,1474,14108,13626,27734,13384,12811,26195,724,815,1539,9041,8804,17845,1029,867,1896,7166,7139,14305,846,798,1644,5613,5651,11264,21,17,38,1194,958,2152,4083,4218,8301,315,458,773,3977,4143,8120,2,1,3,91,60,151,1478,1149,2627,2406,2933,5339,841,849,1690,0,0,0,13,9,22,137,128,265,691,712,1403,NA,NA,NA
2019-20,Andhra Pradesh,4313012,4010091,8323103,99762,86408,186170,1989042,1785425,3774467,1104938,1027165,2132103,687964,648735,1336699,431306,462358,893664,270309,268549,538858,99762,86408,186170,170547,182141,352688,1860213,1710513,3570726,1708554,1540749,3249303,151659,169764,321423,1120206,1032043,2152249,106277,60434,166711,862404,804864,1667268,151525,166745,318270,653016,613238,1266254,3325,1856,5181,84390,48543,132933,464314,440523,904837,100987,122316,223303,361776,352530,714306,339,245,584,5850,3405,9255,69338,40082,109420,286249,308798,595047,47492,33218,80710,0,0,0,635,589,1224,2787,1385,4172,44070,31244,75314,NA,NA,NA
2019-20,Arunachal Pradesh,174388,176662,351050,14928,13327,28255,86279,84360,170639,42012,44247,86259,20521,22507,43028,10648,12221,22869,23111,21184,44295,14928,13327,28255,8183,7857,16040,71972,70711,142683,67880,66694,134574,4092,4017,8109,41069,42600,83669,9451,9083,18534,28382,29881,58263,3236,3636,6872,22973,25107,48080,706,642,1348,7803,8224,16027,12661,13925,26586,1803,2316,4119,11746,13068,24814,59,84,143,1489,1811,3300,3916,4159,8075,6282,7014,13296,3517,3992,7509,0,0,0,246,314,560,708,787,1495,2563,2891,5454,NA,NA,NA
2019-20,Assam,3726869,3793231,7520100,262251,241951,504202,1859437,1817268,3676705,926070,989181,1915251,467441,535844,1003285,211670,208987,420657,332225,308184,640409,262251,241951,504202,69974,66233,136207,1798481,1764380,3562861,1722826,1686680,3409506,75655,77700,153355,880853,934949,1815802,64927,62810,127737,758821,809174,1567995,57105,62965,120070,439432,499139,938571,1605,1447,3052,87227,97581,184808,332617,381729,714346,17983,18382,36365,218381,231085,449466,105,98,203,3980,4352,8332,70458,83784,154242,143838,142851,286689,57497,55494,112991,0,0,0,387,374,761,7261,7366,14627,49849,47754,97603,NA,NA,NA
2019-20,Bihar,12815246,12505142,25320388,389897,255001,644898,6670180,6405013,13075193,3284500,3414018,6698518,1600590,1623746,3224336,870079,807364,1677443,597949,434318,1032267,389897,255001,644898,208052,179317,387369,6489156,6245565,12734721,6283977,6047733,12331710,205179,197832,403011,3613848,3744551,7358399,174763,174753,349516,2944526,3070346,6014872,494559,499452,994011,1383599,1373688,2757287,3268,3151,6419,127096,136763,263859,956460,956076,1912536,296775,277698,574473,600290,580341,1180631,120,59,179,6579,7700,14279,140544,156704,297248,453047,415878,868925,130404,126679,257083,0,0,0,1120,1377,2497,9027,11514,20541,120257,113788,234045,NA,NA,NA
2019-20,Chandigarh,142219,122732,264951,14408,12254,26662,49780,43927,93707,35114,29960,65074,21856,18674,40530,21061,17917,38978,16469,14319,30788,14408,12254,26662,2061,2065,4126,46589,41686,88275,44052,39249,83301,2537,2437,4974,34746,29830,64576,3589,2594,6183,28412,24520,52932,2745,2716,5461,22350,18913,41263,74,17,91,3899,2863,6762,15753,13482,29235,2624,2551,5175,18050,15276,33326,4,2,6,250,128,378,3172,2336,5508,14624,12810,27434,4015,2708,6723,0,0,0,16,12,28,186,140,326,3813,2556,6369,NA,NA,NA
2019-20,Chhattisgarh,3034316,2996893,6031209,188516,165490,354006,1356104,1295380,2651484,749495,731886,1481381,461221,482587,943808,278980,321550,600530,226819,200987,427806,188516,165490,354006,38303,35497,73800,1284045,1233127,2517172,1247158,1197464,2444622,36887,35663,72550,695985,678428,1374413,69355,61431,130786,589052,578768,1167820,37578,38229,75807,437435,451404,888839,1226,957,2183,117941,113123,231064,296374,311388,607762,21894,25936,47830,293442,330383,623825,62,31,93,5346,4149,9495,119101,125044,244145,168933,201159,370092,96590,102564,199154,0,0,0,269,183,452,8168,7926,16094,88153,94455,182608,NA,NA,NA
2019-20,Dadra and Nagar Haveli,46776,42234,89010,2131,1698,3829,22678,20445,43123,10412,9225,19637,7440,6655,14095,4115,4211,8326,2193,1762,3955,2131,1698,3829,62,64,126,19615,17960,37575,19401,17777,37178,214,183,397,12510,11187,23697,3116,2521,5637,8451,7627,16078,943,1039,1982,7086,6325,13411,88,79,167,1576,1314,2890,4962,4456,9418,460,476,936,4027,3841,7868,11,4,15,167,99,266,1379,1080,2459,2470,2658,5128,1345,1159,2504,0,0,0,4,2,6,156,80,236,1185,1077,2262,NA,NA,NA
2019-20,Daman and Diu,22643,20348,42991,1347,1139,2486,10419,9123,19542,5635,4977,10612,3387,3045,6432,1855,2064,3919,1830,1628,3458,1347,1139,2486,483,489,972,8918,8082,17000,8541,7669,16210,377,413,790,6005,5336,11341,1358,949,2307,4269,3860,8129,378,527,905,3267,2948,6215,37,16,53,900,661,1561,2227,2042,4269,103,229,332,2146,2068,4214,0,0,0,85,41,126,709,441,1150,1352,1586,2938,477,286,763,0,0,0,4,2,6,73,35,108,400,249,649,NA,NA,NA
2019-20,Delhi,2362965,2110678,4473643,154020,139006,293026,963919,847804,1811723,606032,533528,1139560,383492,343262,726754,255502,247078,502580,252232,227184,479416,154020,139006,293026,98212,88178,186390,914168,797390,1711558,829589,730356,1559945,84579,67034,151613,586805,509389,1096194,35803,29015,64818,469516,418778,888294,81486,61596,143082,353918,319374,673292,298,239,537,50279,45548,95827,247331,229141,476472,56010,44446,100456,218382,214090,432472,17,16,33,1658,2168,3826,52194,49023,101217,164513,162883,327396,37460,43251,80711,0,0,0,0,0,0,2481,3502,5983,34979,39749,74728,NA,NA,NA
2019-20,Goa,158512,148973,307485,13095,12172,25267,64225,60158,124383,37374,34621,71995,25599,23022,48621,18219,19000,37219,15020,13906,28926,13095,12172,25267,1925,1734,3659,60773,57180,117953,58933,55478,114411,1840,1702,3542,36911,34019,70930,3336,2921,6257,31479,29352,60831,2096,1746,3842,23908,21891,45799,31,25,56,3912,3462,7374,18615,16849,35464,1350,1555,2905,15332,16597,31929,0,0,0,136,102,238,4576,4215,8791,10620,12280,22900,6568,5380,11948,0,0,0,7,3,10,312,212,524,6249,5165,11414,NA,NA,NA
2019-20,Gujarat,6358883,5458331,11817214,187559,148048,335607,2924486,2604636,5529122,1641988,1443069,3085057,1042340,784225,1826565,562510,478353,1040863,432146,366862,799008,187559,148048,335607,244587,218814,463401,2741476,2438867,5180343,2552702,2273227,4825929,188774,165640,354414,1582205,1381583,2963788,125381,111142,236523,1312092,1161559,2473651,144732,108882,253614,968257,752339,1720596,1706,1337,3043,134051,110924,244975,751803,572360,1324163,80697,67718,148415,544647,449760,994407,110,116,226,6528,4597,11125,139298,98791,238089,398711,346256,744967,90152,68920,159072,0,0,0,543,349,892,6507,4192,10699,83102,64379,147481,NA,NA,NA
2019-20,Haryana,3307879,2699817,6007696,199876,153828,353704,1419217,1167256,2586473,802673,656764,1459437,537241,422002,959243,348872,299967,648839,362563,309956,672519,199876,153828,353704,162687,156128,318815,1289142,1073222,2362364,1152661,940197,2092858,136481,133025,269506,809412,657708,1467120,99423,68361,167784,577666,465443,1043109,132323,123904,256227,482649,381869,864518,4091,2414,6505,80794,53592,134386,310866,238635,549501,86898,87228,174126,297565,230671,528236,355,156,511,7200,4388,11588,84856,53781,138637,205154,172346,377500,66548,46391,112939,0,0,0,532,316,848,9196,5682,14878,56820,40393,97213,NA,NA,NA
2019-20,Himachal Pradesh,776657,705983,1482640,65964,57207,123171,301616,274912,576528,177323,160415,337738,128847,114452,243299,102907,98997,201904,103293,91696,194989,65964,57207,123171,37329,34489,71818,285163,261315,546478,255509,233616,489125,29654,27699,57353,175950,159257,335207,8533,6654,15187,136724,124325,261049,30693,28278,58971,114540,103397,217937,232,141,373,10433,8020,18453,83221,74329,157550,20654,20907,41561,82923,77389,160312,13,12,25,482,353,835,14158,11276,25434,68270,65748,134018,14788,12929,27717,0,0,0,30,18,48,775,569,1344,13983,12342,26325,NA,NA,NA
2019-20,Jammu and Kashmir,1334681,1207366,2542047,177356,157395,334751,571708,523143,1094851,299522,273567,573089,174451,154177,328628,111644,99084,210728,272333,245568,517901,177356,157395,334751,94977,88173,183150,523755,477013,1000768,456364,416197,872561,67391,60816,128207,281468,257841,539309,19794,18284,38078,209343,192134,401477,52331,47423,99754,142404,127254,269658,531,448,979,20793,18768,39561,99783,87814,187597,21297,20224,41521,89567,79205,168772,42,41,83,1829,1691,3520,20962,17586,38548,66734,59887,126621,25154,20485,45639,0,0,0,166,158,324,1375,1354,2729,23613,18973,42586,NA,NA,NA
2019-20,Jharkhand,4106795,3935072,8041867,309664,243066,552730,2005296,1880865,3886161,984010,1002898,1986908,476706,488825,965531,331119,319418,650537,391616,312413,704029,309664,243066,552730,81952,69347,151299,1877514,1769108,3646622,1812041,1707294,3519335,65473,61814,127287,1022907,1025133,2048040,107515,101223,208738,824345,837591,1661936,91047,86319,177366,467151,470731,937882,3538,2826,6364,85313,93871,179184,312140,316841,628981,66160,57193,123353,263766,272419,536185,250,175,425,7998,8615,16613,65581,77225,142806,189937,186404,376341,83841,85268,169109,0,0,0,881,1007,1888,7938,8440,16378,75022,75821,150843,NA,NA,NA
2019-20,Karnataka,6258371,5880734,12139105,324243,269977,594220,2829541,2614736,5444277,1606943,1520854,3127797,957117,879775,1836892,540527,595392,1135919,420527,368936,789463,324243,269977,594220,96284,98959,195243,2788358,2600542,5388900,2673085,2471835,5144920,115273,128707,243980,1588076,1495383,3083459,59090,43283,102373,1430586,1348750,2779336,98400,103350,201750,920068,859867,1779935,983,592,1575,57601,41196,98797,800335,737779,1538114,61149,80300,141449,469827,496583,966410,99,67,166,3053,1864,4917,56544,37634,94178,410131,457018,867149,71515,59423,130938,0,0,0,430,337,767,1838,1012,2850,69247,58074,127321,NA,NA,NA
2019-20,Kerala,3287627,3176444,6464071,318867,302593,621460,1270374,1213182,2483556,759893,726751,1486644,515267,488936,1004203,423226,444982,868208,383958,365628,749586,318867,302593,621460,65091,63035,128126,1214653,1162296,2376949,1146779,1097341,2244120,67874,64955,132829,763162,729942,1493104,57251,51807,109058,636492,611955,1248447,69419,66180,135599,493098,475055,968153,1097,862,1959,52643,47447,100090,390861,374856,765717,48497,51890,100387,371172,385185,756357,156,137,293,1947,1723,3670,53350,46374,99724,315719,336951,652670,61584,58338,119922,0,0,0,937,671,1608,1637,1526,3163,59010,56141,115151,NA,NA,NA
2019-20,Ladakh,28160,28873,57033,5182,4956,10138,11575,11318,22893,5872,6108,11980,3397,3759,7156,2134,2732,4866,6313,5989,12302,5182,4956,10138,1131,1033,2164,10078,10053,20131,9438,9322,18760,640,731,1371,5712,5921,11633,943,933,1876,4187,4367,8554,582,621,1203,3039,3360,6399,55,29,84,882,893,1775,1916,2158,4074,186,280,466,2210,2328,4538,8,1,9,134,112,246,801,835,1636,1267,1380,2647,808,1222,2030,0,0,0,29,5,34,98,145,243,681,1072,1753,NA,NA,NA
2019-20,Lakshadweep,6309,6297,12606,604,593,1197,2682,2442,5124,1246,1273,2519,834,943,1777,943,1046,1989,606,596,1202,604,593,1197,2,3,5,2579,2389,4968,2556,2361,4917,23,28,51,1313,1323,2636,124,78,202,1157,1161,2318,32,84,116,846,928,1774,0,0,0,66,84,150,766,816,1582,14,28,42,922,1024,1946,0,0,0,0,0,0,36,43,79,886,981,1867,43,37,80,0,0,0,0,0,0,0,0,0,43,37,80,NA,NA,NA
2019-20,Madhya Pradesh,8770735,7920911,16691646,500155,411394,911549,3964545,3650180,7614725,2245498,2050635,4296133,1295652,1112403,2408055,764885,696299,1461184,731681,623626,1355307,500155,411394,911549,231526,212232,443758,3634313,3356143,6990456,3436746,3177644,6614390,197567,178499,376066,2155451,1963684,4119135,287157,252541,539698,1694123,1561058,3255181,174171,150085,324256,1231193,1078999,2310192,8572,7374,15946,323623,287682,611305,788088,681396,1469484,110910,102547,213457,775287,687016,1462303,544,389,933,27701,21509,49210,300928,255335,556263,446114,409783,855897,242810,211443,454253,0,0,0,2484,1887,4371,32465,25587,58052,207861,183969,391830,NA,NA,NA
