Year,State,All ages - Pre-Primary to Higher Secondary - Boys,All ages - Pre-Primary to Higher Secondary - Girls,All ages - Pre-Primary to Higher Secondary - Total,All ages - Pre-Primary - Boys,All ages - Pre-Primary - Girls,All ages - Pre-Primary - Total,All ages - Primary (1-5) - Boys,All ages - Primary (1-5) - Girls,All ages - Primary (1-5) - Total,All ages - Upper Primary (6-8) - Boys,All ages - Upper Primary (6-8) - Girls,All ages - Upper Primary (6-8) - Total,All ages - Secondary (9-10) - Boys,All ages - Secondary (9-10) - Girls,All ages - Secondary (9-10) - Total,All ages - Higher Secondary (11-12) - Boys,All ages - Higher Secondary (11-12) - Girls,All ages - Higher Secondary (11-12) - Total,< 6 years - All - Boys,< 6 years - All - Girls,< 6 years - All - Total,< 6 years - Pre-Primary - Boys,< 6 years - Pre-Primary - Girls,< 6 years - Pre-Primary - Total,< 6 years - Primary (1-5) - Boys,< 6 years - Primary (1-5) - Girls,< 6 years - Primary (1-5) - Total,6-10 years - All - Boys,6-10 years - All - Girls,6-10 years - All - Total,6-10 years - Primary (1-5) - Boys,6-10 years - Primary (1-5) - Girls,6-10 years - Primary (1-5) - Total,6-10 years - Upper Primary (6-8) - Boys,6-10 years - Upper Primary (6-8) - Girls,6-10 years - Upper Primary (6-8) - Total,11-13 years - All - Boys,11-13 years - All - Girls,11-13 years - All - Total,11-13 years - Primary (1-5) - Boys,11-13 years - Primary (1-5) - Girls,11-13 years - Primary (1-5) - Total,11-13 years - Upper Primary (6-8) - Boys,11-13 years - Upper Primary (6-8) - Girls,11-13 years - Upper Primary (6-8) - Total,11-13 years - Secondary (9-10) - Boys,11-13 years - Secondary (9-10) - Girls,11-13 years - Secondary (9-10) - Total,14-15 years - All - Boys,14-15 years - All - Girls,14-15 years - All - Total,14-15 years - Primary (1-5) - Boys,14-15 years - Primary (1-5) - Girls,14-15 years - Primary (1-5) - Total,14-15 years - Upper Primary (6-8) - Boys,14-15 years - Upper Primary (6-8) - Girls,14-15 years - Upper Primary (6-8) - Total,14-15 years - Secondary (9-10) - Boys,14-15 years - Secondary (9-10) - Girls,14-15 years - Secondary (9-10) - Total,14-15 years - Higher Secondary (11-12) - Boys,14-15 years - Higher Secondary (11-12) - Girls,14-15 years - Higher Secondary (11-12) - Total,16-17 years - All - Boys,16-17 years - All - Girls,16-17 years - All - Total,16-17 years - Primary (1-5) - Boys,16-17 years - Primary (1-5) - Girls,16-17 years - Primary (1-5) - Total,16-17 years - Upper Primary (6-8) - Boys,16-17 years - Upper Primary (6-8) - Girls,16-17 years - Upper Primary (6-8) - Total,16-17 years - Secondary (9-10) - Boys,16-17 years - Secondary (9-10) - Girls,16-17 years - Secondary (9-10) - Total,16-17 years - Higher Secondary (11-12) - Boys,16-17 years - Higher Secondary (11-12) - Girls,16-17 years - Higher Secondary (11-12) - Total,>17 years - All - Boys,>17 years - All - Girls,>17 years - All - Total,>17 years - Primary (1-5) - Boys,>17 years - Primary (1-5) - Girls,>17 years - Primary (1-5) - Total,>17 years - Upper Primary (6-8) - Boys,>17 years - Upper Primary (6-8) - Girls,>17 years - Upper Primary (6-8) - Total,>17 years - Secondary (9-10) - Boys,>17 years - Secondary (9-10) - Girls,>17 years - Secondary (9-10) - Total,>17 years - Higher Secondary (11-12) - Boys,>17 years - Higher Secondary (11-12) - Girls,>17 years - Higher Secondary (11-12) - Total,6-10 years - Pre-Primary - Boys,6-10 years - Pre-Primary - Girls,6-10 years - Pre-Primary - Total
2018-19,Delhi,2335948,2080823,4416771,143385,129143,272528,960317,843183,1803500,598198,525240,1123438,384367,346665,731032,249681,236592,486273,242715,215697,458412,143385,129143,272528,99330,86554,185884,903165,784951,1688116,821085,721835,1542920,82080,63116,145196,582435,498676,1081111,39178,34137,73315,460518,406319,866837,82739,58220,140959,346090,313944,660034,612,540,1152,52447,51937,104384,242453,223015,465468,50578,38452,89030,219142,214925,434067,112,117,229,3153,3868,7021,54955,58998,113953,160922,151942,312864,42401,52630,95031,0,0,0,0,0,0,4220,6432,10652,38181,46198,84379,NA,NA,NA
2018-19,Goa,160605,150919,311524,15014,14365,29379,64005,59877,123882,37453,34504,71957,25355,22817,48172,18778,19356,38134,16969,15986,32955,15014,14365,29379,1955,1621,3576,58785,55628,114413,57314,54313,111627,1471,1315,2786,37018,34240,71258,4688,3919,8607,30606,28927,59533,1724,1394,3118,23362,21678,45040,47,22,69,5104,4038,9142,17413,16685,34098,798,933,1731,17730,17434,35164,1,2,3,259,210,469,5631,4394,10025,11839,12828,24667,6741,5953,12694,0,0,0,13,14,27,587,344,931,6141,5595,11736,NA,NA,NA
2018-19,Gujarat,6354525,5401087,11755612,154507,119753,274260,2869419,2549065,5418484,1745148,1511660,3256808,1039052,767544,1806596,546399,453065,999464,407470,344573,752043,154507,119753,274260,252963,224820,477783,2699522,2399901,5099423,2472330,2199410,4671740,227192,200491,427683,1655826,1426012,3081838,140257,121192,261449,1350661,1178436,2529097,164908,126384,291292,955630,731032,1686662,3307,3135,6442,153288,120758,274046,709068,531002,1240070,89967,76137,166104,535614,421952,957566,443,215,658,11644,8879,20523,155033,104085,259118,368494,308773,677267,100463,77617,178080,119,293,412,2363,3096,5459,10043,6073,16116,87938,68155,156093,NA,NA,NA
2018-19,Haryana,3252060,2642425,5894485,187558,142750,330308,1398262,1148267,2546529,800210,656307,1456517,540210,427357,967567,325820,267744,593564,357299,302615,659914,187558,142750,330308,169741,159865,329606,1275265,1056102,2331367,1133330,922832,2056162,141935,133270,275205,796592,645508,1442100,91552,63362,154914,571553,462347,1033900,133487,119799,253286,473881,378056,851937,3361,2040,5401,79015,55535,134550,306325,239575,545900,85180,80906,166086,286890,217696,504586,257,154,411,7030,4714,11744,90181,60872,151053,189422,151956,341378,62133,42448,104581,21,14,35,677,441,1118,10217,7111,17328,51218,34882,86100,NA,NA,NA
2018-19,Himachal Pradesh,774950,700801,1475751,55553,46063,101616,303536,277143,580679,179424,161514,340938,133145,118986,252131,103292,97095,200387,96082,83125,179207,55553,46063,101616,40529,37062,77591,290511,266509,557020,256503,234964,491467,34008,31545,65553,178482,160977,339459,6354,5022,11376,137215,123358,260573,34913,32597,67510,114829,104314,219143,139,88,227,7867,6346,14213,84584,75544,160128,22239,22336,44575,81113,74058,155171,11,6,17,299,242,541,12933,10386,23319,67870,63424,131294,13933,11818,25751,0,1,1,35,23,58,715,459,1174,13183,11335,24518,NA,NA,NA
2018-19,Jammu and Kashmir,1335778,1202735,2538513,176338,155428,331766,566321,517635,1083956,298216,270460,568676,171863,150854,322717,123040,108358,231398,276169,246741,522910,176338,155428,331766,99831,91313,191144,516854,471246,988100,446675,408393,855068,70179,62853,133032,282008,254081,536089,19325,17441,36766,207153,188949,396102,55530,47691,103221,140169,126660,266829,426,424,850,19314,17114,36428,95657,85711,181368,24772,23411,48183,90376,78427,168803,46,54,100,1338,1262,2600,19441,16569,36010,69551,60542,130093,30202,25580,55782,18,10,28,232,282,514,1235,883,2118,28717,24405,53122,NA,NA,NA
2018-19,Jharkhand,4180695,3982728,8163423,311115,243514,554629,2082267,1946604,4028871,992493,1001063,1993556,480371,487238,967609,314449,304309,618758,399333,321743,721076,311115,243514,554629,88218,78229,166447,1928936,1804202,3733138,1883071,1761390,3644461,45865,42812,88677,1029515,1021527,2051042,106902,103415,210317,852105,852578,1704683,70508,65534,136042,517217,520495,1037712,3682,3269,6951,85522,94952,180474,330575,334629,665204,97438,87645,185083,239651,242346,481997,364,269,633,8293,9843,18136,70805,76989,147794,160189,155245,315434,66043,72415,138458,30,32,62,708,878,1586,8483,10086,18569,56822,61419,118241,NA,NA,NA
2018-19,Karnataka,6177799,5772723,11950522,326896,269651,596547,2862959,2639544,5502503,1590525,1481692,3072217,937551,862714,1800265,459868,519122,978990,558536,498738,1057274,326896,269651,596547,231640,229087,460727,2831807,2634313,5466120,2570786,2367803,4938589,261021,266510,527531,1565128,1454161,3019289,51169,35067,86236,1275179,1178666,2453845,238780,240428,479208,769066,705898,1474964,1442,1038,2480,45802,30152,75954,654908,596058,1250966,66914,78650,145564,437102,467098,904200,1048,895,1943,3584,2379,5963,39516,23352,62868,392954,440472,833426,16160,12515,28675,6874,5654,12528,4939,3985,8924,4347,2876,7223,0,0,0,NA,NA,NA
2018-19,Kerala,3232568,3129043,6361611,281291,263774,545065,1258948,1205351,2464299,757739,725904,1483643,524090,496186,1020276,410500,437828,848328,365945,345859,711804,281291,263774,545065,84654,82085,166739,1204030,1152750,2356780,1125206,1077322,2202528,78824,75428,154252,760890,728438,1489328,47675,44950,92625,632851,606821,1239672,80364,76667,157031,501884,482910,984794,611,448,1059,43315,41395,84710,399916,378245,778161,58042,62822,120864,349630,366609,716239,351,222,573,1232,1062,2294,42403,40248,82651,305644,325077,630721,50189,52477,102666,451,324,775,1517,1198,2715,1407,1026,2433,46814,49929,96743,NA,NA,NA
2018-19,Ladakh,28156,28514,56670,5568,5149,10717,11355,11162,22517,5716,5909,11625,3380,3733,7113,2137,2561,4698,6710,6262,12972,5568,5149,10717,1142,1113,2255,9942,9769,19711,9187,9001,18188,755,768,1523,5703,6028,11731,964,1018,1982,4075,4294,8369,664,716,1380,3012,3400,6412,52,27,79,775,773,1548,1997,2345,4342,188,255,443,2262,2332,4594,8,2,10,91,70,161,668,632,1300,1495,1628,3123,527,723,1250,2,1,3,20,4,24,51,40,91,454,678,1132,NA,NA,NA
