Year,State,Pre-Primary - Boys,Pre-Primary - Girls,Pre-Primary - Total,Primary (1-5) - Boys,Primary (1-5) - Girls,Primary (1-5) - Total,Upper Primary (6-8) - Boys,Upper Primary (6-8) - Girls,Upper Primary (6-8) - Total,Elementary (1-8) - Boys,Elementary (1-8) - Girls,Elementary (1-8) - Total,Secondary (9-10) - Boys,Secondary (9-10) - Girls,Secondary (9-10) - Total,Higher Secondary (11-12) - Boys,Higher Secondary (11-12) - Girls,Higher Secondary (11-12) - Total,Primary to Higher Secondary (1-12) - Boys,Primary to Higher Secondary (1-12) - Girls,Primary to Higher Secondary (1-12) - Total,Total (Pre-Primary to Higher Secondary) - Boys,Total (Pre-Primary to Higher Secondary) - Girls,Total (Pre-Primary to Higher Secondary) - Total
2018-19,India,1195327,1201738,2397065,33288965,34250863,67539828,17039895,18091453,35131348,50328860,52342316,102671176,8214637,8778029,16992666,4322979,4729548,9052527,62866476,65849893,128716369,64061803,67051631,131113434
2018-19,Andaman and Nicobar Islands,1643,1684,3327,9481,9388,18869,6891,6689,13580,16372,16077,32449,4790,4685,9475,3592,3902,7494,24754,24664,49418,26397,26348,52745
2018-19,Andhra Pradesh,0,0,0,848904,879936,1728840,581339,627157,1208496,1430243,1507093,2937336,378214,407227,785441,82398,91868,174266,1890855,2006188,3897043,1890855,2006188,3897043
2018-19,Arunachal Pradesh,842,898,1740,48009,51767,99776,28852,34609,63461,76861,86376,163237,19367,19914,39281,10693,11163,21856,106921,117453,224374,107763,118351,226114
2018-19,Assam,132676,133979,266655,1309412,1361073,2670485,572479,642890,1215369,1881891,2003963,3885854,303158,362543,665701,126615,120695,247310,2311664,2487201,4798865,2444340,2621180,5065520
2018-19,Bihar,791,991,1782,5223519,5429269,10652788,2702278,2952076,5654354,7925797,8381345,16307142,1298894,1352030,2650924,455330,436175,891505,9680021,10169550,19849571,9680812,10170541,19851353
2018-19,Chandigarh,3595,3617,7212,27884,26114,53998,23028,20243,43271,50912,46357,97269,14483,13065,27548,13202,11664,24866,78597,71086,149683,82192,74703,156895
2018-19,Chhattisgarh,15784,15825,31609,898558,906174,1804732,550499,576091,1126590,1449057,1482265,2931322,334658,395208,729866,193186,234351,427537,1976901,2111824,4088725,1992685,2127649,4120334
2018-19,Dadra and Nagar Haveli,8,2,10,13916,13999,27915,7034,6876,13910,20950,20875,41825,5518,5042,10560,2967,3104,6071,29435,29021,58456,29443,29023,58466
2018-19,Daman and Diu,83,115,198,4720,4907,9627,2847,2954,5801,7567,7861,15428,1770,1850,3620,798,937,1735,10135,10648,20783,10218,10763,20981
2018-19,Delhi,40701,48479,89180,415665,443360,859025,318964,341978,660942,734629,785338,1519967,231016,247034,478050,133386,156893,290279,1099031,1189265,2288296,1139732,1237744,2377476
2018-19,Goa,363,356,719,12861,12336,25197,4246,3995,8241,17107,16331,33438,3047,2694,5741,2417,2181,4598,22571,21206,43777,22934,21562,44496
2018-19,Gujarat,5612,6215,11827,1618896,1613993,3232889,995090,982882,1977972,2613986,2596875,5210861,79009,75905,154914,25477,26195,51672,2718472,2698975,5417447,2724084,2705190,5429274
2018-19,Haryana,6186,6692,12878,446022,478392,924414,279799,308448,588247,725821,786840,1512661,195690,208535,404225,106639,113140,219779,1028150,1108515,2136665,1034336,1115207,2149543
2018-19,Himachal Pradesh,2909,2869,5778,151222,154974,306196,105060,105271,210331,256282,260245,516527,89079,86452,175531,78369,78364,156733,423730,425061,848791,426639,427930,854569
2018-19,Jammu and Kashmir,37519,39468,76987,267840,283670,551510,152434,157977,310411,420274,441647,861921,98638,94185,192823,97210,89351,186561,616122,625183,1241305,653641,664651,1318292
2018-19,Jharkhand,58067,58539,116606,1312161,1361642,2673803,631067,712643,1343710,1943228,2074285,4017513,275703,300343,576046,133625,149983,283608,2352556,2524611,4877167,2410623,2583150,4993773
2018-19,Karnataka,633,685,1318,1179432,1288241,2467673,729849,778769,1508618,1909281,2067010,3976291,327535,335366,662901,127023,183554,310577,2363839,2585930,4949769,2364472,2586615,4951087
2018-19,Kerala,61617,60594,122211,273830,267235,541065,188488,180006,368494,462318,447241,909559,155760,143012,298772,169311,182816,352127,787389,773069,1560458,849006,833663,1682669
2018-19,Ladakh,2113,2098,4211,4008,5047,9055,2270,3126,5396,6278,8173,14451,1980,2492,4472,1846,2257,4103,10104,12922,23026,12217,15020,27237
2018-19,Lakshadweep,585,543,1128,2470,2364,4834,1206,1308,2514,3676,3672,7348,1079,1043,2122,1087,1118,2205,5842,5833,11675,6427,6376,12803
2018-19,Madhya Pradesh,3191,3148,6339,2055132,2151784,4206916,1277568,1331030,2608598,3332700,3482814,6815514,820520,808634,1629154,409806,424383,834189,4563026,4715831,9278857,4566217,4718979,9285196
2018-19,Maharashtra,54069,53602,107671,2088564,2063112,4151676,576862,614335,1191197,2665426,2677447,5342873,122830,118003,240833,41878,38653,80531,2830134,2834103,5664237,2884203,2887705,5771908
2018-19,Manipur,3602,3640,7242,58316,58806,117122,18696,20416,39112,77012,79222,156234,9412,10199,19611,8799,9350,18149,95223,98771,193994,98825,102411,201236
2018-19,Meghalaya,51653,48701,100354,129108,126269,255377,48650,53449,102099,177758,179718,357476,4965,5336,10301,4911,5130,10041,187634,190184,377818,239287,238885,478172
2018-19,Mizoram,4622,4225,8847,32599,30109,62708,17134,15709,32843,49733,45818,95551,8956,8858,17814,3992,4540,8532,62681,59216,121897,67303,63441,130744
2018-19,Nagaland,20641,20353,40994,35882,37934,73816,17521,20670,38191,53403,58604,112007,7703,9236,16939,4424,4715,9139,65530,72555,138085,86171,92908,179079
2018-19,Odisha,26433,26595,53028,1389149,1387701,2776850,850165,828657,1678822,2239314,2216358,4455672,393730,383221,776951,104847,117790,222637,2737891,2717369,5455260,2764324,2743964,5508288
2018-19,Puducherry,3374,3578,6952,12676,13056,25732,9807,10497,20304,22483,23553,46036,7437,8117,15554,6468,8579,15047,36388,40249,76637,39762,43827,83589
2018-19,Punjab,110179,110199,220378,457693,443577,901270,318290,302548,620838,775983,746125,1522108,217367,205433,422800,159154,151476,310630,1152504,1103034,2255538,1262683,1213233,2475916
2018-19,Rajasthan,3777,3967,7744,1942253,2108636,4050889,1022238,1101807,2124045,2964491,3210443,6174934,692931,725607,1418538,454279,434690,888969,4111701,4370740,8482441,4115478,4374707,8490185
2018-19,Sikkim,2802,2814,5616,13670,12116,25786,13095,13534,26629,26765,25650,52415,10556,11748,22304,6404,7774,14178,43725,45172,88897,46527,47986,94513
2018-19,Tamil Nadu,7077,6825,13902,857228,873434,1730662,627845,660302,1288147,1485073,1533736,3018809,416813,446540,863353,297009,396404,693413,2198895,2376680,4575575,2205972,2383505,4589477
2018-19,Telangana,745,708,1453,559815,605278,1165093,415968,451419,867387,975783,1056697,2032480,262641,294902,557543,103884,128528,232412,1342308,1480127,2822435,1343053,1480835,2823888
2018-19,Tripura,950,757,1707,124790,127904,252694,81014,84032,165046,205804,211936,417740,51618,55547,107165,22727,22529,45256,280149,290012,570161,281099,290769,571868
2018-19,Uttar Pradesh,11530,9581,21111,5981886,6156878,12138764,1977130,2170871,4148001,7959016,8327749,16286765,160916,199884,360800,98369,129122,227491,8218301,8656755,16875056,8229831,8666336,16896167
2018-19,Uttarakhand,228,197,425,191255,202489,393744,114846,131277,246123,306101,333766,639867,87320,98872,186192,62559,79187,141746,455980,511825,967805,456208,512022,968230
2018-19,West Bengal,518727,519199,1037926,3290139,3257899,6548038,1769346,1834912,3604258,5059485,5092811,10152296,1119534,1329267,2448801,768298,866987,1635285,6947317,7289065,14236382,7466044,7808264,15274308
2019-20,India,1391365,1397673,2789038,32864878,33910220,66775098,16857692,18049432,34907124,49722570,51959652,101682222,8196448,8837395,17033843,4442690,4983841,9426531,62361708,65780888,128142596,63753073,67178561,130931634
2019-20,Andaman and Nicobar Islands,1770,1866,3636,9324,9251,18575,6739,6584,13323,16063,15835,31898,5246,5085,10331,2682,3358,6040,23991,24278,48269,25761,26144,51905
