Year,State,Total Schools - All management,Total Schools - Government,Total Schools - Government aided,Total Schools - Pvt. unaided,Total Schools - Others,Schools with library facility - All management,Schools with library facility - Government,Schools with library facility - Government aided,Schools with library facility - Pvt. unaided,Schools with library facility - Others
2019-20,Ladakh,1054,913,29,112,0,505,406,18,81,0
2019-20,Lakshadweep,45,45,0,0,0,45,45,0,0,0
2019-20,Madhya Pradesh,133379,99411,790,31201,1977,123847,93692,702,27985,1468
2019-20,Maharashtra,110229,65886,23791,19654,898,106723,65016,22940,18025,742
2019-20,Manipur,4663,2876,585,1015,187,1156,309,54,734,59
2019-20,Meghalaya,14730,7799,4180,2198,553,1781,1056,416,255,54
2019-20,Mizoram,3924,2552,231,1046,95,3152,2482,152,483,35
2019-20,Nagaland,2758,2011,0,746,1,1081,701,0,379,1
2019-20,Odisha,67020,53260,5839,6375,1546,63411,50607,5406,6073,1325
2019-20,Puducherry,741,422,33,286,0,741,422,33,286,0
2019-20,Punjab,28775,19377,457,8623,318,28775,19377,457,8623,318
2019-20,Rajasthan,106240,67660,0,36056,2524,79045,50305,0,28013,727
2019-20,Sikkim,1277,851,19,407,0,1141,804,16,321,0
2019-20,Tamil Nadu,58897,37579,8328,12382,608,58897,37579,8328,12382,608
2019-20,Telangana,42575,30001,702,11688,184,39382,28095,610,10578,99
2019-20,Tripura,4940,4275,45,352,268,3003,2702,32,191,78
2019-20,Uttar Pradesh,254352,137638,8048,93750,14916,186016,121819,5513,53148,5536
2019-20,Uttarakhand,23295,16741,617,5467,470,20313,15263,503,4311,236
2019-20,West Bengal,95755,83456,93,10424,1782,81635,75665,62,5013,895
2020-21,India,1509136,1032049,84295,340753,52039,1291577,923519,72715,268271,27072
2020-21,Andaman and Nicobar Islands,417,342,2,73,0,415,341,2,72,0
2020-21,Andhra Pradesh,63343,45145,2121,15792,285,57218,39773,1832,15361,252
2020-21,Arunachal Pradesh,3675,3061,67,496,51,1565,1164,57,322,22
2020-21,Assam,65203,46749,4983,6045,7426,54859,45327,2962,4417,2153
2020-21,Bihar,93459,75555,735,7923,9246,56647,44295,481,6162,5709
2020-21,Chandigarh,230,121,7,75,27,226,121,7,75,23
2020-21,Chhattisgarh,56494,48619,430,7131,314,54786,47964,394,6185,243
2020-21,Daman and Diu and Dadra and Nagar Haveli,479,407,8,63,1,475,407,8,59,1
2020-21,Delhi,5642,2751,250,2641,0,5642,2751,250,2641,0
2020-21,Goa,1481,821,522,138,0,1468,821,517,130,0
2020-21,Gujarat,54444,34967,5640,13834,3,52157,34628,5509,12017,3
2020-21,Haryana,23764,14563,17,8235,949,22900,14397,16,7755,732
2020-21,Himachal Pradesh,18145,15391,0,2753,1,17263,14907,0,2356,0
2020-21,Jammu and Kashmir,28930,23167,1,5649,113,19703,15273,1,4356,73
2020-21,Jharkhand,45319,35888,1175,1542,6714,42213,34998,1092,1485,4638
