Year,State,Total (Pre-primary to 12),Pre-Primary,Primary (1-5),Upper Primary (6-8),Elementary (1-8),Secondary (9-10),Higher Secondary (11-12)
2020-21,Andaman and Nicobar Islands,49943,3151,16441,12974,29415,10541,6836
2020-21,Andhra Pradesh,4627208,44256,2177533,1338484,3516017,826857,240078
2020-21,Arunachal Pradesh,234914,7308,107975,61253,169228,36208,22170
2020-21,Assam,5097436,222283,2672887,1270127,3943014,681449,250690
2020-21,Bihar,20874968,139,10973246,5792218,16765464,2877237,1232128
2020-21,Chandigarh,153489,6706,51267,41583,92850,27828,26105
2020-21,Chhattisgarh,4042244,3257,1769429,1073468,2842897,722585,473505
2020-21,Daman and Diu and Dadra and Nagar Haveli,84162,1692,38268,23752,62020,12658,7792
2020-21,Delhi,2542240,99005,882430,694623,1577053,511246,354936
2020-21,Goa,42857,734,23847,7926,31773,6033,4317
2020-21,Gujarat,5334822,5316,3236139,1858939,5095078,178607,55821
2020-21,Haryana,2232333,5533,954543,564093,1518636,413111,295053
2020-21,Himachal Pradesh,847735,28359,291294,209501,500795,158203,160378
2020-21,Jammu and Kashmir,1324301,70679,523452,302717,826169,200843,226610
2020-21,Jharkhand,4873009,55039,2493695,1382848,3876543,579882,361545
2020-21,Karnataka,5031606,15248,2406985,1540704,3947689,725402,343267
2020-21,Kerala,1757209,135050,579353,381150,960503,296976,364680
2020-21,Ladakh,28744,4482,9120,5276,14396,4405,5461
2020-21,Lakshadweep,13114,1083,5294,2457,7751,2244,2036
2020-21,Madhya Pradesh,8904779,17704,4031253,2498949,6530202,1460956,895917
2020-21,Maharashtra,5594726,74092,3960772,1233798,5194570,247183,78881
2020-21,Manipur,201758,8517,114014,38130,152144,22219,18878
2020-21,Meghalaya,482425,96637,259242,106662,365904,11134,8750
2020-21,Mizoram,132230,9477,64768,33367,98135,16298,8320
2020-21,Nagaland,171747,38550,69040,36865,105905,17664,9628
2020-21,Odisha,5213350,20042,2666822,1638230,4305052,790468,97788
2020-21,Puducherry,87867,7197,29544,20984,50528,15371,14771
2020-21,Punjab,2876825,338546,988656,668248,1656904,478659,402716
2020-21,Rajasthan,8955632,2755,4103757,2259161,6362918,1511418,1078541
2020-21,Sikkim,85980,5874,22818,22934,45752,19669,14685
2020-21,Tamil Nadu,4775207,74539,1802985,1305412,3108397,870385,721886
2020-21,Telangana,2896974,3735,1143570,886946,2030516,589398,273325
2020-21,Tripura,536724,3802,240869,150292,391161,88573,53188
2020-21,Uttar Pradesh,17576345,9550,12664274,4340360,17004634,335294,226867
2020-21,Uttarakhand,916631,180,371889,225511,597400,174021,145030
2020-21,West Bengal,16303026,1058399,6909875,3805359,10715234,2731126,1798267
2021-22,India,143240480,2741762,73100775,37956891,111057666,17771002,11670050
2021-22,Andaman and Nicobar Islands,51168,3873,15673,12755,28428,9277,9590
2021-22,Andhra Pradesh,4696207,4588,2213248,1380126,3593374,835982,262263
2021-22,Arunachal Pradesh,233908,8345,100672,59742,160414,35501,29648
2021-22,Assam,5277671,229196,2735536,1313908,4049444,677667,321364
2021-22,Bihar,21989445,0,11619527,6049114,17668641,3001604,1319200
2021-22,Chandigarh,165156,7960,57418,42186,99604,29054,28538
2021-22,Chhattisgarh,4262053,3217,1899255,1123675,3022930,654457,581449
2021-22,Daman and Diu and Dadra and Nagar Haveli,91026,1919,41492,24883,66375,12486,10246
2021-22,Delhi,2796676,123775,984121,761605,1745726,489166,438009
2021-22,Goa,42932,970,23933,7946,31879,5164,4919
2021-22,Gujarat,5570875,5476,3378980,1916527,5295507,189807,80085
2021-22,Haryana,2602484,5994,1158500,639237,1797737,426690,372063
2021-22,Himachal Pradesh,900749,42660,312276,219891,532167,144961,180961
2021-22,Jammu and Kashmir,1473368,146162,561361,310264,871625,209539,246042
2021-22,Jharkhand,5242868,39316,2636425,1496650,4133075,665748,404729
2021-22,Karnataka,5445989,22415,2670886,1596375,4267261,785939,370374
2021-22,Kerala,1862020,162285,635814,397649,1033463,299108,367164
2021-22,Ladakh,29312,4690,9227,5405,14632,4442,5548
2021-22,Lakshadweep,13586,1582,5395,2813,8208,1873,1923
2021-22,Madhya Pradesh,9429734,27589,4297754,2556002,6853756,1483412,1064977
2021-22,Maharashtra,5853094,84323,4146871,1284649,5431520,255507,81744
2021-22,Manipur,216636,12490,117141,38499,155640,22182,26324
2021-22,Meghalaya,477232,93770,255386,108029,363415,11218,8829
2021-22,Mizoram,143345,10584,70136,35705,105841,17005,9915
2021-22,Nagaland,170219,37249,68157,35402,103559,19461,9950
2021-22,Odisha,5255198,2278,2755665,1648036,4403701,750911,98308
2021-22,Puducherry,97368,9739,34055,22519,56574,15384,15671
2021-22,Punjab,3090436,385031,1103915,711062,1814977,448594,441834
2021-22,Rajasthan,9912280,4437,4548975,2530415,7079390,1474241,1354212
2021-22,Sikkim,84411,6293,22054,21149,43203,19159,15756
2021-22,Tamil Nadu,5314845,93808,2080699,1414110,3494809,925673,800555
2021-22,Telangana,3303699,6175,1452199,931282,2383481,590203,323840
2021-22,Tripura,542892,5527,235548,145386,380934,90274,66157
2021-22,Uttar Pradesh,19056651,12711,13587745,4824989,18412734,381606,249600
2021-22,Uttarakhand,980808,389,429586,232969,662555,160915,156949
2021-22,West Bengal,16564139,1134946,6835150,4055937,10891087,2626792,1911314
