Year,State,Pre-Primary - Boys,Pre-Primary - Girls,Pre-Primary - Total,Primary (1-5) - Boys,Primary (1-5) - Girls,Primary (1-5) - Total,Upper Primary (6-8) - Boys,Upper Primary (6-8) - Girls,Upper Primary (6-8) - Total,Elementary (1-8) - Boys,Elementary (1-8) - Girls,Elementary (1-8) - Total,Secondary (9-10) - Boys,Secondary (9-10) - Girls,Secondary (9-10) - Total,Higher Secondary (11-12) - Boys,Higher Secondary (11-12) - Girls,Higher Secondary (11-12) - Total,Primary to Higher Secondary (1-12) - Boys,Primary to Higher Secondary (1-12) - Girls,Primary to Higher Secondary (1-12) - Total,Total (Pre-Primary to Higher Secondary) - Boys,Total (Pre-Primary to Higher Secondary) - Girls,Total (Pre-Primary to Higher Secondary) - Total
2018-19,India,226170,222807,448977,2894720,2835879,5730599,4080205,3846627,7926832,6974925,6682506,13657431,4192987,3731556,7924543,3091157,2856891,5948048,14259069,13270953,27530022,14485239,13493760,27978999
2018-19,Andaman and Nicobar Islands,24,36,60,284,246,530,235,219,454,519,465,984,180,223,403,194,242,436,893,930,1823,917,966,1883
2018-19,Andhra Pradesh,0,0,0,49308,51326,100634,30134,34585,64719,79442,85911,165353,19211,23467,42678,26235,29233,55468,124888,138611,263499,124888,138611,263499
2018-19,Arunachal Pradesh,255,249,504,4890,4522,9412,2963,2463,5426,7853,6985,14838,1322,1284,2606,327,329,656,9502,8598,18100,9757,8847,18604
2018-19,Assam,249,265,514,1061,1382,2443,139986,160628,300614,141047,162010,303057,44797,55541,100338,27867,27106,54973,213711,244657,458368,213960,244922,458882
2018-19,Bihar,702,418,1120,25668,27299,52967,27515,31257,58772,53183,58556,111739,25248,28772,54020,8426,9489,17915,86857,96817,183674,87559,97235,184794
2018-19,Chandigarh,157,232,389,907,1009,1916,880,746,1626,1787,1755,3542,761,546,1307,2178,1009,3187,4726,3310,8036,4883,3542,8425
2018-19,Chhattisgarh,442,500,942,16111,15206,31317,12314,11279,23593,28425,26485,54910,9375,9635,19010,7044,7935,14979,44844,44055,88899,45286,44555,89841
2018-19,Dadra and Nagar Haveli,0,0,0,746,616,1362,383,243,626,1129,859,1988,258,187,445,0,0,0,1387,1046,2433,1387,1046,2433
2018-19,Daman and Diu,0,0,0,515,401,916,963,710,1673,1478,1111,2589,633,521,1154,723,745,1468,2834,2377,5211,2834,2377,5211
2018-19,Delhi,471,522,993,20267,24104,44371,27776,23565,51341,48043,47669,95712,19692,15780,35472,15135,11823,26958,82870,75272,158142,83341,75794,159135
2018-19,Goa,9694,9674,19368,36433,35141,71574,31114,28676,59790,67547,63817,131364,21173,19183,40356,15694,16579,32273,104414,99579,203993,114108,109253,223361
2018-19,Gujarat,1417,1355,2772,33241,29660,62901,60411,46047,106458,93652,75707,169359,613949,488344,1102293,283140,269448,552588,990741,833499,1824240,992158,834854,1827012
2018-19,Haryana,413,241,654,2671,1867,4538,2467,1752,4219,5138,3619,8757,2686,1528,4214,1984,1337,3321,9808,6484,16292,10221,6725,16946
2018-19,Himachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Jammu and Kashmir,23,36,59,44,42,86,30,22,52,74,64,138,0,0,0,0,0,0,74,64,138,97,100,197
2018-19,Jharkhand,7212,7488,14700,78984,85693,164677,44787,51090,95877,123771,136783,260554,19789,24443,44232,9729,11785,21514,153289,173011,326300,160501,180499,341000
2018-19,Karnataka,4807,4401,9208,210971,199561,410532,225522,201403,426925,436493,400964,837457,258732,241344,500076,107941,109249,217190,803166,751557,1554723,807973,755958,1563931
2018-19,Kerala,74982,73488,148470,457826,459939,917765,360252,354086,714338,818078,814025,1632103,263414,251113,514527,185767,200192,385959,1267259,1265330,2532589,1342241,1338818,2681059
