Year,State,Percentage of Schools with drinking water facility - All management,Percentage of Schools with drinking water facility - Government,Percentage of Schools with drinking water facility - Government aided,Percentage of Schools with drinking water facility - Pvt. unaided,Percentage of Schools with drinking water facility - Others,Percentage of Schools with functional drinking water facility - All management,Percentage of Schools with functional drinking water facility - Government,Percentage of Schools with functional drinking water facility - Government aided,Percentage of Schools with functional drinking water facility - Pvt. unaided,Percentage of Schools with functional drinking water facility - Others
2018-19,India,95.78,96.29,95.16,95.51,88.56,91.24,92.16,92.5,89.36,82.58
2018-19,Andaman and Nicobar Islands,100.0,100.0,100.0,100.0,100.0,99.76,99.71,100.0,100.0,100.0
2018-19,Andhra Pradesh,89.46,85.29,99.79,99.6,97.25,77.42,74.46,85.89,84.5,79.75
2018-19,Arunachal Pradesh,62.06,57.19,92.19,86.88,85.11,52.44,47.5,70.31,78.73,80.85
2018-19,Assam,88.88,94.2,83.06,92.7,58.06,86.04,91.71,79.11,90.17,53.65
2018-19,Bihar,99.56,99.63,99.71,99.52,99.03,98.67,98.86,98.28,97.95,97.69
2018-19,Chandigarh,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2018-19,Chhattisgarh,99.25,99.16,99.31,99.91,99.39,88.93,88.77,93.78,89.92,86.24
2018-19,Dadra and Nagar Haveli,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2018-19,Daman and Diu,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2018-19,Delhi,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0
2018-19,Goa,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0
2018-19,Gujarat,99.99,99.98,100.0,100.0,100.0,99.99,99.98,100.0,100.0,100.0
2018-19,Haryana,99.75,99.63,100.0,99.96,99.81,99.66,99.52,100.0,99.89,99.72
2018-19,Himachal Pradesh,99.92,99.91,0.0,99.96,100.0,99.57,99.81,0.0,98.27,100.0
2018-19,Jammu and Kashmir,96.65,96.05,100.0,99.25,95.74,94.93,94.16,100.0,98.22,93.62
2018-19,Jharkhand,96.71,97.1,96.01,97.71,94.74,90.88,91.62,86.32,90.64,88.04
