Year,State,Total Schools,Number of schools having drinking water facility within school premises - all management - Any source of drinking water,Number of schools having drinking water facility within school premises - all management - Tap Water,Number of schools having drinking water facility within school premises - all management - Packed Water,Number of schools having drinking water facility within school premises - all management - Hand Pump,Number of schools having drinking water facility within school premises - all management - Well,Number of schools having drinking water facility within school premises - all management - Unprotected Well,Number of schools having drinking water facility within school premises - all management - Other sources,No. of schools not having drinking water facility within school premises
2018-19,India,1083747,1043557,352793,19341,564420,22290,2692,82021,40190
2018-19,Andaman and Nicobar Islands,339,339,294,0,0,20,6,19,0
2018-19,Andhra Pradesh,45013,38390,22190,0,7486,374,0,8340,6623
2018-19,Arunachal Pradesh,3179,1818,1448,11,237,54,26,42,1361
2018-19,Assam,47223,44484,5767,56,33204,2601,647,2209,2739
2018-19,Bihar,72630,72364,6465,132,65697,11,9,50,266
2018-19,Chandigarh,121,121,121,0,0,0,0,0,0
2018-19,Chhattisgarh,48671,48261,12308,0,35703,250,0,0,410
2018-19,Dadra and Nagar Haveli,300,300,241,2,45,4,0,8,0
2018-19,Daman and Diu,112,112,80,2,2,0,0,28,0
2018-19,Delhi,2784,2784,2757,1,4,2,0,20,0
2018-19,Goa,833,833,805,5,1,6,0,16,0
2018-19,Gujarat,35202,35194,24679,391,4637,1073,81,4333,8
2018-19,Haryana,14516,14463,11528,24,1213,230,7,1461,53
2018-19,Himachal Pradesh,15433,15419,14976,60,187,26,24,146,14
2018-19,Jammu and Kashmir,23167,22251,17709,185,1045,205,344,2763,916
2018-19,Jharkhand,35954,34911,1713,26,32314,461,23,374,1043
2018-19,Karnataka,50184,49954,34951,0,4803,3656,117,6427,230
2018-19,Kerala,5011,4957,1695,27,138,2771,63,263,54
2018-19,Ladakh,913,645,368,21,153,8,5,90,268
2018-19,Lakshadweep,45,45,38,0,0,6,0,1,0
2018-19,Madhya Pradesh,122056,118382,10440,75,90925,1639,61,15242,3674
2018-19,Maharashtra,66033,65190,40711,337,14105,1733,276,8028,843
2018-19,Manipur,3073,2672,399,287,84,55,36,1811,401
2018-19,Meghalaya,7802,2702,1419,37,122,356,353,415,5100
2018-19,Mizoram,2564,2388,1565,44,1,25,12,741,176
2018-19,Nagaland,2007,1214,682,24,31,93,36,348,793
2018-19,Odisha,55483,55483,470,15598,38580,835,0,0,0
2018-19,Puducherry,423,423,411,2,0,2,0,8,0
2018-19,Punjab,19404,19382,11213,12,1643,9,2,6503,22
2018-19,Rajasthan,67607,62728,23757,403,24123,3035,302,11108,4879
2018-19,Sikkim,854,852,808,3,1,2,5,33,2
2018-19,Tamil Nadu,37728,36845,35273,281,340,138,8,805,883
2018-19,Telangana,29822,27376,13751,622,7046,745,0,5212,2446
2018-19,Tripura,4309,3397,1594,9,1328,154,58,254,912
2018-19,Uttar Pradesh,163142,159067,10592,264,147243,90,12,866,4075
2018-19,Uttarakhand,16934,15530,13082,88,1833,27,47,453,1404
2018-19,West Bengal,82876,82281,26493,312,50146,1594,132,3604,595
2019-20,India,1032570,1002603,415102,10576,495863,15915,2883,62264,29967
2019-20,Andaman and Nicobar Islands,342,342,313,1,0,7,8,13,0
2019-20,Andhra Pradesh,45115,38687,38685,0,2,0,0,0,6428
2019-20,Arunachal Pradesh,3056,2235,1814,10,269,64,12,66,821
2019-20,Assam,47157,44667,6554,69,32677,2632,634,2101,2490
2019-20,Bihar,72610,72497,8722,151,63542,9,12,61,113
2019-20,Chandigarh,121,121,121,0,0,0,0,0,0
2019-20,Chhattisgarh,48547,47657,12155,159,34478,198,34,633,890
2019-20,Dadra and Nagar Haveli,300,300,264,2,26,3,0,5,0
2019-20,Daman and Diu,109,109,90,2,1,0,0,16,0
2019-20,Delhi,2767,2767,2767,0,0,0,0,0,0
2019-20,Goa,827,827,817,2,0,2,0,6,0
2019-20,Gujarat,35040,35033,26270,543,4063,779,86,3292,7
2019-20,Haryana,14484,14442,11643,18,1063,176,7,1535,42
2019-20,Himachal Pradesh,15398,15383,14984,45,175,24,17,138,15
2019-20,Jammu and Kashmir,23165,22180,17766,169,992,192,333,2728,985
2019-20,Jharkhand,35931,35329,3187,38,31171,411,52,470,602
2019-20,Karnataka,49834,49711,44797,833,1632,1121,73,1255,123
2019-20,Kerala,5014,4961,1829,20,136,2674,42,260,53
2019-20,Ladakh,913,617,370,14,136,4,5,88,296
2019-20,Lakshadweep,45,45,39,0,0,5,0,1,0
2019-20,Madhya Pradesh,99411,97814,9200,319,75521,1324,106,11344,1597
2019-20,Maharashtra,65886,65167,41476,626,13331,1567,292,7875,719
2019-20,Manipur,2876,2639,372,270,72,57,32,1836,237
2019-20,Meghalaya,7799,3005,1594,57,127,390,382,455,4794
2019-20,Mizoram,2552,2254,1591,48,1,25,15,574,298
2019-20,Nagaland,2011,1261,699,29,33,91,40,369,750
2019-20,Odisha,53260,53258,14691,682,37149,190,27,519,2
2019-20,Puducherry,422,422,415,2,0,0,0,5,0
2019-20,Punjab,19377,19377,11417,12,1518,12,2,6416,0
2019-20,Rajasthan,67660,65168,25460,549,24438,2857,271,11593,2492
2019-20,Sikkim,851,850,812,2,1,2,5,28,1
2019-20,Tamil Nadu,37579,37579,36180,243,303,124,5,724,0
