Year,State,Percentage of Schools with CWSN friendly toilet - All management,Percentage of Schools with CWSN friendly toilet - Government,Percentage of Schools with CWSN friendly toilet - Government aided,Percentage of Schools with CWSN friendly toilet - Pvt. unaided,Percentage of Schools with CWSN friendly toilet - Others,Percentage of Schools with functional CWSN friendly toilet - All management,Percentage of Schools with functional CWSN friendly toilet - Government,Percentage of Schools with functional CWSN friendly toilet - Government aided,Percentage of Schools with functional CWSN friendly toilet - Pvt. unaided,Percentage of Schools with functional CWSN friendly toilet - Others
2018-19,India,17.54,17.29,18.23,18.98,12.94,16.64,16.31,17.65,18.18,12.46
2018-19,Andaman and Nicobar Islands,20.05,20.94,0.0,16.67,0.0,19.81,20.65,0.0,16.67,0.0
2018-19,Andhra Pradesh,2.48,0.03,2.17,9.43,3.5,2.48,0.03,2.17,9.43,3.5
2018-19,Arunachal Pradesh,5.62,4.62,9.38,11.13,8.51,5.11,4.09,9.38,10.74,8.51
2018-19,Assam,13.47,16.88,2.43,11.93,1.42,13.0,16.34,2.21,11.31,1.31
2018-19,Bihar,10.69,9.82,11.46,15.04,14.37,10.42,9.56,11.17,14.71,14.06
2018-19,Chandigarh,59.83,68.6,57.14,63.51,11.11,59.83,68.6,57.14,63.51,11.11
2018-19,Chhattisgarh,53.62,55.86,32.03,40.25,27.83,46.1,47.3,31.57,39.45,26.3
2018-19,Dadra and Nagar Haveli,75.14,83.0,20.0,25.71,0.0,69.94,77.0,20.0,25.71,0.0
2018-19,Daman and Diu,46.43,53.57,0.0,21.74,0.0,46.43,53.57,0.0,21.74,0.0
2018-19,Delhi,87.87,91.49,67.19,86.05,0.0,87.87,91.49,67.19,86.05,0.0
2018-19,Goa,3.77,2.04,5.25,8.63,0.0,3.63,1.8,5.25,8.63,0.0
2018-19,Gujarat,13.55,17.13,6.44,7.28,0.0,12.48,15.8,5.72,6.76,0.0
2018-19,Haryana,27.1,37.8,7.69,10.11,8.16,26.19,36.6,7.69,9.67,7.69
2018-19,Himachal Pradesh,22.82,21.05,0.0,32.69,0.0,22.02,20.23,0.0,32.0,0.0
2018-19,Jammu and Kashmir,3.46,1.52,100.0,11.67,8.51,3.29,1.35,100.0,11.51,8.51
2018-19,Jharkhand,1.39,1.09,1.53,4.71,2.16,1.28,1.0,1.53,4.64,1.98
2018-19,Karnataka,6.33,5.43,3.94,9.38,7.14,4.89,3.86,2.97,8.11,0.0
2018-19,Kerala,11.95,23.31,6.92,7.6,6.65,10.84,20.59,6.48,7.26,6.27
2018-19,Ladakh,1.9,1.53,0.0,5.31,0.0,1.71,1.31,0.0,5.31,0.0
