Year,State,Total - Male,Total - Female,Total - Total,Pre-Primary Only - Male,Pre-Primary Only - Female,Pre-Primary Only - Total,Pre-Primary & Primary - Male,Pre-Primary & Primary - Female,Pre-Primary & Primary - Total,Primary Only - Male,Primary Only - Female,Primary Only - Total,Primary & Upper Primary - Male,Primary & Upper Primary - Female,Primary & Upper Primary - Total,Upper Primary Only - Male,Upper Primary Only - Female,Upper Primary Only - Total,Upper Primary & Secondary - Male,Upper Primary & Secondary - Female,Upper Primary & Secondary - Total,Secondary Only - Male,Secondary Only - Female,Secondary Only - Total,Secondary & Higher Secondary - Male,Secondary & Higher Secondary - Female,Secondary & Higher Secondary - Total,Higher Secondary Only - Male,Higher Secondary Only - Female,Higher Secondary Only - Total
2018-19,India,4716607,4714232,9430839,18414,47678,66092,26045,32581,58626,1795036,2150604,3945640,157738,178019,335757,1315827,1222967,2538794,270360,221121,491481,638489,493887,1132376,145238,91294,236532,349460,276081,625541
2018-19,Andaman and Nicobar Islands,2012,3521,5533,15,74,89,11,44,55,636,1353,1989,21,41,62,500,845,1345,153,244,397,277,474,751,54,76,130,345,370,715
2018-19,Andhra Pradesh,160340,154430,314770,0,0,0,9439,2902,12341,58412,64916,123328,1645,1915,3560,31308,33890,65198,34325,26396,60721,14827,10085,24912,749,681,1430,9635,13645,23280
2018-19,Arunachal Pradesh,12664,10721,23385,56,66,122,123,133,256,4875,4872,9747,1619,1155,2774,3183,2900,6083,469,275,744,1379,897,2276,295,110,405,665,313,978
2018-19,Assam,229652,146334,375986,206,792,998,2148,2392,4540,89097,65279,154376,5558,6518,12076,62696,30155,92851,22606,14092,36698,31999,16384,48383,4837,3424,8261,10505,7298,17803
2018-19,Bihar,353386,230941,584327,534,725,1259,661,621,1282,95130,78789,173919,20197,10098,30295,183873,123781,307654,4170,1950,6120,31081,9498,40579,6028,1991,8019,11712,3488,15200
2018-19,Chandigarh,1815,8072,9887,2,411,413,5,92,97,478,2241,2719,112,536,648,202,1065,1267,538,1986,2524,132,503,635,132,497,629,214,741,955
2018-19,Chhattisgarh,141795,128075,269870,0,0,0,0,0,0,61303,61182,122485,5597,10353,15950,37299,25357,62656,2791,3401,6192,10317,8863,19180,16420,12825,29245,8068,6094,14162
2018-19,Dadra and Nagar Haveli,1171,2076,3247,1,122,123,0,14,14,490,983,1473,5,15,20,362,500,862,2,4,6,206,272,478,0,4,4,105,162,267
2018-19,Daman and Diu,533,1013,1546,0,26,26,2,11,13,93,421,514,27,86,113,116,198,314,26,41,67,150,128,278,47,35,82,72,67,139
2018-19,Delhi,40082,115586,155668,65,8365,8430,0,0,0,10071,45476,55547,0,0,0,10918,26951,37869,0,0,0,8605,16998,25603,0,0,0,10423,17796,28219
2018-19,Goa,2803,10873,13676,0,211,211,5,41,46,336,3967,4303,13,110,123,449,1648,2097,425,1200,1625,882,2225,3107,22,29,51,671,1442,2113
2018-19,Gujarat,187253,214686,401939,35,485,520,67,248,315,73135,109850,182985,654,1890,2544,57253,68885,126138,566,760,1326,32629,18379,51008,1437,1236,2673,21477,12953,34430
2018-19,Haryana,94372,147763,242135,70,1679,1749,79,412,491,32498,63116,95614,2203,7309,9512,20665,27608,48273,10133,12079,22212,7110,10065,17175,13590,15499,29089,8024,9996,18020
2018-19,Himachal Pradesh,50069,51585,101654,37,941,978,142,790,932,14525,16571,31096,923,3375,4298,10329,9592,19921,6432,6323,12755,5580,5564,11144,2672,2248,4920,9429,6181,15610
2018-19,Jammu and Kashmir,90865,79584,170449,302,1715,2017,495,886,1381,30790,29925,60715,2094,1875,3969,35851,30214,66065,1104,803,1907,14056,10602,24658,151,99,250,6022,3465,9487
2018-19,Jharkhand,130901,82741,213642,45,202,247,97,311,408,61994,40422,102416,10100,5117,15217,42289,26618,68907,2361,1793,4154,8228,5213,13441,1174,564,1738,4613,2501,7114
2018-19,Karnataka,210557,255216,465773,11219,7897,19116,251,170,421,59208,95034,154242,5322,8791,14113,50523,74468,124991,5404,6509,11913,55384,46096,101480,4352,3574,7926,18894,12677,31571
2018-19,Kerala,56918,200312,257230,32,793,825,12,135,147,13932,74369,88301,228,1832,2060,14377,50426,64803,368,1692,2060,16587,44597,61184,245,875,1120,11137,25593,36730
2018-19,Ladakh,3013,2997,6010,0,33,33,0,20,20,710,1105,1815,23,37,60,1513,1333,2846,41,28,69,486,330,816,20,5,25,220,106,326
2018-19,Lakshadweep,514,545,1059,0,35,35,0,1,1,155,175,330,51,62,113,69,61,130,41,46,87,86,66,152,48,32,80,64,67,131
2018-19,Madhya Pradesh,323797,255627,579424,44,381,425,125,270,395,146193,94137,240330,1229,1942,3171,116418,115253,231671,655,753,1408,38492,28704,67196,1274,873,2147,19367,13314,32681
2018-19,Maharashtra,411971,358154,770125,297,2968,3265,652,1871,2523,157995,180496,338491,13360,12827,26187,88384,67562,155946,18709,12349,31058,88218,52766,140984,2437,2193,4630,41919,25122,67041
2018-19,Manipur,21017,24383,45400,22,277,299,43,291,334,8656,11925,20581,1925,2411,4336,3663,3884,7547,1488,1216,2704,2985,2422,5407,460,317,777,1775,1640,3415
2018-19,Meghalaya,24049,31581,55630,51,268,319,808,1812,2620,9288,14143,23431,241,509,750,7901,8105,16006,335,437,772,4302,4531,8833,147,134,281,976,1642,2618
2018-19,Mizoram,13005,10398,23403,9,83,92,53,91,144,3487,4232,7719,265,284,549,5294,3461,8755,8,0,8,2916,1433,4349,5,0,5,968,814,1782
2018-19,Nagaland,15044,16971,32015,30,106,136,222,313,535,5583,6893,12476,614,802,1416,5276,5447,10723,375,330,705,2243,2104,4347,91,92,183,610,884,1494
2018-19,Odisha,185806,154671,340477,1069,557,1626,29,9,38,74272,78749,153021,33037,26494,59531,30322,24946,55268,7412,4912,12324,32362,14994,47356,194,100,294,7109,3910,11019
2018-19,Puducherry,3466,9392,12858,1,233,234,16,80,96,708,3986,4694,141,733,874,401,956,1357,702,1370,2072,458,868,1326,279,361,640,760,805,1565
2018-19,Punjab,66943,205415,272358,0,0,0,0,0,0,17352,79330,96682,0,0,0,16198,51238,67436,0,0,0,21017,50850,71867,0,0,0,12376,23997,36373
2018-19,Rajasthan,453699,295824,749523,1971,9565,11536,8135,13188,21323,122892,103496,226388,29426,25745,55171,103407,65969,169376,66453,29889,96342,34139,15091,49230,56172,21163,77335,31104,11718,42822
2018-19,Sikkim,5977,8300,14277,19,163,182,50,139,189,2920,4491,7411,156,245,401,1291,1587,2878,167,254,421,722,755,1477,128,161,289,524,505,1029
2018-19,Tamil Nadu,138881,422585,561466,83,1192,1275,9,293,302,33597,213886,247483,2638,9752,12390,40161,98302,138463,25891,43955,69846,15122,24168,39290,2911,3628,6539,18469,27409,45878
2018-19,Telangana,113770,143597,257367,0,0,0,0,0,0,36664,58179,94843,9024,18709,27733,8990,14513,23503,35971,30253,66224,13290,16042,29332,2402,2458,4860,7429,3443,10872
2018-19,Tripura,32026,14883,46909,68,80,148,97,114,211,15506,6552,22058,138,110,248,7754,3230,10984,102,58,160,4658,2139,6797,36,36,72,3667,2564,6231
