Year,State,Total - Male,Total - Female,Total - Total,Pre-Primary Only - Male,Pre-Primary Only - Female,Pre-Primary Only - Total,Pre-Primary & Primary - Male,Pre-Primary & Primary - Female,Pre-Primary & Primary - Total,Primary Only - Male,Primary Only - Female,Primary Only - Total,Primary & Upper Primary - Male,Primary & Upper Primary - Female,Primary & Upper Primary - Total,Upper Primary Only - Male,Upper Primary Only - Female,Upper Primary Only - Total,Upper Primary & Secondary - Male,Upper Primary & Secondary - Female,Upper Primary & Secondary - Total,Secondary Only - Male,Secondary Only - Female,Secondary Only - Total,Secondary & Higher Secondary - Male,Secondary & Higher Secondary - Female,Secondary & Higher Secondary - Total,Higher Secondary Only - Male,Higher Secondary Only - Female,Higher Secondary Only - Total
2018-19,Uttar Pradesh,733187,582151,1315338,2056,6378,8434,2085,4241,6326,344971,328345,673316,8252,13788,22040,210088,149038,359126,13410,10116,23526,87616,40496,128112,20750,11094,31844,43959,18655,62614
2018-19,Uttarakhand,55755,65144,120899,75,855,930,184,646,830,19906,34337,54243,568,1966,2534,11308,12781,24089,2596,2216,4812,11231,7032,18263,2085,1598,3683,7802,3713,11515
2018-19,West Bengal,347499,268085,615584,0,0,0,0,0,0,187178,167381,354559,332,587,919,95196,60200,155396,4131,3391,7522,38717,22253,60970,3594,3282,6876,18351,10991,29342
2019-20,India,4771638,4915939,9687577,26960,100341,127301,172632,186424,359056,1576428,1968224,3544652,304402,392055,696457,1156412,1062245,2218657,323056,267234,590290,636503,520762,1157265,202988,134043,337031,372257,284611,656868
2019-20,Andaman and Nicobar Islands,2007,3724,5731,48,177,225,16,92,108,597,1367,1964,84,149,233,366,643,1009,249,395,644,221,419,640,85,126,211,341,356,697
2019-20,Andhra Pradesh,159302,158128,317430,0,0,0,0,0,0,62603,78082,140685,5638,8671,14309,29191,27479,56670,30692,25490,56182,15790,11332,27122,435,497,932,14953,6577,21530
2019-20,Arunachal Pradesh,12657,11215,23872,27,125,152,150,237,387,4776,4878,9654,1878,1406,3284,2839,2718,5557,574,354,928,1418,974,2392,361,184,545,634,339,973
2019-20,Assam,223930,145684,369614,181,833,1014,2242,2703,4945,86256,64118,150374,7079,7994,15073,59819,28833,88652,22438,14461,36899,30566,15840,46406,4713,3369,8082,10636,7533,18169
2019-20,Bihar,362020,241850,603870,399,1258,1657,1162,1885,3047,97596,85933,183529,31701,17809,49510,171496,114984,286480,6132,2785,8917,32019,10410,42429,8141,2733,10874,13374,4053,17427
2019-20,Chandigarh,1895,8244,10139,3,483,486,7,111,118,552,2326,2878,130,604,734,214,972,1186,527,1986,2513,117,500,617,128,511,639,217,751,968
2019-20,Chhattisgarh,139679,128917,268596,121,1887,2008,551,2168,2719,59973,58550,118523,5424,10578,16002,36517,25090,61607,2428,3308,5736,10835,8926,19761,16416,12938,29354,7414,5472,12886
2019-20,Dadra and Nagar Haveli,1172,2087,3259,1,127,128,0,19,19,472,946,1418,42,81,123,330,461,791,17,28,45,196,262,458,8,16,24,106,147,253
2019-20,Daman and Diu,547,1045,1592,0,30,30,1,8,9,99,449,548,28,74,102,103,204,307,26,36,62,141,136,277,73,45,118,76,63,139
2019-20,Delhi,40497,117150,157647,95,8746,8841,0,0,0,9820,45666,55486,0,0,0,11295,27634,38929,0,0,0,8938,17414,26352,0,0,0,10349,17690,28039
2019-20,Goa,2741,10939,13680,0,232,232,5,45,50,330,4005,4335,27,146,173,397,1480,1877,511,1527,2038,794,2035,2829,30,29,59,647,1440,2087
2019-20,Gujarat,184400,215510,399910,154,2023,2177,515,2688,3203,69713,105610,175323,2149,4745,6894,56390,66952,123342,974,1361,2335,31503,17812,49315,2473,1886,4359,20529,12433,32962
2019-20,Haryana,96658,160708,257366,45,2722,2767,115,964,1079,31271,65143,96414,2944,10439,13383,21118,27836,48954,10220,13752,23972,7177,10754,17931,16758,19943,36701,7010,9155,16165
2019-20,Himachal Pradesh,50843,54364,105207,46,1145,1191,238,941,1179,14288,17042,31330,1061,4121,5182,9731,9070,18801,7855,7729,15584,5272,5433,10705,3221,2719,5940,9131,6164,15295
2019-20,Jammu and Kashmir,91087,82096,173183,342,2418,2760,1912,3928,5840,31508,30158,61666,1430,2081,3511,33950,28257,62207,915,831,1746,14390,10617,25007,189,145,334,6451,3661,10112
2019-20,Jharkhand,135626,89161,224787,107,938,1045,442,1165,1607,60206,41466,101672,15203,8319,23522,36989,22702,59691,3846,3182,7028,11126,7169,18295,2175,1186,3361,5532,3034,8566
2019-20,Karnataka,192802,257790,450592,40,1171,1211,76,524,600,36315,76192,112507,62709,85261,147970,12634,27047,39681,1492,2856,4348,58958,49883,108841,397,593,990,20181,14263,34444
2019-20,Kerala,58356,217575,275931,84,7385,7469,20,337,357,14064,77431,91495,501,3471,3972,14127,51899,66026,630,2783,3413,16780,46014,62794,388,1372,1760,11762,26883,38645
2019-20,Ladakh,3105,3092,6197,39,86,125,69,112,181,669,1110,1779,152,117,269,1339,1161,2500,89,48,137,479,337,816,38,8,46,231,113,344
2019-20,Lakshadweep,586,647,1233,0,36,36,0,1,1,164,207,371,83,85,168,69,90,159,40,58,98,104,75,179,45,29,74,81,66,147
2019-20,Madhya Pradesh,328421,280199,608620,415,3671,4086,883,2857,3740,141834,104488,246322,12718,14499,27217,107823,105765,213588,4158,4608,8766,35917,26733,62650,6110,4898,11008,18563,12680,31243
2019-20,Maharashtra,408754,375093,783847,123,3343,3466,735,2463,3198,155191,185000,340191,18944,21127,40071,81511,64157,145668,21871,15673,37544,85057,53535,138592,3009,2987,5996,42313,26808,69121
2019-20,Manipur,20931,24390,45321,23,373,396,209,981,1190,8189,11190,19379,2152,2594,4746,3463,3513,6976,1848,1545,3393,2769,2208,4977,547,400,947,1731,1586,3317
2019-20,Meghalaya,23959,32531,56490,60,369,429,888,2123,3011,9131,14226,23357,301,658,959,7826,8176,16002,389,563,952,4217,4553,8770,180,177,357,967,1686,2653
2019-20,Mizoram,12731,10416,23147,8,95,103,59,107,166,3401,4227,7628,296,332,628,5077,3385,8462,16,5,21,2850,1411,4261,17,3,20,1007,851,1858
2019-20,Nagaland,14769,17145,31914,33,207,240,266,457,723,5410,6857,12267,769,1128,1897,4875,4889,9764,540,498,1038,2153,2022,4175,146,180,326,577,907,1484
2019-20,Odisha,196532,160503,357035,0,19,19,1,15,16,74612,76056,150668,37577,35313,72890,29341,22148,51489,9065,6573,15638,38248,16423,54671,484,326,810,7204,3630,10834
2019-20,Puducherry,3421,10068,13489,1,554,555,13,131,144,645,3934,4579,202,990,1192,344,863,1207,764,1574,2338,421,770,1191,341,468,809,690,784,1474
2019-20,Punjab,68145,213528,281673,320,8503,8823,2925,10497,13422,15303,65869,81172,0,2,2,14159,49962,64121,4,8,12,20101,50221,70322,0,0,0,15333,28466,43799
2019-20,Rajasthan,463405,310616,774021,902,8791,9693,7223,12604,19827,123229,108287,231516,43624,37245,80869,97063,63497,160560,68153,31165,99318,34516,15518,50034,57625,21867,79492,31070,11642,42712
2019-20,Sikkim,5968,8590,14558,54,765,819,35,132,167,2832,4056,6888,68,115,183,1199,1541,2740,409,504,913,689,747,1436,27,25,52,655,705,1360
2019-20,Tamil Nadu,140687,422075,562762,162,8211,8373,135,4299,4434,28799,165855,194654,9849,50652,60501,23200,54518,77718,23596,46357,69953,19350,45139,64489,10979,15701,26680,24617,31343,55960
2019-20,Telangana,131671,173926,305597,108,1120,1228,1305,4798,6103,35554,62256,97810,10217,22921,33138,9449,17158,26607,37507,33864,71371,15633,19818,35451,1678,1698,3376,20220,10293,30513
2019-20,Tripura,31651,15077,46728,56,123,179,143,178,321,15086,6459,21545,269,170,439,7390,3097,10487,216,115,331,4864,2335,7199,97,71,168,3530,2529,6059
2019-20,Uttar Pradesh,781036,642959,1423995,276,4708,4984,3065,6453,9518,356830,355126,711956,22529,29761,52290,210183,153531,363714,19022,14083,33105,92478,43839,136317,29214,15245,44459,47439,20213,67652
2019-20,Uttarakhand,55807,66375,122182,53,975,1028,203,760,963,19065,33626,52691,982,2948,3930,11154,12460,23614,2930,2608,5538,10984,7003,17987,2385,1903,4288,8051,4092,12143
2019-20,West Bengal,323840,242522,566362,22634,26692,49326,147023,119641,266664,45,33,78,5642,5449,11091,43441,28073,71514,42913,24521,67434,19432,12145,31577,34075,19765,53840,8635,6203,14838
2020-21,India,4749351,4947074,9696425,21442,98348,119790,174932,196197,371129,1571492,1966629,3538121,320975,417857,738832,1111960,1034219,2146179,330292,276568,606860,628114,522636,1150750,213692,144443,358135,376452,290177,666629
2020-21,Andaman and Nicobar Islands,1909,3542,5451,49,158,207,17,80,97,582,1332,1914,80,144,224,322,592,914,240,393,633,200,375,575,90,125,215,329,343,672
2020-21,Andhra Pradesh,162743,159444,322187,0,0,0,0,0,0,62121,77924,140045,1230,2068,3298,33326,35664,68990,27669,20441,48110,17621,13981,31602,397,497,894,20379,8869,29248
2020-21,Arunachal Pradesh,12624,11478,24102,19,118,137,190,312,502,4655,4784,9439,1946,1559,3505,2694,2580,5274,655,445,1100,1407,1067,2474,416,218,634,642,395,1037
2020-21,Assam,220931,149410,370341,184,911,1095,2856,3402,6258,85208,64655,149863,8141,9282,17423,57777,28646,86423,22275,15433,37708,29130,15980,45110,4372,3254,7626,10988,7847,18835
2020-21,Bihar,360318,241201,601519,436,1351,1787,1283,2129,3412,97018,86448,183466,34026,19430,53456,163035,109717,272752,6384,2906,9290,34395,11582,45977,9025,3001,12026,14716,4637,19353
2020-21,Chandigarh,1888,7834,9722,3,472,475,7,117,124,555,2158,2713,123,555,678,228,912,1140,525,1954,2479,121,484,605,129,465,594,197,717,914
2020-21,Chhattisgarh,137961,127367,265328,126,2001,2127,687,2516,3203,58780,56286,115066,5470,10515,15985,35617,24675,60292,2483,3340,5823,10720,8894,19614,16701,13490,30191,7377,5650,13027
2020-21,Daman and Diu and Dadra and Nagar Haveli,1691,2969,4660,1,149,150,3,15,18,559,1323,1882,61,110,171,438,667,1105,25,43,68,342,391,733,71,51,122,191,220,411
2020-21,Delhi,39974,111959,151933,84,7491,7575,0,0,0,10076,42600,52676,0,0,0,10750,26533,37283,0,0,0,8780,17431,26211,0,0,0,10284,17904,28188
2020-21,Goa,2666,10818,13484,0,228,228,6,43,49,326,3854,4180,26,152,178,384,1407,1791,546,1685,2231,706,1949,2655,30,28,58,642,1472,2114
2020-21,Gujarat,179757,209048,388805,120,2079,2199,428,2499,2927,67519,100734,168253,3304,7651,10955,53120,61659,114779,1492,2088,3580,30250,17237,47487,3595,2916,6511,19929,12185,32114
2020-21,Haryana,91561,150844,242405,39,2408,2447,99,974,1073,29755,59764,89519,2825,10203,13028,19279,25648,44927,9417,12906,22323,6814,10118,16932,16815,20322,37137,6518,8501,15019
2020-21,Himachal Pradesh,49777,53331,103108,42,1076,1118,299,996,1295,13773,16343,30116,1054,4132,5186,9123,8480,17603,8323,8296,16619,4988,5135,10123,3373,2891,6264,8802,5982,14784
2020-21,Jammu and Kashmir,90119,82010,172129,392,2656,3048,2423,4502,6925,31208,30079,61287,1734,2592,4326,32125,26742,58867,1089,954,2043,14297,10521,24818,217,175,392,6634,3789,10423
2020-21,Jharkhand,133158,87811,220969,115,1133,1248,659,1600,2259,58163,40139,98302,17425,9434,26859,33145,20293,53438,4409,3502,7911,11077,7213,18290,2696,1395,4091,5469,3102,8571
2020-21,Karnataka,192390,261933,454323,49,2180,2229,188,1361,1549,34680,75237,109917,59005,83852,142857,12883,27271,40154,3286,5362,8648,57749,48772,106521,666,805,1471,23884,17093,40977
2020-21,Kerala,57737,217235,274972,88,9666,9754,21,324,345,13532,74277,87809,554,3821,4375,13810,50980,64790,691,3086,3777,16552,45898,62450,391,1489,1880,12098,27694,39792
2020-21,Ladakh,3097,3078,6175,62,129,191,83,123,206,695,1117,1812,274,108,382,1075,1063,2138,150,66,216,441,326,767,60,14,74,257,132,389
2020-21,Lakshadweep,474,486,960,0,31,31,0,0,0,149,185,334,51,46,97,53,55,108,25,31,56,89,70,159,31,21,52,76,47,123
2020-21,Madhya Pradesh,325338,283073,608411,518,4257,4775,1172,3821,4993,139288,104940,244228,15247,18466,33713,103066,100661,203727,5241,6085,11326,34603,25697,60300,7938,6711,14649,18265,12435,30700
2020-21,Maharashtra,398644,368272,766916,124,3173,3297,729,2514,3243,150829,179135,329964,20212,23089,43301,77682,61116,138798,22582,16658,39240,81151,52288,133439,3292,3405,6697,42043,26894,68937
2020-21,Manipur,20810,24411,45221,28,419,447,357,1376,1733,7881,10648,18529,2180,2616,4796,3202,3154,6356,2008,1722,3730,2692,2215,4907,626,474,1100,1836,1787,3623
2020-21,Meghalaya,23600,32550,56150,70,434,504,889,2257,3146,8925,13922,22847,314,730,1044,7694,8105,15799,426,668,1094,4112,4515,8627,194,236,430,976,1683,2659
2020-21,Mizoram,12872,10816,23688,13,120,133,68,137,205,3607,4452,8059,358,374,732,4963,3390,8353,32,17,49,2809,1448,4257,29,8,37,993,870,1863
2020-21,Nagaland,14474,17331,31805,38,266,304,309,523,832,5314,6849,12163,861,1332,2193,4542,4545,9087,626,612,1238,2039,2027,4066,173,227,400,572,950,1522
2020-21,Odisha,193866,162108,355974,44,490,534,41,280,321,71540,72064,143604,39873,41268,81141,26710,18751,45461,10787,9310,20097,36992,15880,52872,577,365,942,7302,3700,11002
2020-21,Puducherry,3310,9478,12788,3,534,537,16,136,152,621,3671,4292,200,928,1128,316,801,1117,728,1459,2187,391,712,1103,327,431,758,708,806,1514
2020-21,Punjab,67193,211881,279074,130,6109,6239,3015,11064,14079,15471,66948,82419,0,0,0,13836,49524,63360,0,0,0,20205,50534,70739,0,0,0,14536,27702,42238
2020-21,Rajasthan,455705,299968,755673,806,7599,8405,6872,11565,18437,119314,102247,221561,46039,37554,83593,92814,60233,153047,67958,31379,99337,33644,15333,48977,57841,22424,80265,30417,11634,42051
2020-21,Sikkim,5761,8571,14332,56,792,848,35,140,175,2659,3926,6585,88,140,228,1157,1535,2692,333,396,729,748,831,1579,40,43,83,645,768,1413
2020-21,Tamil Nadu,142637,428743,571380,166,8402,8568,138,4415,4553,29020,168026,197046,10053,51667,61720,23392,55213,78605,23769,46728,70497,19576,45759,65335,11286,16197,27483,25237,32336,57573
2020-21,Telangana,127879,192337,320216,201,4575,4776,1373,6959,8332,33381,68611,101992,12087,28362,40449,9775,19434,29209,35567,32670,68237,17611,21320,38931,1694,1778,3472,16190,8628,24818
2020-21,Tripura,23947,12587,36534,58,142,200,179,242,421,11059,5162,16221,461,293,754,4485,2039,6524,901,424,1325,3679,1956,5635,520,345,865,2605,1984,4589
2020-21,Uttar Pradesh,812575,675112,1487687,309,4803,5112,3548,7240,10788,379832,377547,757379,30720,36248,66968,204467,151358,355825,20926,15204,36130,92889,45408,138297,32008,16735,48743,47876,20569,68445
2020-21,Uttarakhand,56072,67807,123879,48,1129,1177,214,983,1197,18029,32124,50153,1491,4286,5777,10708,12019,22727,3663,3256,6919,10224,6859,17083,3312,2674,5986,8383,4477,12860
2020-21,West Bengal,323893,250231,574124,17021,20867,37888,146728,121552,268280,5368,7118,12486,3462,4850,8312,43967,28757,72724,45061,27049,72110,19070,12430,31500,34760,21233,55993,8456,6375,14831
2021-22,India,4630391,4876732,9507123,17776,92924,110700,172347,196222,368569,1519917,1922061,3441978,369475,476023,845498,981040,909665,1890705,372256,326052,698308,595105,500977,1096082,231028,163703,394731,371447,289105,660552
2021-22,Andaman and Nicobar Islands,1805,3476,5281,42,180,222,17,85,102,525,1236,1761,94,170,264,223,436,659,323,555,878,167,311,478,125,177,302,289,326,615
2021-22,Andhra Pradesh,158677,162047,320724,17,317,334,374,1673,2047,50137,68996,119133,11603,15523,27126,9006,10516,19522,51582,41411,92993,16650,13348,29998,946,1191,2137,18362,9072,27434
2021-22,Arunachal Pradesh,12205,11502,23707,12,118,130,123,290,413,4595,4811,9406,2097,1785,3882,2311,2291,4602,760,531,1291,1255,1020,2275,477,261,738,575,395,970
2021-22,Assam,208192,144752,352944,145,823,968,3391,3912,7303,81301,62227,143528,9803,10741,20544,49313,25012,74325,22161,15804,37965,27076,15086,42162,4398,3296,7694,10604,7851,18455
2021-22,Bihar,348160,234716,582876,307,1034,1341,975,1861,2836,99087,89346,188433,44502,26886,71388,139675,93434,233109,6127,2800,8927,33517,11450,44967,9280,3062,12342,14690,4843,19533
2021-22,Chandigarh,1816,7529,9345,3,446,449,8,106,114,508,2087,2595,140,542,682,198,772,970,505,1860,2365,118,487,605,137,493,630,199,736,935
2021-22,Chhattisgarh,135873,124909,260782,89,1747,1836,654,2783,3437,56860,52921,109781,5282,10550,15832,36045,24627,60672,2456,3409,5865,10372,8692,19064,16897,14389,31286,7218,5791,13009
2021-22,Daman and Diu and Dadra and Nagar Haveli,1604,2885,4489,0,131,131,1,10,11,595,1232,1827,36,111,147,359,661,1020,32,57,89,312,387,699,81,57,138,188,239,427
2021-22,Delhi,40152,111448,151600,85,7188,7273,0,0,0,10154,41670,51824,0,0,0,10142,26039,36181,0,0,0,8651,17712,26363,0,0,0,11120,18839,29959
2021-22,Goa,2697,11139,13836,0,274,274,7,62,69,347,3869,4216,58,272,330,340,1259,1599,682,2028,2710,602,1784,2386,20,41,61,641,1550,2191
2021-22,Gujarat,174389,203729,378118,70,1567,1637,428,2559,2987,63999,95934,159933,4807,11412,16219,49474,55890,105364,1823,2615,4438,29382,17421,46803,4682,3807,8489,19724,12524,32248
2021-22,Haryana,89050,148544,237594,31,2215,2246,57,864,921,28788,57811,86599,2848,10765,13613,17379,23866,41245,9367,13130,22497,6705,10335,17040,17795,21515,39310,6080,8043,14123
2021-22,Himachal Pradesh,48190,51947,100137,31,949,980,329,1039,1368,12798,15355,28153,1108,4276,5384,7884,7279,15163,9094,9283,18377,4556,4720,9276,3752,3203,6955,8638,5843,14481
2021-22,Jammu and Kashmir,86779,80327,167106,253,2558,2811,2706,4615,7321,30981,31560,62541,2857,3565,6422,27828,23035,50863,1471,1056,2527,13959,10010,23969,293,203,496,6431,3725,10156
2021-22,Jharkhand,127297,83121,210418,105,976,1081,863,1799,2662,55384,37993,93377,20764,11274,32038,26247,15358,41605,4738,3884,8622,10909,7103,18012,3080,1601,4681,5207,3133,8340
2021-22,Karnataka,180182,251204,431386,39,2767,2806,168,1912,2080,33106,72081,105187,52576,78269,130845,12086,25123,37209,4754,7720,12474,53099,45189,98288,827,1027,1854,23527,17116,40643
2021-22,Kerala,55188,213285,268473,90,10407,10497,16,300,316,13277,72578,85855,534,3732,4266,12975,49456,62431,607,2919,3526,15826,45372,61198,333,1404,1737,11530,27117,38647
2021-22,Ladakh,3033,3122,6155,32,117,149,105,134,239,655,1111,1766,470,307,777,765,835,1600,282,137,419,389,305,694,74,34,108,261,142,403
2021-22,Lakshadweep,383,423,806,4,33,37,0,2,2,116,155,271,33,34,67,34,51,85,31,24,55,67,64,131,36,29,65,62,31,93
2021-22,Madhya Pradesh,317981,283227,601208,401,3959,4360,1451,5395,6846,133064,105859,238923,21286,27615,48901,90217,83868,174085,7577,8689,16266,32613,24264,56877,12606,10886,23492,18766,12692,31458
2021-22,Maharashtra,386196,362393,748589,95,2805,2900,438,2313,2751,145575,172917,318492,25652,29568,55220,67462,53089,120551,25111,19052,44163,76834,51633,128467,3761,3944,7705,41268,27072,68340
2021-22,Manipur,19504,23180,42684,33,382,415,392,1434,1826,7039,9745,16784,2297,2731,5028,2701,2656,5357,2061,1820,3881,2442,1958,4400,748,604,1352,1791,1850,3641
2021-22,Meghalaya,22933,32227,55160,63,461,524,964,2428,3392,8538,13462,22000,331,795,1126,7379,7860,15239,520,796,1316,3943,4399,8342,217,290,507,978,1736,2714
2021-22,Mizoram,12356,11010,23366,9,106,115,52,124,176,3376,4300,7676,365,417,782,4785,3609,8394,39,25,64,2710,1529,4239,27,10,37,993,890,1883
2021-22,Nagaland,13954,17448,31402,32,322,354,348,611,959,5198,6962,12160,1046,1556,2602,3966,4108,8074,742,771,1513,1869,1898,3767,219,291,510,534,929,1463
2021-22,Odisha,177442,153894,331336,30,486,516,165,770,935,60381,64785,125166,38768,39493,78261,22891,16820,39711,10204,8756,18960,32381,16005,48386,955,581,1536,11667,6198,17865
2021-22,Puducherry,3081,9274,12355,2,563,565,13,177,190,559,3443,4002,184,904,1088,278,767,1045,710,1471,2181,360,689,1049,309,422,731,666,838,1504
2021-22,Punjab,63701,193433,257134,323,6697,7020,3484,11290,14774,13618,55779,69397,803,5955,6758,9791,34248,44039,6460,14255,20715,14194,36607,50801,2944,5715,8659,12084,22887,34971
2021-22,Rajasthan,437175,287350,724525,513,5488,6001,3485,8584,12069,113812,97925,211737,52087,41675,93762,83772,54291,138063,65115,30367,95482,31875,14818,46693,57224,22699,79923,29292,11503,40795
