Year,State,Total,Primary,Upper Primary,Secondary,Higher Secondary
2018-19,India,1551000,826982,443392,150604,130022
2018-19,Andaman and Nicobar Islands,414,217,81,50,66
2018-19,Andhra Pradesh,63621,39499,9427,12513,2182
2018-19,Arunachal Pradesh,3793,2031,1299,302,161
2018-19,Assam,66324,44519,12008,7568,2229
2018-19,Bihar,89224,42733,37894,3666,4931
2018-19,Chandigarh,229,20,41,72,96
2018-19,Chhattisgarh,56274,32811,16370,2702,4391
2018-19,Dadra and Nagar Haveli,346,168,131,23,24
2018-19,Daman and Diu,140,50,42,24,24
2018-19,Delhi,5703,2695,872,367,1769
2018-19,Goa,1486,907,61,404,114
2018-19,Gujarat,54581,12282,30065,4846,7388
2018-19,Haryana,23534,9885,5500,3176,4973
2018-19,Himachal Pradesh,18212,11252,2771,1726,2463
2018-19,Jammu and Kashmir,28654,14652,9689,3091,1222
2018-19,Jharkhand,45908,24453,16529,3351,1575
2018-19,Karnataka,78233,25554,31802,15388,5489
2018-19,Kerala,16701,7132,4680,1927,2962
2018-19,Ladakh,1054,454,447,109,44
2018-19,Lakshadweep,45,15,15,2,13
2018-19,Madhya Pradesh,154064,86975,49622,8262,9205
2018-19,Maharashtra,109942,52574,29922,17404,10042
2018-19,Manipur,4844,2600,1084,914,246
2018-19,Meghalaya,14669,9348,3553,1418,350
2018-19,Mizoram,3913,1504,1540,683,186
2018-19,Nagaland,2752,1190,800,577,185
2018-19,Odisha,68717,34954,21850,9514,2399
2018-19,Puducherry,739,280,83,197,179
2018-19,Punjab,28637,13872,5122,4484,5159
2018-19,Rajasthan,105883,38766,36463,10587,20067
2018-19,Sikkim,1290,722,314,146,108
2018-19,Tamil Nadu,59152,35970,9411,5828,7943
2018-19,Telangana,42355,20753,7356,11847,2399
2018-19,Tripura,4945,2578,1245,669,453
2018-19,Uttar Pradesh,273235,161366,80624,12083,19162
2018-19,Uttarakhand,23559,14338,5430,1341,2450
2018-19,West Bengal,97828,77863,9249,3343,7373
2019-20,India,1507708,778842,443643,151489,133734
2019-20,Andaman and Nicobar Islands,418,222,76,53,67
2019-20,Andhra Pradesh,63824,39388,9282,12352,2802
2019-20,Arunachal Pradesh,3666,1924,1276,309,157
2019-20,Assam,65907,44175,11915,7567,2250
2019-20,Bihar,90275,42712,38411,3843,5309
2019-20,Chandigarh,229,20,41,71,97
2019-20,Chhattisgarh,56303,32715,16393,2726,4469
2019-20,Dadra and Nagar Haveli,346,166,133,23,24
2019-20,Daman and Diu,137,49,40,23,25
2019-20,Delhi,5669,2660,867,359,1783
2019-20,Goa,1482,901,60,407,114
2019-20,Gujarat,54629,12468,29716,4842,7603
2019-20,Haryana,23699,9813,5503,3115,5268
2019-20,Himachal Pradesh,18185,11195,2747,1739,2504
2019-20,Jammu and Kashmir,28863,14792,9689,3132,1250
2019-20,Jharkhand,45596,24207,16443,3333,1613
2019-20,Karnataka,77166,24821,31270,15238,5837
2019-20,Kerala,16665,7070,4691,1944,2960
2019-20,Ladakh,1054,454,445,109,46
2019-20,Lakshadweep,45,15,15,2,13
