Year,State,Total Schools,Number of schools having drinking water facility within school premises - all management - Any source of drinking water,Number of schools having drinking water facility within school premises - all management - Tap Water,Number of schools having drinking water facility within school premises - all management - Packed Water,Number of schools having drinking water facility within school premises - all management - Hand Pump,Number of schools having drinking water facility within school premises - all management - Well,Number of schools having drinking water facility within school premises - all management - Unprotected Well,Number of schools having drinking water facility within school premises - all management - Other sources,No. of schools not having drinking water facility within school premises
2018-19,India,1551000,1485623,600994,28350,699844,41716,3843,110876,65377
2018-19,Andaman and Nicobar Islands,414,414,361,1,0,20,6,26,0
2018-19,Andhra Pradesh,63621,56918,37657,0,8214,596,0,10451,6703
2018-19,Arunachal Pradesh,3793,2354,1895,18,275,77,32,57,1439
2018-19,Assam,66324,58948,8142,174,43070,3477,869,3216,7376
2018-19,Bihar,89224,88832,12418,283,75984,19,12,116,392
2018-19,Chandigarh,229,229,229,0,0,0,0,0,0
2018-19,Chhattisgarh,56274,55853,14300,0,41296,257,0,0,421
2018-19,Dadra and Nagar Haveli,346,346,267,7,47,5,0,20,0
2018-19,Daman and Diu,140,140,99,4,2,2,0,33,0
2018-19,Delhi,5703,5703,5606,25,15,4,0,53,0
2018-19,Goa,1486,1486,1419,12,1,16,0,38,0
2018-19,Gujarat,54581,54573,40426,827,5862,1817,136,5505,8
2018-19,Haryana,23534,23476,18953,144,1678,558,14,2129,58
2018-19,Himachal Pradesh,18212,18197,17603,65,257,56,24,192,15
2018-19,Jammu and Kashmir,28654,27695,22588,205,1376,305,359,2862,959
2018-19,Jharkhand,45908,44398,4068,122,38535,793,32,848,1510
2018-19,Karnataka,78233,77189,54413,0,7007,5898,271,9600,1044
2018-19,Kerala,16701,16626,5713,160,445,9437,169,702,75
2018-19,Ladakh,1054,765,437,25,181,11,5,106,289
2018-19,Lakshadweep,45,45,38,0,0,6,0,1,0
2018-19,Madhya Pradesh,154064,146947,25662,228,98277,2747,156,19877,7117
2018-19,Maharashtra,109942,108888,72990,1188,18043,4172,351,12144,1054
2018-19,Manipur,4844,4338,928,442,159,161,58,2590,506
2018-19,Meghalaya,14669,5531,3403,59,238,629,516,686,9138
2018-19,Mizoram,3913,3664,2552,53,3,33,13,1010,249
2018-19,Nagaland,2752,1747,1009,47,40,151,39,461,1005
2018-19,Odisha,68717,68717,2236,19729,45407,1345,0,0,0
2018-19,Puducherry,739,739,705,6,1,5,0,22,0
2018-19,Punjab,28637,28611,18805,35,1867,58,6,7840,26
2018-19,Rajasthan,105883,100528,53824,1042,26825,4892,431,13514,5355
2018-19,Sikkim,1290,1288,1230,5,1,4,6,42,2
2018-19,Tamil Nadu,59152,57033,54153,636,564,306,10,1364,2119
2018-19,Telangana,42355,39688,22514,1475,7529,1015,0,7155,2667
2018-19,Tripura,4945,3954,1904,16,1487,187,62,298,991
2018-19,Uttar Pradesh,273235,264546,43192,714,217604,331,40,2665,8689
2018-19,Uttarakhand,23559,21933,18158,133,2870,90,54,628,1626
2018-19,West Bengal,97828,93284,31097,470,54684,2236,172,4625,4544
2019-20,India,1507708,1464728,702224,19919,624060,31726,3901,82898,42980
2019-20,Andaman and Nicobar Islands,418,418,389,1,0,7,8,13,0
2019-20,Andhra Pradesh,63824,57189,57187,0,2,0,0,0,6635
2019-20,Arunachal Pradesh,3666,2821,2302,17,312,91,17,82,845
2019-20,Assam,65907,59404,9167,208,42664,3469,850,3046,6503
2019-20,Bihar,90275,90083,16747,367,72798,18,16,137,192
2019-20,Chandigarh,229,229,228,0,0,0,0,1,0
2019-20,Chhattisgarh,56303,55397,15998,202,38151,267,35,744,906
2019-20,Dadra and Nagar Haveli,346,346,295,6,27,4,0,14,0
2019-20,Daman and Diu,137,137,110,5,1,1,0,20,0
2019-20,Delhi,5669,5669,5669,0,0,0,0,0,0
2019-20,Goa,1482,1482,1470,3,0,3,0,6,0
2019-20,Gujarat,54629,54621,42798,1040,5185,1423,125,4050,8
2019-20,Haryana,23699,23657,19336,177,1487,438,12,2207,42
2019-20,Himachal Pradesh,18185,18169,17631,48,239,53,17,181,16
2019-20,Jammu and Kashmir,28863,27844,22892,189,1303,296,347,2817,1019
2019-20,Jharkhand,45596,44841,6510,203,36543,696,65,824,755
2019-20,Karnataka,77166,77036,70017,1483,2156,1539,90,1751,130
2019-20,Kerala,16665,16602,6250,160,437,8994,106,655,63
2019-20,Ladakh,1054,740,442,20,162,7,5,104,314
2019-20,Lakshadweep,45,45,39,0,0,5,0,1,0
2019-20,Madhya Pradesh,133379,129916,27547,622,83301,2498,202,15746,3463
2019-20,Maharashtra,110229,109438,74647,1662,17042,3893,348,11846,791
2019-20,Manipur,4663,4346,948,447,152,166,54,2579,317
2019-20,Meghalaya,14730,6207,3822,100,256,703,573,753,8523
2019-20,Mizoram,3924,3574,2620,68,2,34,17,833,350
2019-20,Nagaland,2758,1836,1057,54,42,148,43,492,922
2019-20,Odisha,67020,67017,21519,1358,43184,324,33,599,3
2019-20,Puducherry,741,741,718,5,1,3,0,14,0
2019-20,Punjab,28775,28775,19257,35,1724,62,3,7694,0
2019-20,Rajasthan,106240,103470,56209,1205,27035,4652,388,13981,2770
2019-20,Sikkim,1277,1276,1227,2,1,4,6,36,1
2019-20,Tamil Nadu,58897,58897,56377,578,517,285,6,1134,0
2019-20,Telangana,42575,40708,25790,3858,7142,471,0,3447,1867
2019-20,Tripura,4940,3977,1978,20,1401,182,70,326,963
2019-20,Uttar Pradesh,254352,250690,53689,851,193067,301,33,2749,3662
2019-20,Uttarakhand,23295,22107,18501,117,2751,84,37,617,1188
2019-20,West Bengal,95755,95023,40841,4808,44975,605,395,3399,732
2020-21,India,1509136,1470690,747264,18867,589397,30650,3621,80891,38446
2020-21,Andaman and Nicobar Islands,417,417,389,1,0,7,7,13,0
2020-21,Andhra Pradesh,63343,55985,55983,0,2,0,0,0,7358
2020-21,Arunachal Pradesh,3675,2814,2324,13,296,81,24,76,861
2020-21,Assam,65203,60296,12060,215,40537,3652,828,3004,4907
2020-21,Bihar,93459,93192,21034,417,71578,22,13,128,267
2020-21,Chandigarh,230,230,229,0,0,0,0,1,0
