Year,State,Total,Pre-Primary Only,Pre-Primary and Primary,Primary Only,Primary and Upper Primary,Upper Primary Only,Upper Primary and Secondary,Secondary Only,Secondary and Higher Secondary,Higher Secondary Only
2020-21,Jammu and Kashmir,101672,0,2893,38300,21,36908,56,15570,85,7839
2020-21,Jharkhand,121133,22,254,63005,14481,25371,2259,10552,1874,3315
2020-21,Karnataka,208168,9,64,48501,95107,11518,2664,41906,469,7930
2020-21,Kerala,77045,2933,33,24043,424,14583,342,18215,283,16189
2020-21,Ladakh,4512,81,161,1273,308,1557,147,564,70,351
2020-21,Lakshadweep,960,31,0,334,97,108,56,159,52,123
2020-21,Madhya Pradesh,305485,13,142,174263,6284,67584,1986,35065,4428,15720
2020-21,Maharashtra,249657,57,246,184307,5272,46642,1445,8786,760,2142
2020-21,Manipur,18972,15,567,10954,757,1679,1079,1782,420,1719
2020-21,Meghalaya,23393,136,1337,11319,60,9158,169,772,95,347
2020-21,Mizoram,13383,5,45,5038,3,5764,44,1860,36,588
2020-21,Nagaland,19384,98,610,8603,778,6058,436,2083,84,634
2020-21,Odisha,233273,0,9,110632,52665,31408,9806,27126,428,1199
2020-21,Puducherry,4715,137,31,1777,37,379,1167,392,121,674
2020-21,Punjab,122874,50,8059,38952,0,24467,0,33737,0,17609
2020-21,Rajasthan,398274,68,1930,143100,35380,81157,52935,19981,41634,22089
2020-21,Sikkim,10336,665,11,4354,48,1947,632,1351,35,1293
2020-21,Tamil Nadu,229837,26,1,81032,3938,45683,42980,21866,6828,27483
2020-21,Telangana,138468,23,722,51123,7634,8676,48056,10461,3156,8617
2020-21,Tripura,28160,0,7,12536,166,5322,841,4838,585,3865
2020-21,Uttar Pradesh,623194,64,529,445210,16156,142642,1830,10315,2844,3604
2020-21,Uttarakhand,59054,0,23,23567,95,9233,3837,11767,1870,8662
2020-21,West Bengal,469804,26402,216265,6437,854,61132,67438,27440,50967,12869
2021-22,India,4882446,31295,243481,2091747,317265,967285,388299,405777,198888,238409
2021-22,Andaman and Nicobar Islands,4178,169,38,1371,153,522,783,385,232,525
2021-22,Andhra Pradesh,191466,1,43,80738,10787,8896,67142,13423,2097,8339
2021-22,Arunachal Pradesh,16444,19,137,6552,2424,3309,813,1817,527,846
2021-22,Assam,220267,53,4780,107765,5950,37215,28478,21417,5860,8749
2021-22,Bihar,397787,1,5,151813,42053,152016,1253,32845,8066,9735
2021-22,Chandigarh,4920,105,13,1438,160,447,1694,275,206,582
2021-22,Chhattisgarh,178631,8,23,81671,645,48755,678,13715,24535,8601
2021-22,Daman and Diu and Dadra and Nagar Haveli,2869,10,3,1239,32,721,16,499,98,251
2021-22,Delhi,84575,1978,0,24534,0,21551,0,17283,0,19229
2021-22,Goa,3069,6,0,1601,12,391,439,347,31,242
2021-22,Gujarat,192100,4,42,109722,1291,72367,477,5206,444,2547
2021-22,Haryana,93883,15,7,36314,61,19226,8511,4339,21695,3715
2021-22,Himachal Pradesh,67254,45,460,20460,61,9296,13958,6155,4306,12513
2021-22,Jammu and Kashmir,98348,15,2904,39635,523,32408,129,15088,104,7542
2021-22,Jharkhand,118856,18,407,62649,17931,19390,2445,10589,2211,3216
2021-22,Karnataka,199057,6,8,49090,85324,11893,3943,39651,692,8450
2021-22,Kerala,76839,3321,15,24673,325,14356,255,18087,214,15593
2021-22,Ladakh,4483,42,164,1220,624,1139,340,489,98,367
2021-22,Lakshadweep,806,37,2,271,67,85,55,131,65,93
2021-22,Madhya Pradesh,303935,9,35,167087,8394,63540,3923,34272,9637,17038
2021-22,Maharashtra,242509,130,100,178878,9311,41177,1701,8434,804,1974
2021-22,Manipur,18037,38,755,10031,979,1340,1088,1537,576,1693
2021-22,Meghalaya,22901,140,1493,10935,60,8860,191,773,99,350
2021-22,Mizoram,13601,2,31,4954,6,5962,58,1923,37,628
2021-22,Nagaland,19057,90,669,8603,1032,5444,554,1927,110,628
2021-22,Odisha,211361,6,6,94446,53728,25868,10362,24523,775,1647
2021-22,Puducherry,4730,238,53,1682,26,353,1230,359,114,675
2021-22,Punjab,121716,1835,10024,34135,173,16939,15619,22703,4278,16010
2021-22,Rajasthan,390871,46,104,139779,41502,75229,51339,19224,42098,21550
2021-22,Sikkim,9846,555,61,4138,114,1627,806,1169,186,1190
2021-22,Tamil Nadu,229803,36,3,81210,3792,45634,43332,21922,6656,27218
2021-22,Telangana,140295,28,2059,49696,7448,8916,48778,11652,3392,8326
2021-22,Tripura,28041,6,8,12203,259,5545,938,4791,538,3753
2021-22,Uttar Pradesh,635712,49,59,454923,21225,138383,2087,11896,3217,3873
2021-22,Uttarakhand,59355,0,1,23674,91,9092,4650,10876,2503,8468
2021-22,West Bengal,474844,22234,218969,12617,702,59393,70234,26055,52387,12253
