Year,State,Pre-Primary - Boys,Pre-Primary - Girls,Pre-Primary - Total,Primary (1-5) - Boys,Primary (1-5) - Girls,Primary (1-5) - Total,Upper Primary (6-8) - Boys,Upper Primary (6-8) - Girls,Upper Primary (6-8) - Total,Elementary (1-8) - Boys,Elementary (1-8) - Girls,Elementary (1-8) - Total,Secondary (9-10) - Boys,Secondary (9-10) - Girls,Secondary (9-10) - Total,Higher Secondary (11-12) - Boys,Higher Secondary (11-12) - Girls,Higher Secondary (11-12) - Total,Primary to Higher Secondary (1-12) - Boys,Primary to Higher Secondary (1-12) - Girls,Primary to Higher Secondary (1-12) - Total,Total (Pre-Primary to Higher Secondary) - Boys,Total (Pre-Primary to Higher Secondary) - Girls,Total (Pre-Primary to Higher Secondary) - Total
2018-19,India,6492773,5462859,11955632,62509126,57721044,120230170,33159087,31107939,64267026,95668213,88828983,184497196,20006747,18327824,38334571,13182632,12324185,25506817,128857592,119480992,248338584,135350365,124943851,260294216
2018-19,Andaman and Nicobar Islands,4413,4092,8505,15248,14587,29835,9300,8957,18257,24548,23544,48092,5971,5901,11872,4373,4658,9031,34892,34103,68995,39305,38195,77500
2018-19,Andhra Pradesh,0,0,0,1909109,1703014,3612123,1083809,1010513,2094322,2992918,2713527,5706445,689777,646849,1336626,408240,410588,818828,4090935,3770964,7861899,4090935,3770964,7861899
2018-19,Arunachal Pradesh,9248,8192,17440,86215,83219,169434,42616,45106,87722,128831,128325,257156,23751,23906,47657,12159,12466,24625,164741,164697,329438,173989,172889,346878
2018-19,Assam,273452,250111,523563,1853314,1816419,3669733,895777,956005,1851782,2749091,2772424,5521515,464768,523369,988137,216046,204741,420787,3429905,3500534,6930439,3703357,3750645,7454002
2018-19,Bihar,368392,228833,597225,6653044,6442653,13095697,3259255,3377716,6636971,9912299,9820369,19732668,1559512,1601566,3161078,747069,675294,1422363,12218880,12097229,24316109,12587272,12326062,24913334
2018-19,Chandigarh,14125,12395,26520,50102,44099,94201,35665,29790,65455,85767,73889,159656,22505,19328,41833,22828,18053,40881,131100,111270,242370,145225,123665,268890
2018-19,Chhattisgarh,145997,128176,274173,1350470,1285811,2636281,768077,749245,1517322,2118547,2035056,4153603,453326,493101,946427,273896,305255,579151,2845769,2833412,5679181,2991766,2961588,5953354
2018-19,Dadra and Nagar Haveli,1869,1411,3280,21900,19588,41488,10511,9251,19762,32411,28839,61250,7255,6306,13561,3742,3742,7484,43408,38887,82295,45277,40298,85575
2018-19,Daman and Diu,1306,1153,2459,10197,8882,19079,5554,4844,10398,15751,13726,29477,3307,3013,6320,1791,1862,3653,20849,18601,39450,22155,19754,41909
2018-19,Delhi,143385,129143,272528,960317,843183,1803500,598198,525240,1123438,1558515,1368423,2926938,384367,346665,731032,249681,236592,486273,2192563,1951680,4144243,2335948,2080823,4416771
2018-19,Goa,15014,14365,29379,64005,59877,123882,37453,34504,71957,101458,94381,195839,25355,22817,48172,18778,19356,38134,145591,136554,282145,160605,150919,311524
2018-19,Gujarat,154507,119753,274260,2869419,2549065,5418484,1745148,1511660,3256808,4614567,4060725,8675292,1039052,767544,1806596,546399,453065,999464,6200018,5281334,11481352,6354525,5401087,11755612
2018-19,Haryana,187558,142750,330308,1398262,1148267,2546529,800210,656307,1456517,2198472,1804574,4003046,540210,427357,967567,325820,267744,593564,3064502,2499675,5564177,3252060,2642425,5894485
2018-19,Himachal Pradesh,55553,46063,101616,303536,277143,580679,179424,161514,340938,482960,438657,921617,133145,118986,252131,103292,97095,200387,719397,654738,1374135,774950,700801,1475751
2018-19,Jammu and Kashmir,176338,155428,331766,566321,517635,1083956,298216,270460,568676,864537,788095,1652632,171863,150854,322717,123040,108358,231398,1159440,1047307,2206747,1335778,1202735,2538513
2018-19,Jharkhand,311115,243514,554629,2082267,1946604,4028871,992493,1001063,1993556,3074760,2947667,6022427,480371,487238,967609,314449,304309,618758,3869580,3739214,7608794,4180695,3982728,8163423
2018-19,Karnataka,326896,269651,596547,2862959,2639544,5502503,1590525,1481692,3072217,4453484,4121236,8574720,937551,862714,1800265,459868,519122,978990,5850903,5503072,11353975,6177799,5772723,11950522
2018-19,Kerala,281291,263774,545065,1258948,1205351,2464299,757739,725904,1483643,2016687,1931255,3947942,524090,496186,1020276,410500,437828,848328,2951277,2865269,5816546,3232568,3129043,6361611
2018-19,Ladakh,5568,5149,10717,11355,11162,22517,5716,5909,11625,17071,17071,34142,3380,3733,7113,2137,2561,4698,22588,23365,45953,28156,28514,56670
2018-19,Lakshadweep,585,543,1128,2470,2364,4834,1206,1308,2514,3676,3672,7348,1079,1043,2122,1087,1118,2205,5842,5833,11675,6427,6376,12803
2018-19,Madhya Pradesh,316983,256770,573753,3942871,3621229,7564100,2223832,2007490,4231322,6166703,5628719,11795422,1336497,1152190,2488687,760517,666399,1426916,8263717,7447308,15711025,8580700,7704078,16284778
2018-19,Maharashtra,469420,406240,875660,5268893,4652459,9921352,3095100,2731600,5826700,8363993,7384059,15748052,1999833,1723380,3723213,1565517,1319251,2884768,11929343,10426690,22356033,12398763,10832930,23231693
2018-19,Manipur,35299,33149,68448,171156,163186,334342,78849,76724,155573,250005,239910,489915,42685,42296,84981,32841,30754,63595,325531,312960,638491,360830,346109,706939
2018-19,Meghalaya,114325,109045,223370,261738,258411,520149,109540,122128,231668,371278,380539,751817,51298,60052,111350,26683,31611,58294,449259,472202,921461,563584,581247,1144831
2018-19,Mizoram,19280,18354,37634,70525,66627,137152,34018,32438,66456,104543,99065,203608,20816,20382,41198,11701,12677,24378,137060,132124,269184,156340,150478,306818
2018-19,Nagaland,45545,41850,87395,96158,91183,187341,50339,49776,100115,146497,140959,287456,27585,28361,55946,16054,16845,32899,190136,186165,376301,235681,228015,463696
2018-19,Odisha,85983,70516,156499,1864042,1741497,3605539,1106087,1020956,2127043,2970129,2762453,5732582,661926,631081,1293007,517795,558947,1076742,4149850,3952481,8102331,4235833,4022997,8258830
2018-19,Puducherry,16684,15367,32051,52345,49494,101839,31400,30019,61419,83745,79513,163258,21165,20426,41591,16153,18040,34193,121063,117979,239042,137747,133346,271093
2018-19,Punjab,410213,345180,755393,1250693,1056325,2307018,748335,621609,1369944,1999028,1677934,3676962,495877,404313,900190,377813,309725,687538,2872718,2391972,5264690,3282931,2737152,6020083
2018-19,Rajasthan,594716,457749,1052465,4278269,3805179,8083448,2187909,1845666,4033575,6466178,5650845,12117023,1417353,1137762,2555115,1024441,770983,1795424,8907972,7559590,16467562,9502688,8017339,17520027
2018-19,Sikkim,9945,9472,19417,26268,23326,49594,17431,17409,34840,43699,40735,84434,12479,13837,26316,7247,9055,16302,63425,63627,127052,73370,73099,146469
2018-19,Tamil Nadu,661392,575942,1237334,2748544,2556001,5304545,1616260,1521003,3137263,4364804,4077004,8441808,1050651,1001773,2052424,780679,904446,1685125,6196134,5983223,12179357,6857526,6559165,13416691
2018-19,Telangana,78359,66157,144516,1587999,1464116,3052115,865036,819005,1684041,2453035,2283121,4736156,546278,528056,1074334,357835,388376,746211,3357148,3199553,6556701,3435507,3265710,6701217
2018-19,Tripura,16729,13888,30617,168537,162844,331381,99608,98075,197683,268145,260919,529064,61548,62987,124535,29382,27778,57160,359075,351684,710759,375804,365572,741376
2018-19,Uttar Pradesh,204057,155087,359144,11788991,10997867,22786858,5449361,5165012,10614373,17238352,16162879,33401231,3367498,2837951,6205449,2437307,2086427,4523734,23043157,21087257,44130414,23247214,21242344,44489558
2018-19,Uttarakhand,71099,56430,127529,564850,496740,1061590,311273,281285,592558,876123,778025,1654148,198935,179907,378842,148008,144614,292622,1223066,1102546,2325612,1294165,1158976,2453141
2018-19,West Bengal,866132,807167,1673299,4037789,3896093,7933882,2017817,2100756,4118573,6055606,5996849,12052455,1223688,1474594,2698282,827464,944450,1771914,8106758,8415893,16522651,8972890,9223060,18195950
