Year,State,Primary (1-5),Upper Primary (6-8),Elementary (1-8),Secondary (9-10),Higher Secondary (11-12)
2020-21,Maharashtra,1.03,0.99,1.01,0.97,1.0
2020-21,Manipur,1.04,1.04,1.04,1.03,0.98
2020-21,Meghalaya,1.03,1.15,1.07,1.25,1.25
2020-21,Mizoram,0.99,1.01,1.0,1.13,1.11
2020-21,Nagaland,1.05,1.1,1.07,1.15,1.16
2020-21,Odisha,0.99,0.98,0.99,0.98,1.07
2020-21,Puducherry,1.02,1.01,1.01,1.07,1.17
2020-21,Punjab,0.99,1.01,1.0,0.98,1.04
2020-21,Rajasthan,1.02,0.95,0.99,0.89,0.89
2020-21,Sikkim,0.93,1.02,0.97,1.1,1.28
2020-21,Tamil Nadu,1.01,0.99,1.01,1.0,1.17
2020-21,Telangana,1.01,0.99,1.0,1.01,1.08
2020-21,Tripura,1.04,1.03,1.04,1.11,1.12
2020-21,Uttar Pradesh,1.05,1.03,1.04,0.9,0.93
2020-21,Uttarakhand,1.03,1.02,1.03,1.0,1.09
2020-21,West Bengal,1.0,1.04,1.02,1.23,1.2
2021-22,India,1.03,1.0,1.02,1.0,1.02
2021-22,Andaman and Nicobar Islands,1.05,1.02,1.04,1.12,1.13
2021-22,Andhra Pradesh,1.0,0.95,0.98,0.98,1.06
2021-22,Arunachal Pradesh,1.01,1.07,1.03,1.05,1.09
2021-22,Assam,1.06,1.1,1.07,1.2,1.11
2021-22,Bihar,1.03,1.03,1.02,1.06,1.02
2021-22,Chandigarh,1.11,1.13,1.12,1.12,1.17
2021-22,Chhattisgarh,1.0,1.0,1.0,1.08,1.17
2021-22,Daman and Diu and Dadra and Nagar Haveli,1.05,1.04,1.05,1.1,1.58
2021-22,Delhi,1.07,1.03,1.05,1.02,1.09
2021-22,Goa,1.05,1.03,1.04,1.06,1.07
2021-22,Gujarat,1.06,1.0,1.04,0.94,0.98
2021-22,Haryana,1.01,0.99,1.0,0.97,1.01
2021-22,Himachal Pradesh,1.01,1.03,1.02,1.01,1.03
2021-22,Jammu and Kashmir,1.01,1.07,1.04,1.02,0.99
2021-22,Jharkhand,1.01,1.02,1.01,1.06,1.07
2021-22,Karnataka,1.0,0.99,1.0,1.0,1.08
2021-22,Kerala,0.99,0.99,0.99,0.99,1.08
2021-22,Ladakh,0.88,0.93,0.89,1.01,1.09
2021-22,Lakshadweep,1.03,0.82,0.94,0.96,0.92
2021-22,Madhya Pradesh,1.0,0.98,0.99,0.96,0.98
2021-22,Maharashtra,1.05,0.98,1.02,0.98,0.98
2021-22,Manipur,1.04,1.05,1.04,1.04,1.0
2021-22,Meghalaya,1.04,1.16,1.07,1.24,1.34
2021-22,Mizoram,1.0,1.02,1.01,1.1,1.15
2021-22,Nagaland,1.06,1.1,1.07,1.16,1.18
2021-22,Odisha,1.0,1.0,1.0,1.01,1.09
2021-22,Puducherry,1.02,1.02,1.02,1.08,1.13
2021-22,Punjab,0.99,1.02,1.0,1.01,1.02
2021-22,Rajasthan,1.03,0.96,1.0,0.92,0.9
2021-22,Sikkim,0.94,1.01,0.96,1.07,1.27
2021-22,Tamil Nadu,1.02,0.99,1.01,1.0,1.11
2021-22,Telangana,1.01,0.98,1.0,1.01,1.06
2021-22,Tripura,1.04,1.04,1.04,1.08,1.15
2021-22,Uttar Pradesh,1.04,1.02,1.04,0.92,0.92
2021-22,Uttarakhand,1.05,1.02,1.04,1.02,1.04
2021-22,West Bengal,1.01,1.02,1.01,1.12,1.31
