Year,State,Total Schools - All management,Total Schools - Government,Total Schools - Government aided,Total Schools - Pvt. unaided,Total Schools - Others,Schools with computer facility - All management,Schools with computer facility - Government,Schools with computer facility - Government aided,Schools with computer facility - Pvt. unaided,Schools with computer facility - Others
2020-21,Chandigarh,230,121,7,75,27,229,120,7,75,27
2020-21,Chhattisgarh,56494,48619,430,7131,314,47792,42288,199,5191,114
2020-21,Daman and Diu and Dadra and Nagar Haveli,479,407,8,63,1,430,363,8,58,1
2020-21,Delhi,5642,2751,250,2641,0,5642,2751,250,2641,0
2020-21,Goa,1481,821,522,138,0,764,160,474,130,0
2020-21,Gujarat,54444,34967,5640,13834,3,50651,32976,5433,12240,2
2020-21,Haryana,23764,14563,17,8235,949,13117,5110,15,7270,722
2020-21,Himachal Pradesh,18145,15391,0,2753,1,6340,3883,0,2457,0
2020-21,Jammu and Kashmir,28930,23167,1,5649,113,8191,4285,1,3845,60
2020-21,Jharkhand,45319,35888,1175,1542,6714,35949,30429,367,1261,3892
2020-21,Karnataka,76905,49791,7182,19915,17,37725,17346,4933,15438,8
2020-21,Kerala,16481,5020,7191,3241,1029,15886,4782,7148,3054,902
2020-21,Ladakh,1056,915,29,112,0,368,275,9,84,0
2020-21,Lakshadweep,45,45,0,0,0,45,45,0,0,0
2020-21,Madhya Pradesh,133271,99152,773,31512,1834,22243,6902,178,14956,207
2020-21,Maharashtra,110114,65734,23924,19632,824,83949,43835,21105,18300,709
2020-21,Manipur,4653,2878,585,1027,163,1549,490,45,913,101
2020-21,Meghalaya,14694,7795,4176,2179,544,2156,701,809,522,124
2020-21,Mizoram,3925,2558,231,1050,86,2019,1059,183,718,59
2020-21,Nagaland,2719,1975,0,743,1,1281,712,0,568,1
2020-21,Odisha,64185,50256,5844,6393,1692,12673,7244,1014,3751,664
2020-21,Puducherry,741,422,33,286,0,717,398,33,286,0
2020-21,Punjab,28695,19330,455,8893,17,28345,19279,406,8654,6
2020-21,Rajasthan,107376,68813,0,36023,2540,51565,23171,0,27603,791
2020-21,Sikkim,1263,851,19,393,0,995,657,12,326,0
2020-21,Tamil Nadu,58904,37589,8326,12402,587,45938,30369,3917,11182,470
2020-21,Telangana,42917,30015,700,12023,179,16443,7492,223,8696,32
2020-21,Tripura,4934,4265,43,360,266,1062,726,30,251,55
2020-21,Uttar Pradesh,256911,137068,8125,96741,14977,53904,8077,3748,39353,2726
2020-21,Uttarakhand,23169,16651,614,5396,508,9637,4844,422,4155,216
2020-21,West Bengal,95153,83379,87,10042,1645,15195,11949,43,2860,343
2021-22,India,1489115,1022386,82480,335844,48405,707498,385424,56506,246018,19550
2021-22,Andaman and Nicobar Islands,416,342,2,72,0,278,206,2,70,0
2021-22,Andhra Pradesh,61948,45137,1542,15058,211,31981,16899,519,14429,134
2021-22,Arunachal Pradesh,3603,2985,68,503,47,1226,678,65,449,34
2021-22,Assam,60859,45490,3841,5852,5676,11478,7771,324,3239,144
2021-22,Bihar,93165,75558,742,8097,8768,17569,6811,159,5771,4828
2021-22,Chandigarh,233,123,7,76,27,233,123,7,76,27
2021-22,Chhattisgarh,56512,48743,417,7063,289,50519,44767,220,5410,122
2021-22,Daman and Diu and Dadra and Nagar Haveli,460,388,8,63,1,410,341,8,60,1
2021-22,Delhi,5619,2762,247,2610,0,5619,2762,247,2610,0
2021-22,Goa,1510,814,557,139,0,835,177,525,133,0
2021-22,Gujarat,53851,34699,5590,13559,3,52781,34131,5548,13099,3
2021-22,Haryana,23726,14562,16,8261,887,22107,13486,14,7866,741
2021-22,Himachal Pradesh,18028,15380,0,2646,2,7310,4815,0,2495,0
2021-22,Jammu and Kashmir,28805,23173,1,5526,105,9631,5247,1,4314,69
2021-22,Jharkhand,44855,35840,1175,1559,6281,38224,31896,441,1412,4475
2021-22,Karnataka,76450,49679,7110,19650,11,43142,20204,5547,17382,9
2021-22,Kerala,16240,5010,7183,3164,883,15970,4821,7179,3120,850
2021-22,Ladakh,978,838,28,112,0,452,344,10,98,0
2021-22,Lakshadweep,38,38,0,0,0,38,38,0,0,0
2021-22,Madhya Pradesh,125582,92695,740,30345,1802,32645,11534,296,20357,458
2021-22,Maharashtra,109605,65639,24037,19268,661,89257,47447,22446,18749,615
2021-22,Manipur,4617,2889,583,1010,135,1708,622,50,941,95
2021-22,Meghalaya,14600,7783,4172,2120,525,2673,874,974,668,157
2021-22,Mizoram,3911,2563,230,1034,84,2092,1106,188,739,59
2021-22,Nagaland,2718,1960,0,757,1,1559,894,0,664,1
2021-22,Odisha,62291,49072,5807,6104,1308,16464,8990,1950,4729,795
2021-22,Puducherry,736,422,33,281,0,733,419,33,281,0
2021-22,Punjab,27701,19259,450,7978,14,27581,19250,416,7906,9
2021-22,Rajasthan,106373,68948,0,34826,2599,55321,25433,0,28979,909
2021-22,Sikkim,1259,864,19,376,0,1132,761,14,357,0
2021-22,Tamil Nadu,58801,37636,8323,12396,446,46092,30471,3976,11292,353
2021-22,Telangana,43083,30023,700,12193,167,18483,8296,263,9890,34
2021-22,Tripura,4929,4262,43,363,261,1607,1228,32,295,52
2021-22,Uttar Pradesh,258054,137024,8113,97808,15109,69635,11135,4529,50110,3861
2021-22,Uttarakhand,22815,16484,608,5225,498,13292,8106,469,4456,261
2021-22,West Bengal,94744,83302,88,9750,1604,17421,13341,54,3572,454
