Year,State,Total Schools - All management,Total Schools - Government,Total Schools - Government aided,Total Schools - Pvt. unaided,Total Schools - Others,Schools with functional computer facility - All management,Schools with functional computer facility - Government,Schools with functional computer facility - Government aided,Schools with functional computer facility - Pvt. unaided,Schools with functional computer facility - Others
2019-20,Dadra and Nagar Haveli,346,300,4,42,0,290,249,4,37,0
2019-20,Daman and Diu,137,109,4,23,1,133,106,4,22,1
2019-20,Delhi,5669,2767,250,2652,0,5322,2594,219,2509,0
2019-20,Goa,1482,827,517,138,0,739,146,464,129,0
2019-20,Gujarat,54629,35040,5688,13898,3,40398,24021,4985,11390,2
2019-20,Haryana,23699,14484,17,8195,1003,12374,4620,14,7014,726
2019-20,Himachal Pradesh,18185,15398,0,2786,1,6038,3624,0,2414,0
2019-20,Jammu and Kashmir,28863,23165,1,5585,112,6835,3281,1,3501,52
2019-20,Jharkhand,45596,35931,1173,1522,6970,33465,28605,332,1100,3428
2019-20,Karnataka,77166,49834,7244,20069,19,35757,17130,4882,13739,6
2019-20,Kerala,16665,5014,7193,3282,1176,15405,4651,6889,2929,936
2019-20,Ladakh,1054,913,29,112,0,330,246,8,76,0
2019-20,Lakshadweep,45,45,0,0,0,44,44,0,0,0
2019-20,Madhya Pradesh,133379,99411,790,31201,1977,17712,5578,141,11830,163
2019-20,Maharashtra,110229,65886,23791,19654,898,78339,39675,20247,17689,728
2019-20,Manipur,4663,2876,585,1015,187,1384,366,36,863,119
2019-20,Meghalaya,14730,7799,4180,2198,553,1954,654,725,466,109
2019-20,Mizoram,3924,2552,231,1046,95,1885,974,173,677,61
2019-20,Nagaland,2758,2011,0,746,1,1169,626,0,542,1
2019-20,Odisha,67020,53260,5839,6375,1546,17064,8500,3873,4040,651
2019-20,Puducherry,741,422,33,286,0,656,362,27,267,0
2019-20,Punjab,28775,19377,457,8623,318,16369,8305,389,7420,255
2019-20,Rajasthan,106240,67660,0,36056,2524,46965,20968,0,25362,635
2019-20,Sikkim,1277,851,19,407,0,771,457,11,303,0
2019-20,Tamil Nadu,58897,37579,8328,12382,608,45087,29733,3822,11060,472
2019-20,Telangana,42575,30001,702,11688,184,15048,6950,203,7865,30
2019-20,Tripura,4940,4275,45,352,268,745,449,29,218,49
2019-20,Uttar Pradesh,254352,137638,8048,93750,14916,45009,6555,3387,32876,2191
2019-20,Uttarakhand,23295,16741,617,5467,470,8071,3727,380,3771,193
2019-20,West Bengal,95755,83456,93,10424,1782,13078,10413,38,2331,296
2020-21,India,1509136,1032049,84295,340753,52039,601857,321024,50947,213647,16239
2020-21,Andaman and Nicobar Islands,417,342,2,73,0,256,190,2,64,0
2020-21,Andhra Pradesh,63343,45145,2121,15792,285,23362,10033,335,12893,101
2020-21,Arunachal Pradesh,3675,3061,67,496,51,944,476,58,379,31
2020-21,Assam,65203,46749,4983,6045,7426,8953,5808,258,2787,100
2020-21,Bihar,93459,75555,735,7923,9246,13164,4035,115,4847,4167
2020-21,Chandigarh,230,121,7,75,27,228,120,7,75,26
2020-21,Chhattisgarh,56494,48619,430,7131,314,45447,40014,189,5136,108
2020-21,Daman and Diu and Dadra and Nagar Haveli,479,407,8,63,1,424,357,8,58,1
2020-21,Delhi,5642,2751,250,2641,0,5642,2751,250,2641,0
2020-21,Goa,1481,821,522,138,0,751,149,473,129,0
2020-21,Gujarat,54444,34967,5640,13834,3,50333,32866,5411,12054,2
