Year,State,Total (Pre-primary to 12),Pre-Primary,Primary (1-5),Upper Primary (6-8),Elementary (1-8),Secondary (9-10),Higher Secondary (11-12)
2020-21,Delhi,4476633,248340,1749132,1153258,2902390,762436,563467
2020-21,Goa,302123,20516,120779,71777,192556,50217,38834
2020-21,Gujarat,11495841,187847,5382429,3082327,8464756,1841443,1001795
2020-21,Haryana,5808640,206487,2498572,1443313,3941885,964279,695989
2020-21,Himachal Pradesh,1427089,93774,555200,339892,895092,233750,204473
2020-21,Jammu and Kashmir,2576358,294589,1091015,576755,1667770,337787,276212
2020-21,Jharkhand,7915190,351984,3803579,2055203,5858782,1001965,702459
2020-21,Karnataka,11856736,278311,5316103,3158190,8474293,1906216,1197916
2020-21,Kerala,6379071,555992,2460558,1490417,3950975,1000618,871486
2020-21,Ladakh,59253,10644,22982,12078,35060,7390,6159
2020-21,Lakshadweep,13114,1083,5294,2457,7751,2244,2036
2020-21,Madhya Pradesh,16242368,786123,7457339,4275073,11732412,2256402,1467431
2020-21,Maharashtra,22511839,596932,9544410,5846586,15390996,3725214,2798697
2020-21,Manipur,714126,66290,330829,155783,486612,91071,70153
2020-21,Meghalaya,1178726,220230,541509,242417,783926,117787,56783
2020-21,Mizoram,302839,34268,134048,69520,203568,40037,24966
2020-21,Nagaland,450098,81610,181172,98469,279641,56636,32211
2020-21,Odisha,7912588,152090,3549793,2142561,5692354,1325463,742681
2020-21,Puducherry,263633,23095,101208,62953,164161,41507,34870
2020-21,Punjab,6319048,739227,2350017,1456184,3806201,1016123,757497
2020-21,Rajasthan,17857457,752811,8319838,4226917,12546755,2612747,1945144
2020-21,Sikkim,137644,18955,47305,31267,78572,23499,16618
2020-21,Tamil Nadu,12944501,899008,5161557,3110765,8272322,2043392,1729779
2020-21,Telangana,6964553,233449,3031347,1794753,4826100,1121917,783087
2020-21,Tripura,706003,28474,318457,184264,502721,107950,66858
2020-21,Uttar Pradesh,46404506,411139,24126217,11124734,35250951,6079224,4663192
2020-21,Uttarakhand,2426054,91989,1049611,594201,1643812,378668,311585
2020-21,West Bengal,19405897,1791137,8531304,4238439,12769743,2912675,1932342
2021-22,India,265235830,9495207,121842250,66790692,188632942,38528631,28579050
2021-22,Andaman and Nicobar Islands,73861,6885,25964,17719,43683,11810,11483
2021-22,Andhra Pradesh,8244647,77391,3724793,2169034,5893827,1341250,932179
2021-22,Arunachal Pradesh,354382,26076,164061,84930,248991,45455,33860
2021-22,Assam,7544960,443388,3645363,1905775,5551138,1004682,545752
2021-22,Bihar,27472692,426254,14179532,7253543,21433075,3618298,1995065
2021-22,Chandigarh,268627,22059,95948,64102,160050,43795,42723
2021-22,Chhattisgarh,5992197,227967,2692513,1486418,4178931,840172,745127
2021-22,Daman and Diu and Dadra and Nagar Haveli,133358,5111,59586,35350,94936,18671,14640
2021-22,Delhi,4572107,253625,1754430,1190775,2945205,725275,648002
2021-22,Goa,304982,22556,121356,72310,193666,46866,41894
2021-22,Gujarat,11542276,164691,5387190,3090985,8478175,1750516,1148894
2021-22,Haryana,6035679,243645,2579262,1480339,4059601,952143,780290
2021-22,Himachal Pradesh,1437022,104874,550993,342695,893688,216429,222031
2021-22,Jammu and Kashmir,2718644,395249,1106932,577505,1684437,344485,294473
2021-22,Jharkhand,7970750,282543,3740909,2114309,5855218,1089069,743920
2021-22,Karnataka,12092381,265028,5456226,3196946,8653172,1970316,1203865
2021-22,Kerala,6423120,568172,2486240,1501003,3987243,996090,871615
2021-22,Ladakh,59788,10718,22892,12166,35058,7582,6430
2021-22,Lakshadweep,13586,1582,5395,2813,8208,1873,1923
2021-22,Madhya Pradesh,16169265,741979,7357389,4224219,11581608,2196508,1649170
2021-22,Maharashtra,22586695,525861,9565321,5855597,15420918,3735647,2904269
2021-22,Manipur,693194,61723,310023,150863,460886,91005,79580
2021-22,Meghalaya,1169720,214782,530390,244008,774398,117496,63044
2021-22,Mizoram,309904,32567,136649,71949,208598,40605,28134
2021-22,Nagaland,443796,76621,177955,96439,274394,58721,34060
2021-22,Odisha,7576893,49376,3519153,2071755,5590908,1246381,690228
2021-22,Puducherry,255546,22518,95088,60767,155855,41002,36171
2021-22,Punjab,6147500,795454,2324297,1374962,3699259,867890,784897
2021-22,Rajasthan,17667510,492507,8256720,4308249,12564969,2420574,2189460
2021-22,Sikkim,135963,19634,45890,29469,75359,23151,17819
2021-22,Tamil Nadu,12830951,663651,5158880,3115298,8274178,2080142,1812980
2021-22,Telangana,6915241,151592,3041318,1801218,4842536,1118377,802736
2021-22,Tripura,713862,29683,312398,179559,491957,110536,81686
2021-22,Uttar Pradesh,47181438,407034,24182635,11590094,35772729,6223321,4778354
2021-22,Uttarakhand,2449926,94158,1061894,595782,1657676,365696,332396
2021-22,West Bengal,18733367,1568253,7966665,4421747,12388412,2766802,2009900
