Year,State,Number of Primary schools - Total,Number of Primary schools - Having AWC in the school campus,Number of Primary schools - Having Pre-Primary Sections,Number of Primary schools - Having AWC in the school campus or Pre-Primary Sections
2020-21,India,43485,1856,11844,12992
2020-21,Andaman and Nicobar Islands,2,0,2,2
2020-21,Andhra Pradesh,1541,187,111,283
2020-21,Arunachal Pradesh,67,0,21,21
2020-21,Assam,16,0,12,12
2020-21,Bihar,462,26,13,38
2020-21,Chandigarh,6,0,5,5
2020-21,Chhattisgarh,285,5,186,190
2020-21,Daman and Diu and Dadra and Nagar Haveli,6,0,1,1
2020-21,Delhi,159,0,10,10
2020-21,Goa,281,3,230,233
2020-21,Gujarat,251,`,39,48
2020-21,Haryana,15,0,7,7
2020-21,Himachal Pradesh,0,0,0,0
2020-21,Jammu and Kashmir,1,0,1,1
2020-21,Jharkhand,1009,52,613,623
2020-21,Karnataka,2838,192,819,978
2020-21,Kerala,5389,233,4375,4412
2020-21,Ladakh,29,2,1,3
2020-21,Lakshadweep,0,0,0,0
2020-21,Madhya Pradesh,532,20,84,104
2020-21,Maharashtra,18405,550,2502,2919
2020-21,Manipur,502,18,79,94
2020-21,Meghalaya,2527,202,2200,2239
2020-21,Mizoram,0,0,0,0
2020-21,Nagaland,0,0,0,0
2020-21,Odisha,339,48,9,54
2020-21,Puducherry,33,0,25,25
2020-21,Punjab,325,4,49,52
2020-21,Rajasthan,0,0,0,0
2020-21,Sikkim,13,0,7,7
2020-21,Tamil Nadu,6605,305,286,468
2020-21,Telangana,461,0,36,36
2020-21,Tripura,35,2,2,4
2020-21,Uttar Pradesh,1231,5,58,62
2020-21,Uttarakhand,62,1,14,14
2020-21,West Bengal,58,1,47,47
2021-22,India,42897,1408,11840,12619
2021-22,Andaman and Nicobar Islands,2,0,2,2
2021-22,Andhra Pradesh,1049,74,81,149
2021-22,Arunachal Pradesh,68,0,21,21
2021-22,Assam,17,0,13,13
2021-22,Bihar,459,14,13,27
2021-22,Chandigarh,6,0,5,5
2021-22,Chhattisgarh,277,10,180,184
2021-22,Daman and Diu and Dadra and Nagar Haveli,6,0,0,0
2021-22,Delhi,156,0,10,10
2021-22,Goa,312,4,251,253
2021-22,Gujarat,245,8,41,49
2021-22,Haryana,14,0,6,6
2021-22,Himachal Pradesh,0,0,0,0
2021-22,Jammu and Kashmir,1,0,1,1
2021-22,Jharkhand,1009,45,613,620
2021-22,Karnataka,2797,185,808,953
2021-22,Kerala,5381,238,4426,4460
2021-22,Ladakh,28,2,1,3
2021-22,Lakshadweep,0,0,0,0
2021-22,Madhya Pradesh,508,17,82,99
2021-22,Maharashtra,18451,528,2442,2815
2021-22,Manipur,502,23,84,105
2021-22,Meghalaya,2526,206,2218,2253
2021-22,Mizoram,0,0,0,0
2021-22,Nagaland,0,0,0,0
2021-22,Odisha,342,38,10,46
2021-22,Puducherry,33,0,25,25
2021-22,Punjab,323,5,50,54
2021-22,Rajasthan,0,0,0,0
2021-22,Sikkim,13,0,7,7
2021-22,Tamil Nadu,6605,2,291,293
2021-22,Telangana,461,2,48,50
2021-22,Tripura,35,1,2,3
2021-22,Uttar Pradesh,1154,5,52,56
2021-22,Uttarakhand,59,0,11,11
2021-22,West Bengal,58,1,46,46
