Year,State,Primary (1-5),Upper Primary (6-8),Secondary (9-10),Higher Secondary (11-12)
2020-21,Meghalaya,20,14,12,18
2020-21,Mizoram,15,8,9,13
2020-21,Nagaland,12,8,10,17
2020-21,Odisha,16,15,18,62
2020-21,Puducherry,18,14,10,15
2020-21,Punjab,24,23,14,18
2020-21,Rajasthan,26,13,11,16
2020-21,Sikkim,7,9,10,11
2020-21,Tamil Nadu,20,15,13,20
2020-21,Telangana,20,13,10,28
2020-21,Tripura,18,21,14,12
2020-21,Uttar Pradesh,29,24,27,40
2020-21,Uttarakhand,18,17,13,17
2020-21,West Bengal,30,28,18,27
2021-22,India,26,19,18,27
2021-22,Andaman and Nicobar Islands,12,10,7,13
2021-22,Andhra Pradesh,25,16,11,32
2021-22,Arunachal Pradesh,12,9,11,20
2021-22,Assam,21,14,11,21
2021-22,Bihar,54,23,55,63
2021-22,Chandigarh,28,16,12,27
2021-22,Chhattisgarh,21,18,15,17
2021-22,Daman and Diu and Dadra and Nagar Haveli,30,28,20,26
2021-22,Delhi,34,33,28,22
2021-22,Goa,26,16,9,19
2021-22,Gujarat,30,25,29,28
2021-22,Haryana,26,19,12,15
2021-22,Himachal Pradesh,16,9,6,10
2021-22,Jammu and Kashmir,15,10,13,28
2021-22,Jharkhand,29,26,35,57
2021-22,Karnataka,23,18,18,28
2021-22,Kerala,27,21,15,22
2021-22,Ladakh,8,4,6,13
2021-22,Lakshadweep,16,14,7,12
2021-22,Madhya Pradesh,25,18,23,30
2021-22,Maharashtra,25,27,21,38
2021-22,Manipur,13,11,9,16
2021-22,Meghalaya,20,14,12,20
2021-22,Mizoram,16,8,9,15
2021-22,Nagaland,11,8,10,17
2021-22,Odisha,17,15,18,36
2021-22,Puducherry,18,14,10,16
2021-22,Punjab,26,19,11,18
2021-22,Rajasthan,26,13,11,18
2021-22,Sikkim,7,8,9,11
2021-22,Tamil Nadu,20,15,13,21
2021-22,Telangana,21,13,10,29
2021-22,Tripura,18,20,14,15
2021-22,Uttar Pradesh,28,25,27,39
2021-22,Uttarakhand,19,16,11,17
2021-22,West Bengal,27,28,17,28
