Year,State,Total Schools - All management,Total Schools - Government,Total Schools - Government aided,Total Schools - Pvt. unaided,Total Schools - Others,Schools conducted medical checkups in last academic year - All management,Schools conducted medical checkups in last academic year - Government,Schools conducted medical checkups in last academic year - Government aided,Schools conducted medical checkups in last academic year - Pvt. unaided,Schools conducted medical checkups in last academic year - Others
2020-21,Assam,65203,46749,4983,6045,7426,37875,31304,2442,2027,2102
2020-21,Bihar,93459,75555,735,7923,9246,27056,23545,179,1631,1701
2020-21,Chandigarh,230,121,7,75,27,144,97,5,36,6
2020-21,Chhattisgarh,56494,48619,430,7131,314,39019,35217,258,3344,200
2020-21,Daman and Diu and Dadra and Nagar Haveli,479,407,8,63,1,360,328,3,29,0
2020-21,Delhi,5642,2751,250,2641,0,3844,1867,131,1846,0
2020-21,Goa,1481,821,522,138,0,1169,744,355,70,0
2020-21,Gujarat,54444,34967,5640,13834,3,22287,15557,2069,4659,2
2020-21,Haryana,23764,14563,17,8235,949,13820,10062,6,3423,329
2020-21,Himachal Pradesh,18145,15391,0,2753,1,8923,8044,0,878,1
2020-21,Jammu and Kashmir,28930,23167,1,5649,113,12220,9799,0,2366,55
2020-21,Jharkhand,45319,35888,1175,1542,6714,15704,13744,437,396,1127
2020-21,Karnataka,76905,49791,7182,19915,17,51064,35684,5323,10051,6
2020-21,Kerala,16481,5020,7191,3241,1029,13007,4512,6376,1576,543
2020-21,Ladakh,1056,915,29,112,0,350,310,8,32,0
2020-21,Lakshadweep,45,45,0,0,0,45,45,0,0,0
2020-21,Madhya Pradesh,133271,99152,773,31512,1834,39833,32572,154,6862,245
2020-21,Maharashtra,110114,65734,23924,19632,824,73824,48876,15806,8927,215
2020-21,Manipur,4653,2878,585,1027,163,2338,1427,310,517,84
2020-21,Meghalaya,14694,7795,4176,2179,544,6368,3715,1789,671,193
2020-21,Mizoram,3925,2558,231,1050,86,1910,1407,117,361,25
2020-21,Nagaland,2719,1975,0,743,1,1046,754,0,291,1
2020-21,Odisha,64185,50256,5844,6393,1692,9890,5330,3305,1172,83
2020-21,Puducherry,741,422,33,286,0,637,383,25,229,0
2020-21,Punjab,28695,19330,455,8893,17,24769,19311,455,4994,9
2020-21,Rajasthan,107376,68813,0,36023,2540,40755,29416,0,10873,466
2020-21,Sikkim,1263,851,19,393,0,1001,726,13,262,0
2020-21,Tamil Nadu,58904,37589,8326,12402,587,56074,36569,8024,10998,483
2020-21,Telangana,42917,30015,700,12023,179,30206,22348,459,7333,66
2020-21,Tripura,4934,4265,43,360,266,3941,3550,35,220,136
2020-21,Uttar Pradesh,256911,137068,8125,96741,14977,94433,72569,2865,17171,1828
2020-21,Uttarakhand,23169,16651,614,5396,508,12383,10157,409,1655,162
2020-21,West Bengal,95153,83379,87,10042,1645,57411,54470,37,2624,280
2021-22,India,1489115,1022386,82480,335844,48405,812451,607239,54976,139770,10466
2021-22,Andaman and Nicobar Islands,416,342,2,72,0,279,242,2,35,0
2021-22,Andhra Pradesh,61948,45137,1542,15058,211,54561,40941,1349,12119,152
2021-22,Arunachal Pradesh,3603,2985,68,503,47,1295,1002,46,231,16
2021-22,Assam,60859,45490,3841,5852,5676,35616,30676,1646,2009,1285
2021-22,Bihar,93165,75558,742,8097,8768,12901,10351,107,1459,984
2021-22,Chandigarh,233,123,7,76,27,64,41,4,15,4
2021-22,Chhattisgarh,56512,48743,417,7063,289,36946,32996,303,3452,195
2021-22,Daman and Diu and Dadra and Nagar Haveli,460,388,8,63,1,354,328,5,21,0
2021-22,Delhi,5619,2762,247,2610,0,2315,1048,70,1197,0
2021-22,Goa,1510,814,557,139,0,367,100,246,21,0
2021-22,Gujarat,53851,34699,5590,13559,3,44500,31405,4851,8244,0
2021-22,Haryana,23726,14562,16,8261,887,14850,10602,6,3849,393
2021-22,Himachal Pradesh,18028,15380,0,2646,2,3508,2630,0,878,0
2021-22,Jammu and Kashmir,28805,23173,1,5526,105,11406,8981,1,2373,51
2021-22,Jharkhand,44855,35840,1175,1559,6281,12751,10800,385,454,1112
2021-22,Karnataka,76450,49679,7110,19650,11,64008,44305,6240,13457,6
2021-22,Kerala,16240,5010,7183,3164,883,11047,3759,5244,1636,408
2021-22,Ladakh,978,838,28,112,0,434,370,12,52,0
2021-22,Lakshadweep,38,38,0,0,0,38,38,0,0,0
2021-22,Madhya Pradesh,125582,92695,740,30345,1802,51376,42100,222,8772,282
2021-22,Maharashtra,109605,65639,24037,19268,661,72804,46722,16570,9298,214
2021-22,Manipur,4617,2889,583,1010,135,923,530,117,255,21
2021-22,Meghalaya,14600,7783,4172,2120,525,4202,2529,1162,429,82
2021-22,Mizoram,3911,2563,230,1034,84,1210,908,72,218,12
2021-22,Nagaland,2718,1960,0,757,1,439,265,0,173,1
2021-22,Odisha,62291,49072,5807,6104,1308,26399,20419,3168,2362,450
2021-22,Puducherry,736,422,33,281,0,522,296,27,199,0
2021-22,Punjab,27701,19259,450,7978,14,16393,12422,304,3659,8
2021-22,Rajasthan,106373,68948,0,34826,2599,49843,36790,0,12307,746
2021-22,Sikkim,1259,864,19,376,0,823,587,11,225,0
2021-22,Tamil Nadu,58801,37636,8323,12396,446,58801,37636,8323,12396,446
2021-22,Telangana,43083,30023,700,12193,167,28747,21357,395,6934,61
2021-22,Tripura,4929,4262,43,363,261,3097,2807,27,168,95
2021-22,Uttar Pradesh,258054,137024,8113,97808,15109,103331,73178,3611,23974,2568
2021-22,Uttarakhand,22815,16484,608,5225,498,10967,8629,395,1787,156
2021-22,West Bengal,94744,83302,88,9750,1604,75334,69449,55,5112,718
