Year,State,Primary (1 to 5) - Boys,Primary (1 to 5) - Girls,Primary (1 to 5) - Total,Elementary (1-8) - Boys,Elementary (1-8) - Girls,Elementary (1-8) - Total,Secondary (1-10) - Boys,Secondary (1-10) - Girls,Secondary (1-10) - Total,Higher Secondary (1-12) - Boys,Higher Secondary (1-12) - Girls,Higher Secondary (1-12) - Total
2019-20,Sikkim,91.1,94,92.4,73.6,86.8,79.7,42.5,58,49.8,37.4,50.3,43.6
2019-20,Tamil Nadu,95.2,94.4,94.8,86.4,86.2,86.3,81.4,83.9,82.6,61.1,75.6,68.1
2019-20,Telangana,84.3,84.8,84.6,-,-,-,-,-,-,-,-,-
2019-20,Tripura,93.8,95.9,94.8,78.5,82.3,80.4,57.2,64,60.5,29.5,29.2,29.4
2019-20,Uttar Pradesh,79.4,79.6,79.5,61.2,62.1,61.6,61.1,54,57.6,44.5,39.5,42.1
2019-20,Uttarakhand,85,86.2,85.5,82,83.9,82.9,70.7,72.8,71.7,57.1,63.1,59.9
2019-20,West Bengal,84.7,87.6,86.1,57.9,65.7,61.7,40.4,53.2,46.6,34.9,42.5,38.6
2020-21,India,94.7,95.9,95.3,79.9,82.1,80.9,61.9,61.1,61.5,42.1,43.6,42.8
2020-21,Andaman and Nicobar Islands,95.6,97.5,96.5,91.0,95.0,92.9,100,100,100,47,60.9,53.8
2020-21,Andhra Pradesh,100.0,100.0,100.0,83.3,83.7,83.5,43.5,43.3,43.4,27.2,29,28.1
2020-21,Arunachal Pradesh,58.6,62.3,60.4,42.2,46.2,44.2,35.4,40.2,37.7,18.7,21.8,20.2
2020-21,Assam,78.3,80.7,79.5,61.0,69.3,65.1,58.6,69.6,64,29.6,30.4,30
2020-21,Bihar,100.0,100.0,100.0,72.6,78.2,75.3,41.3,44.9,43,21.7,25.3,23.3
2020-21,Chandigarh,100.0,100.0,100.0,100.0,100.0,100.0,100,100,100,100,100,100
2020-21,Chhattisgarh,91.9,92.7,92.3,86.7,89.0,87.8,63.9,72.2,67.9,35.8,45.6,40.5
2020-21,Daman and Diu and Dadra and Nagar Haveli,96.6,97.2,96.9,93.7,99.4,96.4,84,89.6,86.6,47.3,54.8,50.8
