Year,State,Total Schools - All management,Total Schools - Government,Total Schools - Government aided,Total Schools - Pvt. unaided,Total Schools - Others,Schools with hand wash facility - All management,Schools with hand wash facility - Government,Schools with hand wash facility - Government aided,Schools with hand wash facility - Pvt. unaided,Schools with hand wash facility - Others
2021-22,Chhattisgarh,56512,48743,417,7063,289,55486,47756,416,7027,287
2021-22,Daman and Diu and Dadra and Nagar Haveli,460,388,8,63,1,460,388,8,63,1
2021-22,Delhi,5619,2762,247,2610,0,5619,2762,247,2610,0
2021-22,Goa,1510,814,557,139,0,1510,814,557,139,0
2021-22,Gujarat,53851,34699,5590,13559,3,52090,34037,5002,13048,3
2021-22,Haryana,23726,14562,16,8261,887,23598,14474,16,8226,882
2021-22,Himachal Pradesh,18028,15380,0,2646,2,17918,15273,0,2643,2
2021-22,Jammu and Kashmir,28805,23173,1,5526,105,27730,22190,1,5437,102
2021-22,Jharkhand,44855,35840,1175,1559,6281,41020,32693,1001,1480,5846
2021-22,Karnataka,76450,49679,7110,19650,11,68297,43556,6589,18142,10
2021-22,Kerala,16240,5010,7183,3164,883,16113,4947,7153,3137,876
2021-22,Ladakh,978,838,28,112,0,621,496,28,97,0
2021-22,Lakshadweep,38,38,0,0,0,38,38,0,0,0
2021-22,Madhya Pradesh,125582,92695,740,30345,1802,116775,85451,692,28946,1686
2021-22,Maharashtra,109605,65639,24037,19268,661,107899,64269,23835,19136,659
2021-22,Manipur,4617,2889,583,1010,135,3843,2338,497,918,90
2021-22,Meghalaya,14600,7783,4172,2120,525,5531,2929,1660,722,220
2021-22,Mizoram,3911,2563,230,1034,84,2845,1988,117,689,51
2021-22,Nagaland,2718,1960,0,757,1,1645,1058,0,586,1
2021-22,Odisha,62291,49072,5807,6104,1308,60248,47679,5416,5909,1244
2021-22,Puducherry,736,422,33,281,0,733,419,33,281,0
2021-22,Punjab,27701,19259,450,7978,14,27690,19249,450,7977,14
2021-22,Rajasthan,106373,68948,0,34826,2599,102958,66400,0,34214,2344
2021-22,Sikkim,1259,864,19,376,0,1225,836,18,371,0
2021-22,Tamil Nadu,58801,37636,8323,12396,446,58801,37636,8323,12396,446
2021-22,Telangana,43083,30023,700,12193,167,38121,26155,569,11262,135
2021-22,Tripura,4929,4262,43,363,261,4219,3619,41,342,217
2021-22,Uttar Pradesh,258054,137024,8113,97808,15109,239002,131277,7451,87162,13112
2021-22,Uttarakhand,22815,16484,608,5225,498,21998,15835,583,5089,491
2021-22,West Bengal,94744,83302,88,9750,1604,92426,81759,79,9132,1456
