Year,State,Primary (1-5) - Boys,Primary (1-5) - Girls,Primary (1-5) - Total,Upper Primary (6-8) - Boys,Upper Primary (6-8) - Girls,Upper Primary (6-8) - Total,Elementary (1-8) - Boys,Elementary (1-8) - Girls,Elementary (1-8) - Total,Secondary (9-10) - Boys,Secondary (9-10) - Girls,Secondary (9-10) - Total,Higher Secondary (11-12) - Boys,Higher Secondary (11-12) - Girls,Higher Secondary (11-12) - Total
2019-20,Chhattisgarh,94.3,93.6,94,88.7,88.2,88.4,92.3,91.7,92,74.9,84.1,79.5,44.2,53.5,48.9
2019-20,Dadra and Nagar Haveli,77,82.7,79.7,53.1,54.1,53.6,67.7,71.4,69.5,77,85.5,81,44.1,53.3,48.5
2019-20,Daman and Diu,88.6,90.5,89.5,86,86.9,86.4,87.6,89.1,88.3,88.8,86.4,87.7,31.4,55.5,42.1
2019-20,Delhi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2019-20,Goa,67.4,69.5,68.4,69.4,76.2,72.6,68.2,72.1,70,80,85.9,82.8,68.2,76.5,72.3
2019-20,Gujarat,98.8,97.4,98.2,92.8,89.5,91.2,96.6,94.5,95.6,76.7,72.9,74.8,35.2,40.9,37.9
2019-20,Haryana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2019-20,Himachal Pradesh,100.8,104.4,102.5,92,93.6,92.8,97.4,100.1,98.7,104.7,98.2,101.5,84.2,85.4,84.8
2019-20,Jammu and Kashmir,106,105.1,105.5,65.1,66.1,65.6,89,89.5,89.2,51,47.1,49.2,24.8,21.5,23.3
2019-20,Jharkhand,109.1,109.2,109.1,81,84.3,82.6,98.4,99.5,98.9,51.7,54.6,53.2,30.1,30.8,30.5
2019-20,Karnataka,108.2,105.6,107,100.3,99.8,100,105.2,103.4,104.3,81.4,77.7,79.6,39.7,45.6,42.5
2019-20,Kerala,98.1,98,98.1,97.5,95.3,96.4,97.9,96.9,97.4,108.5,103,105.7,81.1,91.3,86.1
2019-20,Ladakh,80.4,86.6,83.3,63.6,75.2,69,73.8,82.1,77.7,57,64.9,60.8,35.4,48.4,41.7
2019-20,Lakshadweep,80,78.2,79.1,62.7,57,59.7,73.6,69.3,71.5,58.8,69.2,63.9,68,69.7,68.9
2019-20,Madhya Pradesh,94.3,90.5,92.4,95.8,87.4,91.6,94.8,89.4,92.2,69.2,63.6,66.4,32.7,33.8,33.2
2019-20,Maharashtra,106.6,106.8,106.7,97.9,99.2,98.6,103.3,103.9,103.6,89.9,85.9,88,49.5,46.4,48.1
2019-20,Manipur,121.5,127,124.1,67.1,72,69.5,98.4,103.6,100.9,51.3,55.1,53.1,36.2,37.8,37
2019-20,Meghalaya,168.7,172.8,170.7,104.8,120.6,112.6,143.1,151.6,147.3,75.8,94.1,84.9,38.9,48.9,43.9
2019-20,Mizoram,143.5,141.8,142.7,105.7,105.9,105.8,128.2,127.3,127.8,93.5,100.3,96.8,52.9,57.6,55.2
2019-20,Nagaland,86.9,91.2,88.9,65.1,71.5,68.2,77.8,83,80.3,53.3,60.5,56.8,32.9,35.3,34.1
2019-20,Odisha,98.5,96.1,97.3,100.5,98.1,99.3,99.2,96.8,98,78.6,80.7,79.6,38,40,39
2019-20,Puducherry,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2019-20,Punjab,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2019-20,Rajasthan,111.9,110.6,111.3,93.4,85.8,89.8,105.4,101.9,103.7,87.1,82.3,84.8,56.8,51.7,54.3
2019-20,Sikkim,106.8,91.6,99.3,83,87.3,85.1,96.3,89.7,93,91.8,110.4,101,47.2,61.2,54.2
2019-20,Tamil Nadu,110.9,110.3,110.6,116.7,114,115.4,113,111.6,112.3,103.1,107.9,105.4,59.9,72.3,65.7
2019-20,Telangana,107.2,103.5,105.4,91.9,91.8,91.8,101.4,99,100.3,80.3,83.2,81.7,55.3,65,59.8
2019-20,Tripura,117,119.8,118.4,88,89.6,88.8,104.8,107.1,105.9,82.7,87.2,84.9,29.6,29.9,29.7
2019-20,Uttar Pradesh,152.4,153.8,153.1,145.6,148,146.8,150.1,151.8,150.9,116.7,118,117.3,74.3,74.5,74.4
2019-20,Uttarakhand,102.9,109.5,106.1,87.7,88.5,88.1,96.6,100.6,98.5,87.2,84.5,85.9,65,68.9,66.9
2019-20,West Bengal,120.3,120.9,120.6,94.1,97.8,95.9,110.2,112,111.1,73,89.9,81.2,38.4,42.1,40.2
2020-21,India,106.8,106.6,106.7,96.1,95.4,95.8,102.9,102.5,102.7,77.9,79.3,78.6,43.8,46.5,45.2
2020-21,Andaman and Nicobar Islands,87.1,99.1,92.6,99.4,116.5,107.4,91.7,105.6,98.1,80.6,88.1,84.1,37.8,52.2,44.6
2020-21,Andhra Pradesh,114.9,115.9,115.4,100.3,99.2,99.8,109.6,109.8,109.7,77.2,80.6,78.8,50.8,54.5,52.6
2020-21,Arunachal Pradesh,121.2,126.6,123.8,81.5,87.9,84.7,104.4,109.8,107.1,67,71.4,69.2,44.3,48.5,46.4
2020-21,Assam,123.8,131,127.3,101.9,105.8,103.8,115,120.7,117.8,88,91.3,89.6,46.4,43.7,45.1
2020-21,Bihar,197.4,193.7,195.6,143.3,147.7,145.5,177.5,176.2,176.9,124.5,130.8,127.6,71.9,74.2,73
2020-21,Chandigarh,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-21,Chhattisgarh,93.6,93.4,93.5,89.9,88.9,89.4,92.3,91.8,92.1,74.9,84.1,79.4,46.6,57.9,52.3
2020-21,Daman and Diu and Dadra and Nagar Haveli,71.6,77.3,74.3,71.4,75.4,73.3,71.5,76.5,73.9,56.2,59.4,57.7,36.5,48.1,42
2020-21,Delhi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-21,Goa,64.3,67.6,65.9,66.1,72.6,69.2,65,69.6,67.2,80.2,84.2,82.1,73.1,78.6,75.9
2020-21,Gujarat,96.6,96.8,96.7,95.2,92.2,93.7,96.1,95.1,95.6,81,77.5,79.3,34.5,41.4,37.8
2020-21,Haryana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-21,Himachal Pradesh,99.6,104,101.7,93.5,95.8,94.6,97.2,100.7,98.9,100.1,97.1,98.6,84.2,86.6,85.4
2020-21,Jammu and Kashmir,116.4,114.2,115.3,67.2,69.6,68.4,94.7,95.5,95.1,55.8,50,53.2,41.2,32.2,37.1
2020-21,Jharkhand,105.8,106.6,106.2,82.2,85.3,83.7,96.8,98.2,97.5,52.9,57.2,55.1,31.9,34.6,33.2
2020-21,Karnataka,106.3,105.1,105.7,103,102.5,102.7,105.1,104.1,104.6,87.1,84.3,85.7,45.1,49.7,47.3
2020-21,Kerala,95.6,97.1,96.3,95.3,90.7,93,95.5,94.6,95.1,107.5,101.6,104.6,80.5,92.2,86.2
2020-21,Ladakh,80,85.2,82.5,63.1,74.4,68.4,73.4,81,77,57,65.6,61.2,44.6,58.8,51.5
2020-21,Lakshadweep,79.1,80.9,80,64.2,50.7,57.1,73.5,68.3,70.9,80,77.6,78.8,72.7,65.1,68.8
2020-21,Madhya Pradesh,91.1,88.3,89.7,96.7,89.3,93,93,88.6,90.8,63.8,60.3,62.1,32.7,34.6,33.7
2020-21,Maharashtra,104.2,105.9,105,99.1,100.5,99.7,102.3,103.8,103,93.1,91,92.1,51.3,48.7,50.1
2020-21,Manipur,128.1,136.2,131.9,65.9,72.1,68.9,100.9,108,104.3,52.2,56,54.1,39.8,41,40.4
2020-21,Meghalaya,181.9,187.3,184.5,107.1,123,115,150.9,160.3,155.5,76.8,97,86.8,36.8,46.6,41.7
2020-21,Mizoram,150.4,148.8,149.7,107.4,108.6,108,132.4,132,132.2,88.4,99.3,93.8,53.3,58.4,55.8
2020-21,Nagaland,89.7,94.7,92.1,65.1,71.8,68.3,79.1,84.8,81.8,55,63.2,58.9,31.5,36.1,33.8
2020-21,Odisha,97.6,95.7,96.6,102,100.6,101.3,99.1,97.4,98.3,88.1,89.2,88.6,36.8,40.3,38.5
2020-21,Puducherry,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-21,Punjab,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-21,Rajasthan,110.7,110.3,110.5,99.4,93.2,96.4,106.7,104.3,105.6,87.7,81.7,84.8,60.4,57.1,58.8
2020-21,Sikkim,109.7,94.5,102.2,80,82.5,81.3,96.2,89,92.7,84.6,98.5,91.5,52.3,67,59.7
2020-21,Tamil Nadu,111.6,112.1,111.8,109.3,107.6,108.5,110.8,110.4,110.6,109.9,112.9,111.3,66.6,78.7,72.3
2020-21,Telangana,105.2,101.9,103.6,100.3,98.1,99.2,103.3,100.4,102,86.1,88.4,87.2,62.7,71.1,66.6
2020-21,Tripura,118.5,122.8,120.6,85.5,87.2,86.3,104.1,107.3,105.7,67.8,76.2,71.9,34.9,40,37.3
2020-21,Uttar Pradesh,158.5,160.9,159.6,147.7,150.7,149.2,154.9,157.5,156.2,105.7,101.6,103.7,66.6,65.5,66.1
2020-21,Uttarakhand,105.5,110.4,107.8,87.9,91.1,89.4,98.1,102.2,100.1,80.2,82.6,81.4,62.5,69.8,66.1
2020-21,West Bengal,120.5,120.3,120.4,96.8,98.9,97.8,111.4,112,111.7,79.5,96.6,87.8,42.5,46.3,44.4
2021-22,India,106.3,106.7,106.5,98.3,97.6,98,103.4,103.3,103.4,77,79.2,78.1,50.5,53.6,52
2021-22,Andaman and Nicobar Islands,81.1,94.9,87.5,95.4,107,100.8,86.4,99.5,92.5,76.5,93,84.2,52.9,60.6,56.5
2021-22,Andhra Pradesh,111.6,115.5,113.5,103.9,102.1,103,108.9,110.6,109.7,80.2,83,81.6,63.8,67.1,65.4
2021-22,Arunachal Pradesh,125.3,128.2,126.7,80,85,82.5,105.5,108.8,107.1,66.2,68,67.1,57.7,61.4,59.5
2021-22,Assam,123.2,131.3,127.1,100.5,103.5,102,114.1,119.7,116.8,85.5,88.4,87,56.7,56.6,56.6
2021-22,Bihar,215.6,213.3,214.5,158,157.9,158,194.4,192.1,193.3,130,135.2,132.6,79.3,80,79.6
2021-22,Chandigarh,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2021-22,Chhattisgarh,93.7,93.5,93.6,92.3,91.3,91.8,93.2,92.7,93,66.8,74.3,70.5,55.7,68.7,62.2
2021-22,Daman and Diu and Dadra and Nagar Haveli,71.9,77.4,74.5,69.8,73.3,71.4,71.1,75.8,73.3,53.2,53.7,53.4,49.3,61.7,55.2
2021-22,Delhi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2021-22,Goa,65.6,68.5,67,65.3,71.1,68.1,65.5,69.5,67.4,64.8,76.7,70.4,78.3,79.1,78.7
2021-22,Gujarat,95.5,96.3,95.9,97.1,93.8,95.5,96,95.4,95.7,77.1,75.1,76.2,45.1,50.9,47.9
2021-22,Haryana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
