Year,State,Total - Admitted in class 1,Total - with pre-school experience in same school,Total - with pre-school experience in another school,Total - with pre-school experience in anganwadi/ECCE centre,Boys - Admitted in class 1,Boys - with pre-school experience in same school,Boys - with pre-school experience in another school,Boys - with pre-school experience in anganwadi/ECCE centre,Girls - Admitted in class 1,Girls - with pre-school experience in same school,Girls - with pre-school experience in another school,Girls - with pre-school experience in anganwadi/ECCE centre
2020-21,India,11184849,1740138,638816,3216833,5634246,864412,324299,1622944,5550603,875726,314517,1593889
2020-21,Andaman and Nicobar Islands,1579,954,311,96,782,483,160,41,797,471,151,55
2020-21,Andhra Pradesh,437855,49344,28453,204022,223126,18693,13286,98592,214729,30651,15167,105430
2020-21,Arunachal Pradesh,21682,1830,2584,2404,10872,922,1332,1147,10810,908,1252,1257
2020-21,Assam,521280,150395,32698,125038,260646,75052,16482,62571,260634,75343,16216,62467
2020-21,Bihar,1810364,23122,9973,218872,927025,11758,5097,112215,883339,11364,4876,106657
2020-21,Chandigarh,7012,3710,1678,507,3605,1874,879,273,3407,1836,799,234
2020-21,Chhattisgarh,302212,2126,3341,179192,151587,1130,1769,89459,150625,996,1572,89733
2020-21,Daman and Diu and Dadra and Nagar Haveli,6653,218,215,2042,3326,112,108,974,3327,106,107,1068
2020-21,Delhi,121586,62715,43596,14896,57342,26349,22929,7816,64244,36366,20667,7080
2020-21,Goa,4746,407,414,2221,2404,219,197,1126,2342,188,217,1095
2020-21,Gujarat,571006,7406,4344,355423,288214,3746,2436,179954,282792,3660,1908,175469
2020-21,Haryana,157872,10834,7931,48009,78141,5188,4016,23771,79731,5646,3915,24238
2020-21,Himachal Pradesh,43272,8040,1795,8443,21536,4011,886,4170,21736,4029,909,4273
2020-21,Jammu and Kashmir,105470,40250,2963,4197,52244,19747,1509,2087,53226,20503,1454,2110
2020-21,Jharkhand,342360,34616,6817,139697,170836,17119,3495,79508,171524,17497,3322,60189
2020-21,Karnataka,440201,2771,2652,39477,214488,1383,1352,19443,225713,1388,1300,20034
2020-21,Kerala,108143,63408,15591,13174,55067,32155,7959,6887,53076,31253,7632,6287
2020-21,Ladakh,1658,698,64,69,758,327,24,30,900,371,40,39
2020-21,Lakshadweep,1133,118,900,0,581,65,457,0,552,53,443,0
2020-21,Madhya Pradesh,523857,8470,4817,200225,261155,4203,2551,99528,262702,4267,2266,100697
2020-21,Maharashtra,761674,41186,16002,544637,381482,20495,8247,273768,380192,20691,7755,270869
2020-21,Manipur,30503,3941,6963,10794,15297,1955,3508,5447,15206,1986,3455,5347
2020-21,Meghalaya,62425,46217,11658,2058,32139,23744,6067,1074,30286,22473,5591,984
2020-21,Mizoram,18268,3765,2362,7898,9639,2001,1248,4168,8629,1764,1114,3730
2020-21,Nagaland,13301,8324,1005,40,6616,4160,518,24,6685,4164,487,16
2020-21,Odisha,471502,7663,250070,214586,234679,3832,124326,106952,236823,3831,125744,107634
2020-21,Puducherry,5247,2943,1088,82,2588,1413,578,36,2659,1530,510,46
2020-21,Punjab,195321,166151,29170,0,100846,86039,14807,0,94475,80112,14363,0
2020-21,Rajasthan,609066,9524,13402,163120,299352,4787,6944,79795,309714,4737,6458,83325
2020-21,Sikkim,2299,1196,250,167,1258,619,161,92,1041,577,89,75
2020-21,Tamil Nadu,312061,180063,0,75541,156173,89789,0,38031,155888,90274,0,37510
2020-21,Telangana,154249,215,11331,102957,77097,108,5877,51082,77152,107,5454,51875
2020-21,Tripura,38549,1153,2283,18356,19086,607,1112,8943,19463,546,1171,9413
2020-21,Uttar Pradesh,1787906,18508,31354,410125,910312,9519,16370,207614,877594,8989,14984,202511
2020-21,Uttarakhand,54815,780,2871,25861,27268,409,1517,12720,27547,371,1354,13141
2020-21,West Bengal,1137722,777077,87870,82607,576679,390399,46095,43606,561043,386678,41775,39001
2021-22,India,11714593,1815726,627509,3689162,5953108,915533,321595,1881156,5761485,900193,305914,1808006
2021-22,Andaman and Nicobar Islands,2218,985,687,211,1138,492,356,109,1080,493,331,102
2021-22,Andhra Pradesh,287456,4705,13068,172941,145494,2396,6735,87302,141962,2309,6333,85639
2021-22,Arunachal Pradesh,18162,1829,1424,2640,9049,901,711,1309,9113,928,713,1331
2021-22,Assam,518570,132315,32392,130434,260508,66528,16154,65995,258062,65787,16238,64439
2021-22,Bihar,1657168,18131,23724,205628,840071,9127,12076,104823,817097,9004,11648,100805
2021-22,Chandigarh,9127,3639,2285,859,4769,1898,1214,456,4358,1741,1071,403
2021-22,Chhattisgarh,323481,3870,6616,189901,164011,1991,3377,96317,159470,1879,3239,93584
2021-22,Daman and Diu and Dadra and Nagar Haveli,7377,655,185,2007,3762,338,100,982,3615,317,85,1025
2021-22,Delhi,142314,66081,55818,15120,69277,27315,29049,8872,73037,38766,26769,6248
2021-22,Goa,5006,354,515,2463,2496,177,269,1248,2510,177,246,1215
2021-22,Gujarat,662850,8045,4507,367968,338844,3947,2422,189396,324006,4098,2085,178572
2021-22,Haryana,204529,7798,8225,53643,104519,3827,4298,27333,100010,3971,3927,26310
2021-22,Himachal Pradesh,51078,9514,1855,9826,25827,4832,1035,4995,25251,4682,820,4831
2021-22,Jammu and Kashmir,121861,48694,5726,6593,60608,24055,2969,3312,61253,24639,2757,3281
2021-22,Jharkhand,327685,18521,8863,116223,165874,9354,4482,58807,161811,9167,4381,57416
2021-22,Karnataka,617642,12600,1285,586997,313282,6283,679,297946,304360,6317,606,289051
2021-22,Kerala,124356,63213,15606,14334,64038,32365,8139,7504,60318,30848,7467,6830
2021-22,Ladakh,2045,1004,36,27,990,472,18,15,1055,532,18,12
2021-22,Lakshadweep,1031,182,299,46,529,100,150,21,502,82,149,25
2021-22,Madhya Pradesh,659320,13832,9711,244780,334260,6854,4944,124378,325060,6978,4767,120402
2021-22,Maharashtra,903701,56454,22885,592723,459419,28673,11945,302640,444282,27781,10940,290083
2021-22,Manipur,30351,4047,6386,8968,15421,2069,3246,4509,14930,1978,3140,4459
2021-22,Meghalaya,58921,45395,7961,3358,30312,23489,4092,1724,28609,21906,3869,1634
2021-22,Mizoram,20369,3413,2087,8251,10718,1771,1059,4338,9651,1642,1028,3913
2021-22,Nagaland,12953,7256,970,0,6460,3586,505,0,6493,3670,465,0
2021-22,Odisha,365100,2638,2983,173367,185589,1299,1595,88136,179511,1339,1388,85231
2021-22,Puducherry,5897,3125,1663,249,2960,1553,850,134,2937,1572,813,115
2021-22,Punjab,199338,110712,25148,19593,103166,56932,13248,10029,96172,53780,11900,9564
2021-22,Rajasthan,718496,11263,14387,175001,361681,5738,7493,88449,356815,5525,6894,86552
2021-22,Sikkim,2669,1221,514,116,1415,678,280,64,1254,543,234,52
2021-22,Tamil Nadu,277553,47445,228742,1366,139557,23766,115095,696,137996,23679,113647,670
2021-22,Telangana,830,0,266,266,389,0,140,123,441,0,126,143
2021-22,Tripura,34600,1294,1736,15010,17349,682,887,7446,17251,612,849,7564
2021-22,Uttar Pradesh,1958498,26323,45748,496255,1006145,13599,23834,254867,952353,12724,21914,241388
2021-22,Uttarakhand,74002,1166,3231,27612,37537,602,1696,13989,36465,564,1535,13623
2021-22,West Bengal,1308039,1078007,69975,44386,665644,547844,36453,22892,642395,530163,33522,21494
