Year,State,Primary (1-5) - Boys,Primary (1-5) - Girls,Primary (1-5) - Total,Upper Primary (6-8) - Boys,Upper Primary (6-8) - Girls,Upper Primary (6-8) - Total,Elementary (1-8) - Boys,Elementary (1-8) - Girls,Elementary (1-8) - Total,Secondary (9-10) - Boys,Secondary (9-10) - Girls,Secondary (9-10) - Total,Higher Secondary (11-12) - Boys,Higher Secondary (11-12) - Girls,Higher Secondary (11-12) - Total,Primary to Higher Secondary (1-12) - Boys,Primary to Higher Secondary (1-12) - Girls,Primary to Higher Secondary (1-12) - Total
2018-19,Himachal Pradesh,2296,1797,4093,1598,1372,2970,3894,3169,7063,945,826,1771,306,336,642,5145,4331,9476
2018-19,Jammu and Kashmir,8648,6132,14780,4412,3343,7755,13060,9475,22535,1732,1509,3241,479,467,946,15271,11451,26722
2018-19,Jharkhand,22396,16829,39225,9655,8330,17985,32051,25159,57210,1336,1637,2973,570,478,1048,33957,27274,61231
2018-19,Karnataka,30197,22236,52433,21091,16297,37388,51288,38533,89821,8194,6496,14690,1683,1807,3490,61165,46836,108001
2018-19,Kerala,30035,21417,51452,23896,18380,42276,53931,39797,93728,17845,11199,29044,8327,5376,13703,80103,56372,136475
2018-19,Ladakh,272,251,523,156,202,358,428,453,881,83,131,214,44,88,132,555,672,1227
2018-19,Lakshadweep,49,28,77,26,18,44,75,46,121,29,23,52,11,12,23,115,81,196
2018-19,Madhya Pradesh,35667,28168,63835,25014,20050,45064,60681,48218,108899,5660,3937,9597,2187,1469,3656,68528,53624,122152
2018-19,Maharashtra,102438,68838,171276,53496,41500,94996,155934,110338,266272,27202,21176,48378,6597,5485,12082,189733,136999,326732
2018-19,Manipur,1725,1410,3135,502,432,934,2227,1842,4069,183,227,410,44,33,77,2454,2102,4556
2018-19,Meghalaya,1733,1255,2988,613,483,1096,2346,1738,4084,132,153,285,30,29,59,2508,1920,4428
2018-19,Mizoram,1191,878,2069,751,720,1471,1942,1598,3540,385,556,941,111,159,270,2438,2313,4751
2018-19,Nagaland,738,565,1303,511,507,1018,1249,1072,2321,242,244,486,42,60,102,1533,1376,2909
2018-19,Odisha,32482,23744,56226,23329,17304,40633,55811,41048,96859,8895,7188,16083,15,11,26,64721,48247,112968
2018-19,Puducherry,504,332,836,328,275,603,832,607,1439,295,226,521,168,153,321,1295,986,2281
2018-19,Punjab,21851,13906,35757,12871,9382,22253,34722,23288,58010,5323,5420,10743,2273,3200,5473,42318,31908,74226
2018-19,Rajasthan,22407,15165,37572,12090,8495,20585,34497,23660,58157,5382,3759,9141,2558,1512,4070,42437,28931,71368
2018-19,Sikkim,283,197,480,172,118,290,455,315,770,74,57,131,22,24,46,551,396,947
2018-19,Tamil Nadu,33025,21213,54238,22596,16603,39199,55621,37816,93437,6266,4427,10693,2889,2422,5311,64776,44665,109441
2018-19,Telangana,13737,10742,24479,7038,6305,13343,20775,17047,37822,3913,4075,7988,874,752,1626,25562,21874,47436
2018-19,Tripura,988,718,1706,674,521,1195,1662,1239,2901,322,244,566,83,50,133,2067,1533,3600
2018-19,Uttar Pradesh,101776,71780,173556,33899,25695,59594,135675,97475,233150,3858,3078,6936,2397,1994,4391,141930,102547,244477
2018-19,Uttarakhand,1943,1354,3297,979,759,1738,2922,2113,5035,369,370,739,227,195,422,3518,2678,6196
2018-19,West Bengal,44059,32704,76763,20699,18129,38828,64758,50833,115591,9842,9544,19386,3430,2944,6374,78030,63321,141351
2019-20,India,695777,504807,1200584,395147,310767,705914,1090924,815574,1906498,144670,115011,259681,45967,36971,82938,1281561,967556,2249117
2019-20,Andaman and Nicobar Islands,134,64,198,108,68,176,242,132,374,56,41,97,21,11,32,319,184,503
