Year,State,Primary (1-5) - Boys,Primary (1-5) - Girls,Primary (1-5) - Total,Upper Primary (6-8) - Boys,Upper Primary (6-8) - Girls,Upper Primary (6-8) - Total,Elementary (1-8) - Boys,Elementary (1-8) - Girls,Elementary (1-8) - Total,Secondary (9-10) - Boys,Secondary (9-10) - Girls,Secondary (9-10) - Total,Higher Secondary (11-12) - Boys,Higher Secondary (11-12) - Girls,Higher Secondary (11-12) - Total
2018-19,India,110.7,112.4,111.5,94.3,96.2,95.2,104.5,106.2,105.3,81.9,83.6,82.7,49.7,53.2,51.3
2018-19,Andaman and Nicobar Islands,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2018-19,Andhra Pradesh,104.9,100.3,102.7,91.9,88.8,90.4,99.8,95.7,97.8,83.5,82.8,83.2,46.6,52.5,49.5
2018-19,Arunachal Pradesh,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2018-19,Assam,135.7,139.9,137.8,109.8,115.1,112.4,125.2,129.8,127.5,92.9,103.6,98.2,38.4,36.7,37.6
2018-19,Bihar,108.2,109.5,108.8,84.9,92.2,88.4,99.9,103.5,101.6,61.5,72.3,66.4,28.6,29.4,29
2018-19,Chandigarh,31.2,30.6,30.9,44.7,45.3,45,36.3,36.2,36.3,56.9,58.9,57.8,49.3,50,49.6
2018-19,Chhattisgarh,103.7,104.2,103.9,100.8,102.4,101.6,102.6,103.5,103,87.2,100,93.5,49,56.2,52.5
2018-19,Dadra and Nagar Haveli,160.7,160.7,160.7,109,100.5,104.7,140.7,135,138,137,125.8,132,74.7,78.9,76.8
2018-19,Daman and Diu,104.8,91.5,98.1,107.1,101,104.2,105.8,95.3,100.7,115.7,131.2,122.4,55.6,109.9,77.1
2018-19,Delhi,60.8,64.1,62.4,63.5,69.3,66.2,61.8,66.2,63.9,68.3,75.3,71.6,41,51.1,45.8
2018-19,Goa,68.1,67.5,67.8,77.9,81.2,79.5,71.7,72.8,72.3,75.8,83.6,79.4,74.5,79.2,76.8
2018-19,Gujarat,87,90.3,88.6,88.4,89,88.7,87.5,89.8,88.6,80.9,72.3,76.9,38.6,40.5,39.5
2018-19,Haryana,103.4,107.8,105.4,98.5,104.4,101.3,101.5,106.5,103.9,103.9,107.8,105.7,42.4,48.5,45.2
2018-19,Himachal Pradesh,102.3,104.5,103.4,96.7,98.7,97.7,100.1,102.3,101.2,112,110.9,111.5,72.4,80.3,76.2
2018-19,Jammu and Kashmir,105.4,111.5,108.2,83.6,86.2,84.8,96.3,100.7,98.3,72.2,74.2,73.1,38.9,41.8,40.3
2018-19,Jharkhand,119.3,116.8,118.1,90.1,94.9,92.5,108.5,108.8,108.7,59.2,65.3,62.1,34.1,37,35.4
2018-19,Karnataka,107.3,105.8,106.5,99.2,97.5,98.4,104.2,102.6,103.4,82.3,79.8,81.1,38.5,45.7,41.9
2018-19,Kerala,100.5,99.7,100.1,93.7,93.1,93.4,97.8,97.1,97.5,97.1,94.3,95.7,84.2,91.3,87.7
2018-19,Ladakh,171.4,403.7,246.5,186.2,194.7,190,177.2,297.4,222,80.9,127.9,103.8,39.1,0,19.9
2018-19,Lakshadweep,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2018-19,Madhya Pradesh,97.8,98.3,98.1,92.9,89.9,91.4,96,95.2,95.6,86.1,80.2,83.3,43.5,41.3,42.5
2018-19,Maharashtra,109.4,108.6,109,103.5,103.8,103.6,107.1,106.7,106.9,102.5,100.3,101.5,76.1,74.4,75.3
2018-19,Manipur,149.7,156.4,153,113.2,118.1,115.6,135.1,141.1,138,93.8,99.5,96.6,98.6,89.8,94.3
2018-19,Meghalaya,419.8,417.6,418.8,286,283.8,284.9,365.7,361.1,363.5,225.9,219.4,222.9,83.5,88.4,85.8
2018-19,Mizoram,639.22,578.72,610.2,650,883.33,746.55,643.53,681.69,660.9,1463.64,910,1106.45,226.32,181.25,205.71
2018-19,Nagaland,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2018-19,Odisha,101.9,104,102.9,95.5,94.4,95,99.4,100.2,99.8,85.8,85.9,85.8,58.1,63.6,60.8
2018-19,Puducherry,92.2,93.2,92.7,86.7,84.8,85.8,90.1,89.9,90,84.4,89.6,86.9,61.4,74.7,68
2018-19,Punjab,105.3,107.1,106.2,100.4,101,100.7,103.4,104.7,104,95.5,95.1,95.3,60.3,66.1,62.9
2018-19,Rajasthan,112.5,113.7,113,91.5,86.4,89.1,104.6,103.4,104.1,87,80.4,83.9,55.9,48.9,52.7
