Year,State,Total,Pre-Primary Only,Pre-Primary and Primary,Primary Only,Primary and Upper Primary,Upper Primary Only,Upper Primary and Secondary,Secondary Only,Secondary and Higher Secondary,Higher Secondary Only
2018-19,India,9430839,66092,58626,3945640,335757,2538794,491481,1132376,236532,625541
2018-19,Andaman and Nicobar Islands,5533,89,55,1989,62,1345,397,751,130,715
2018-19,Andhra Pradesh,314770,0,12341,123328,3560,65198,60721,24912,1430,23280
2018-19,Arunachal Pradesh,23385,122,256,9747,2774,6083,744,2276,405,978
2018-19,Assam,375986,998,4540,154376,12076,92851,36698,48383,8261,17803
2018-19,Bihar,584327,1259,1282,173919,30295,307654,6120,40579,8019,15200
2018-19,Chandigarh,9887,413,97,2719,648,1267,2524,635,629,955
2018-19,Chhattisgarh,269870,0,0,122485,15950,62656,6192,19180,29245,14162
2018-19,Dadra and Nagar Haveli,3247,123,14,1473,20,862,6,478,4,267
2018-19,Daman and Diu,1546,26,13,514,113,314,67,278,82,139
2018-19,Delhi,155668,8430,0,55547,0,37869,0,25603,0,28219
2018-19,Goa,13676,211,46,4303,123,2097,1625,3107,51,2113
2018-19,Gujarat,401939,520,315,182985,2544,126138,1326,51008,2673,34430
2018-19,Haryana,242135,1749,491,95614,9512,48273,22212,17175,29089,18020
2018-19,Himachal Pradesh,101654,978,932,31096,4298,19921,12755,11144,4920,15610
2018-19,Jammu and Kashmir,170449,2017,1381,60715,3969,66065,1907,24658,250,9487
2018-19,Jharkhand,213642,247,408,102416,15217,68907,4154,13441,1738,7114
2018-19,Karnataka,465773,19116,421,154242,14113,124991,11913,101480,7926,31571
2018-19,Kerala,257230,825,147,88301,2060,64803,2060,61184,1120,36730
2018-19,Ladakh,6010,33,20,1815,60,2846,69,816,25,326
2018-19,Lakshadweep,1059,35,1,330,113,130,87,152,80,131
2018-19,Madhya Pradesh,579424,425,395,240330,3171,231671,1408,67196,2147,32681
2018-19,Maharashtra,770125,3265,2523,338491,26187,155946,31058,140984,4630,67041
2018-19,Manipur,45400,299,334,20581,4336,7547,2704,5407,777,3415
2018-19,Meghalaya,55630,319,2620,23431,750,16006,772,8833,281,2618
2018-19,Mizoram,23403,92,144,7719,549,8755,8,4349,5,1782
2018-19,Nagaland,32015,136,535,12476,1416,10723,705,4347,183,1494
2018-19,Odisha,340477,1626,38,153021,59531,55268,12324,47356,294,11019
2018-19,Puducherry,12858,234,96,4694,874,1357,2072,1326,640,1565
2018-19,Punjab,272358,0,0,96682,0,67436,0,71867,0,36373
2018-19,Rajasthan,749523,11536,21323,226388,55171,169376,96342,49230,77335,42822
2018-19,Sikkim,14277,182,189,7411,401,2878,421,1477,289,1029
2018-19,Tamil Nadu,561466,1275,302,247483,12390,138463,69846,39290,6539,45878
2018-19,Telangana,257367,0,0,94843,27733,23503,66224,29332,4860,10872
2018-19,Tripura,46909,148,211,22058,248,10984,160,6797,72,6231
2018-19,Uttar Pradesh,1315338,8434,6326,673316,22040,359126,23526,128112,31844,62614
2018-19,Uttarakhand,120899,930,830,54243,2534,24089,4812,18263,3683,11515
2018-19,West Bengal,615584,0,0,354559,919,155396,7522,60970,6876,29342
2019-20,India,9687577,127301,359056,3544652,696457,2218657,590290,1157265,337031,656868
2019-20,Andaman and Nicobar Islands,5731,225,108,1964,233,1009,644,640,211,697
2019-20,Andhra Pradesh,317430,0,0,140685,14309,56670,56182,27122,932,21530
2019-20,Arunachal Pradesh,23872,152,387,9654,3284,5557,928,2392,545,973
2019-20,Assam,369614,1014,4945,150374,15073,88652,36899,46406,8082,18169
2019-20,Bihar,603870,1657,3047,183529,49510,286480,8917,42429,10874,17427
2019-20,Chandigarh,10139,486,118,2878,734,1186,2513,617,639,968
2019-20,Chhattisgarh,268596,2008,2719,118523,16002,61607,5736,19761,29354,12886
2019-20,Dadra and Nagar Haveli,3259,128,19,1418,123,791,45,458,24,253
2019-20,Daman and Diu,1592,30,9,548,102,307,62,277,118,139
2019-20,Delhi,157647,8841,0,55486,0,38929,0,26352,0,28039
2019-20,Goa,13680,232,50,4335,173,1877,2038,2829,59,2087
2019-20,Gujarat,399910,2177,3203,175323,6894,123342,2335,49315,4359,32962
2019-20,Haryana,257366,2767,1079,96414,13383,48954,23972,17931,36701,16165
2019-20,Himachal Pradesh,105207,1191,1179,31330,5182,18801,15584,10705,5940,15295
2019-20,Jammu and Kashmir,173183,2760,5840,61666,3511,62207,1746,25007,334,10112
2019-20,Jharkhand,224787,1045,1607,101672,23522,59691,7028,18295,3361,8566
2019-20,Karnataka,450592,1211,600,112507,147970,39681,4348,108841,990,34444
2019-20,Kerala,275931,7469,357,91495,3972,66026,3413,62794,1760,38645
2019-20,Ladakh,6197,125,181,1779,269,2500,137,816,46,344
2019-20,Lakshadweep,1233,36,1,371,168,159,98,179,74,147
