Year,State,Number of Primary schools - Total,Number of Primary schools - Having AWC in the school campus,Number of Primary schools - Having Pre-Primary Sections,Number of Primary schools - Having AWC in the school campus or Pre-Primary Sections
2020-21,India,278522,355,158180,158237
2020-21,Andaman and Nicobar Islands,73,0,70,70
2020-21,Andhra Pradesh,9955,212,2698,2735
2020-21,Arunachal Pradesh,493,0,388,388
2020-21,Assam,5322,0,4556,4556
2020-21,Bihar,6787,0,4510,4510
2020-21,Chandigarh,74,0,73,73
2020-21,Chhattisgarh,6814,0,6081,6081
2020-21,Daman and Diu and Dadra and Nagar Haveli,63,0,48,48
2020-21,Delhi,2621,0,1328,1328
2020-21,Goa,129,0,114,114
2020-21,Gujarat,10676,0,4069,4069
2020-21,Haryana,8131,0,4492,4492
2020-21,Himachal Pradesh,2725,0,2249,2249
2020-21,Jammu and Kashmir,5629,0,5067,5067
2020-21,Jharkhand,885,0,657,657
2020-21,Karnataka,14945,0,10588,10588
2020-21,Kerala,3075,0,2525,2525
2020-21,Ladakh,111,0,109,109
2020-21,Lakshadweep,0,0,0,0
2020-21,Madhya Pradesh,30872,0,29601,29601
2020-21,Maharashtra,14597,0,7493,7493
2020-21,Manipur,932,0,693,693
2020-21,Meghalaya,1428,0,1311,1311
2020-21,Mizoram,628,0,551,551
2020-21,Nagaland,725,0,716,716
2020-21,Odisha,4986,25,1896,1912
2020-21,Puducherry,283,0,276,276
2020-21,Punjab,8618,27,8423,8423
2020-21,Rajasthan,35589,0,19408,19408
2020-21,Sikkim,393,0,385,385
2020-21,Tamil Nadu,11937,50,11580,11583
2020-21,Telangana,10569,0,4922,4922
2020-21,Tripura,359,0,314,314
2020-21,Uttar Pradesh,63836,0,9723,9723
2020-21,Uttarakhand,4927,0,2783,2783
2020-21,West Bengal,9335,41,8483,8484
2021-22,India,274314,0,156619,156619
2021-22,Andaman and Nicobar Islands,72,0,69,69
2021-22,Andhra Pradesh,9337,0,2809,2809
2021-22,Arunachal Pradesh,500,0,405,405
2021-22,Assam,5196,0,4451,4451
2021-22,Bihar,6891,0,4580,4580
2021-22,Chandigarh,75,0,74,74
2021-22,Chhattisgarh,6758,0,6062,6062
2021-22,Daman and Diu and Dadra and Nagar Haveli,63,0,48,48
2021-22,Delhi,2591,0,1320,1320
2021-22,Goa,129,0,110,110
2021-22,Gujarat,10463,0,4134,4134
2021-22,Haryana,8157,0,4516,4516
2021-22,Himachal Pradesh,2618,0,2177,2177
2021-22,Jammu and Kashmir,5505,0,4985,4985
2021-22,Jharkhand,913,0,681,681
2021-22,Karnataka,14929,0,10592,10592
2021-22,Kerala,2999,0,2478,2478
2021-22,Ladakh,111,0,110,110
2021-22,Lakshadweep,0,0,0,0
2021-22,Madhya Pradesh,29734,0,28481,28481
2021-22,Maharashtra,14338,0,7273,7273
2021-22,Manipur,914,0,691,691
2021-22,Meghalaya,1372,0,1273,1273
2021-22,Mizoram,611,0,543,543
2021-22,Nagaland,741,0,735,735
2021-22,Odisha,4801,0,1871,1871
2021-22,Puducherry,278,0,273,273
2021-22,Punjab,7740,0,7552,7552
2021-22,Rajasthan,34419,0,18876,18876
2021-22,Sikkim,376,0,369,369
2021-22,Tamil Nadu,11940,0,11580,11580
2021-22,Telangana,10734,0,5707,5707
2021-22,Tripura,362,0,326,326
2021-22,Uttar Pradesh,64839,0,10661,10661
2021-22,Uttarakhand,4786,0,2759,2759
2021-22,West Bengal,9022,0,8048,8048
