Year,State,Age 3-5 - Boys,Age 3-5 - Girls,Age 3-5 - Total,Age 6-10 - Boys,Age 6-10 - Girls,Age 6-10 - Total,Age 11-13 - Boys,Age 11-13 - Girls,Age 11-13 - Total,Age 6-13 - Boys,Age 6-13 - Girls,Age 6-13 - Total,Age 14-15 - Boys,Age 14-15 - Girls,Age 14-15 - Total,Age 16-17 - Boys,Age 16-17 - Girls,Age 16-17 - Total
2018-19,India,45135133,40487667,85623200,62039000,56710000,118748600,38112200,35134600,73245200,100151200,91844600,191993800,26026200,23824400,49850600,26635800,24238800,50875200
2018-19,Andaman and Nicobar Islands,12216,11713,23929,18809,17152,35962,11973,11275,23248,30782,28427,59210,8485,7492,15976,8698,7560,16257
2018-19,Andhra Pradesh,1371467,1260667,2631533,1931600,1818800,3750200,1225400,1166400,2392400,3157000,2985200,6142600,862000,815200,1677200,900200,846400,1747800
2018-19,Arunachal Pradesh,44999,42332,87332,77597,74878,152475,50616,49917,100534,128213,124796,253009,35159,34231,69390,32410,31845,64255
2018-19,Assam,1165067,1072133,2237800,1661600,1582800,3245000,1037200,1003600,2041200,2698800,2586400,5286200,693200,664800,1358000,697400,663200,1360200
2018-19,Bihar,5323467,4812400,10136133,7261600,6800200,14061400,4352600,4116000,8468800,11614200,10916200,22530200,2847200,2634200,5481800,2825200,2564200,5388800
2018-19,Chandigarh,38670,33547,72217,58709,46794,105503,36047,28016,64063,94756,74810,169566,25799,19322,45121,28478,20309,48787
2018-19,Chhattisgarh,1044200,991400,2034600,1377200,1324000,2701000,820000,794400,1614000,2197200,2118400,4315000,555200,538200,1093400,564400,547600,1112000
2018-19,Dadra and Nagar Haveli,16131,14931,31062,22461,19412,41873,13015,11485,24500,35476,30897,66373,8149,6630,14778,8273,6028,14301
2018-19,Daman and Diu,8797,7741,16538,11285,9566,20851,6496,5497,11993,17781,15063,32844,4808,3512,8320,6977,3612,10589
2018-19,Delhi,572267,485800,1057667,808600,691600,1501000,507200,427800,934600,1315800,1119400,2435600,357200,305000,662200,372600,320200,693800
2018-19,Goa,44071,41349,85420,64618,58112,122730,40143,36542,76685,104761,94654,199415,27842,24596,52438,27965,25041,53006
2018-19,Gujarat,2286267,1946067,4232200,3059400,2654400,5712800,1854200,1619400,3473600,4913600,4273800,9186400,1270000,1104000,2374000,1301200,1124800,2426000
2018-19,Haryana,977333,815333,1792933,1338000,1108600,2446200,818200,674000,1492200,2156200,1782600,3938400,564600,465600,1030200,581400,478600,1059400
2018-19,Himachal Pradesh,189333,172200,361533,285600,256800,542600,183600,163400,346600,469200,420200,889200,126200,112200,238400,129800,115200,245000
2018-19,Jammu and Kashmir,358867,329333,687800,676600,592000,1268800,455200,396600,851600,1131800,988600,2120400,295400,260400,555800,289000,257800,546200
2018-19,Jharkhand,1402667,1287200,2690267,1979600,1875200,3855200,1221200,1175200,2395400,3200800,3050400,6250600,813800,775800,1588400,817600,773600,1591200
2018-19,Karnataka,1868533,1724200,3592133,2616600,2461000,5077400,1606400,1520800,3127800,4223000,3981800,8205200,1108600,1042200,2150800,1140200,1064800,2205400
2018-19,Kerala,896933,861067,1757400,1274400,1222800,2498400,783600,752600,1537200,2058000,1975400,4035600,532000,509400,1041000,540800,516000,1056800
2018-19,Ladakh,10317,9876,20193,14176,12821,26998,9129,8118,17247,23305,20939,44244,6161,5820,11981,6297,5822,12119
2018-19,Lakshadweep,2178,2080,4258,3292,3071,6363,1959,2195,4154,5250,5266,10517,1408,1338,2746,1399,1474,2873
2018-19,Madhya Pradesh,3243333,2978467,6221667,4173400,3881600,8054000,2462600,2296400,4758600,6636000,6178000,12812600,1670800,1543600,3214400,1701800,1561600,3263400
2018-19,Maharashtra,3407933,2979667,6388000,4990800,4422800,9414600,3142600,2800800,5943000,8133400,7223600,15357600,2162400,1922600,4085000,2219000,1967000,4185000
2018-19,Manipur,79067,71853,150920,134183,125325,259508,91224,86116,177340,225407,211441,436848,62168,59434,121602,58377,57735,116111
2018-19,Meghalaya,114628,108279,222907,173113,166563,339676,109910,107040,216950,283023,273603,556626,71068,69067,140135,70942,68866,139808
2018-19,Mizoram,33158,31312,64470,52780,50596,103376,33915,32366,66282,86695,82963,169658,22599,21559,44158,23795,22972,46767
2018-19,Nagaland,62137,56844,118981,108629,100508,209138,73572,67599,141171,182201,168107,350308,50078,45754,95832,49497,47384,96882
2018-19,Odisha,1346000,1266400,2612400,1926800,1822200,3749000,1205600,1150200,2355800,3132400,2972400,6104800,817400,785200,1603000,831800,803200,1634800
2018-19,Puducherry,38886,37830,76716,60850,55672,116522,37838,35472,73310,98688,91144,189832,26350,23690,50039,25714,23354,49068
2018-19,Punjab,793800,692467,1486267,1163200,982000,2144600,752400,619000,1371400,1915600,1601000,3516000,533000,433400,966400,559000,449600,1008800
2018-19,Rajasthan,3083800,2675933,5760133,4085400,3632400,7717200,2433400,2206400,4639200,6518800,5838800,12356400,1643800,1487400,3131200,1669800,1507400,3176800
2018-19,Sikkim,13767,12688,26455,26312,25453,51765,19476,18781,38257,45789,44234,90023,13358,13029,26386,14297,13987,28284
2018-19,Tamil Nadu,1930867,1763200,3694467,2741000,2558400,5299400,1691400,1600600,3292600,4432400,4159000,8592000,1167800,1101200,2269000,1201600,1128800,2330000
2018-19,Telangana,1029467,929067,1958533,1460800,1354400,2816200,930800,877800,1809000,2391600,2232200,4625200,652800,614800,1267000,680000,640200,1320600
2018-19,Tripura,98657,92279,190935,152770,144704,297474,104904,99980,204883,257673,244683,502357,70986,67143,138129,77065,70843,147908
