Year,State,Total Schools - All management,Total Schools - Government,Total Schools - Government aided,Total Schools - Pvt. unaided,Total Schools - Others,Schools with drinking water facility - All management,Schools with drinking water facility - Government,Schools with drinking water facility - Government aided,Schools with drinking water facility - Pvt. unaided,Schools with drinking water facility - Others,Schools with functional drinking water facility - All management,Schools with functional drinking water facility - Government,Schools with functional drinking water facility - Government aided,Schools with functional drinking water facility - Pvt. unaided,Schools with functional drinking water facility - Others
2018-19,India,1551000,1083747,84623,326228,56402,1485623,1043557,80531,311585,49950,1415161,998808,78274,291503,46576
2018-19,Andaman and Nicobar Islands,414,339,2,72,1,414,339,2,72,1,413,338,2,72,1
2018-19,Andhra Pradesh,63621,45013,2346,15862,400,56918,38390,2341,15798,389,49254,33516,2015,13404,319
2018-19,Arunachal Pradesh,3793,3179,64,503,47,2354,1818,59,437,40,1989,1510,45,396,38
2018-19,Assam,66324,47223,5065,6084,7952,58948,44484,4207,5640,4617,57065,43306,4007,5486,4266
2018-19,Bihar,89224,72630,698,6249,9647,88832,72364,696,6219,9553,88033,71802,686,6121,9424
2018-19,Chandigarh,229,121,7,74,27,229,121,7,74,27,229,121,7,74,27
2018-19,Chhattisgarh,56274,48671,434,6842,327,55853,48261,431,6836,325,50046,43205,407,6152,282
2018-19,Dadra and Nagar Haveli,346,300,10,35,1,346,300,10,35,1,346,300,10,35,1
2018-19,Daman and Diu,140,112,4,23,1,140,112,4,23,1,140,112,4,23,1
2018-19,Delhi,5703,2784,253,2666,0,5703,2784,253,2666,0,5703,2784,253,2666,0
2018-19,Goa,1486,833,514,139,0,1486,833,514,139,0,1486,833,514,139,0
2018-19,Gujarat,54581,35202,5734,13641,4,54573,35194,5734,13641,4,54573,35194,5734,13641,4
2018-19,Haryana,23534,14516,26,7913,1079,23476,14463,26,7910,1077,23453,14447,26,7904,1076
2018-19,Himachal Pradesh,18212,15433,0,2778,1,18197,15419,0,2777,1,18134,15403,0,2730,1
2018-19,Jammu and Kashmir,28654,23167,1,5439,47,27695,22251,1,5398,45,27202,21815,1,5342,44
2018-19,Jharkhand,45908,35954,1177,1400,7377,44398,34911,1130,1368,6989,41722,32942,1016,1269,6495
2018-19,Karnataka,78233,50184,7417,20604,28,77189,49954,7391,19821,23,77188,49953,7391,19821,23
2018-19,Kerala,16701,5011,7195,3156,1339,16626,4957,7184,3150,1335,16477,4913,7140,3108,1316
2018-19,Ladakh,1054,913,28,113,0,765,645,23,97,0,723,607,21,95,0
2018-19,Lakshadweep,45,45,0,0,0,45,45,0,0,0,45,45,0,0,0
2018-19,Madhya Pradesh,154064,122056,874,29182,1952,146947,118382,774,26120,1671,137248,113212,670,22181,1185
2018-19,Maharashtra,109942,66033,23554,19400,955,108888,65190,23491,19260,947,106773,63645,23247,18949,932
2018-19,Manipur,4844,3073,587,1003,181,4338,2672,527,967,172,4173,2568,505,932,168
2018-19,Meghalaya,14669,7802,4181,2220,466,5531,2702,1879,758,192,4967,2391,1688,706,182
2018-19,Mizoram,3913,2564,231,1025,93,3664,2388,224,967,85,3625,2360,222,959,84
