Year,State,Total (Pre-primary to 12),Pre-Primary,Primary (1-5),Upper Primary (6-8),Elementary (1-8),Secondary (9-10),Higher Secondary (11-12)
2021-22,Madhya Pradesh,104139,793,73230,30005,103235,74,37
2021-22,Maharashtra,102267,9581,68895,18458,87353,4602,731
2021-22,Manipur,15940,4659,9397,1884,11281,0,0
2021-22,Meghalaya,41965,10879,18544,4555,23099,5658,2329
2021-22,Mizoram,7251,1232,3067,1102,4169,1197,653
2021-22,Nagaland,86,31,55,0,55,0,0
2021-22,Odisha,101743,6739,68612,17042,85654,7403,1947
2021-22,Puducherry,0,0,0,0,0,0,0
2021-22,Punjab,1032,135,682,215,897,0,0
2021-22,Rajasthan,170292,2031,142850,21465,164315,2908,1038
2021-22,Sikkim,0,0,0,0,0,0,0
2021-22,Tamil Nadu,46799,8468,29391,6101,35492,1803,1036
2021-22,Telangana,6603,157,4118,2310,6428,18,0
2021-22,Tripura,15139,2821,10968,904,11872,310,136
2021-22,Uttar Pradesh,2142498,7193,1570492,422165,1992657,113972,28676
2021-22,Uttarakhand,73589,883,50864,16854,67718,3406,1582
2021-22,West Bengal,200051,50094,121619,23846,145465,3395,1097
