Year,State,Number of schools - Total,Number of schools - Primary (1-5),Number of schools - Upper Primary (1-8),Number of schools - Upper Primary (6-8),Number of schools -  Secondary (1-10),Number of schools - Secondary (6-10),Number of schools - Secondary (9-10),Number of schools - Higher Secondary (1-12),Number of schools - Higher Secondary (6-12),Number of schools - Higher Secondary (9-12),Number of schools - Higher Secondary (11-12)
2019-20,Madhya Pradesh,31201,3199,20093,58,3140,33,131,4113,103,321,10
2019-20,Maharashtra,19654,5183,4747,111,2979,1911,725,1644,352,137,1865
2019-20,Manipur,1015,51,318,7,462,4,11,93,5,5,59
2019-20,Meghalaya,2198,1141,167,140,115,28,449,28,4,23,103
2019-20,Mizoram,1046,199,418,66,6,1,225,0,0,1,130
2019-20,Nagaland,746,115,175,0,322,1,0,116,3,0,14
2019-20,Odisha,6375,1375,2947,105,518,165,105,141,4,0,1015
2019-20,Puducherry,286,41,31,0,104,0,0,107,1,0,2
2019-20,Punjab,8623,813,2400,1,2630,7,0,2549,23,50,150
2019-20,Rajasthan,36056,3435,16750,15,7007,72,11,8407,269,88,2
2019-20,Sikkim,407,230,139,0,25,0,0,13,0,0,0
2019-20,Tamil Nadu,12382,5809,755,8,1887,159,0,3460,284,7,13
2019-20,Telangana,11688,551,3962,0,5705,236,0,37,0,0,1197
2019-20,Tripura,352,143,104,0,73,1,0,31,0,0,0
2019-20,Uttar Pradesh,93750,39992,16419,14649,1615,3839,3441,3241,5374,5158,22
2019-20,Uttarakhand,5467,2016,2197,264,229,56,38,519,105,36,7
2019-20,West Bengal,10424,7769,1166,567,366,95,0,407,48,1,5
2020-21,India,340753,88843,108767,16910,44337,11125,8804,36575,7010,7666,10716
2020-21,Andaman and Nicobar Islands,73,36,18,0,7,0,0,12,0,0,0
2020-21,Andhra Pradesh,15792,3862,4465,121,1605,3881,0,23,0,0,1835
2020-21,Arunachal Pradesh,496,138,243,0,89,0,0,23,0,3,0
2020-21,Assam,6045,1054,1672,67,2328,58,189,268,25,52,332
2020-21,Bihar,7923,633,5188,8,453,64,583,513,11,100,370
2020-21,Chandigarh,75,5,12,0,14,0,0,43,1,0,0
2020-21,Chhattisgarh,7131,1780,2920,91,740,12,31,1374,53,128,2
2020-21,Daman and Diu and Dadra and Nagar Haveli,63,18,13,0,17,0,0,15,0,0,0
2020-21,Delhi,2641,947,808,5,225,6,0,641,7,2,0
2020-21,Goa,138,101,6,1,16,4,0,6,0,0,4
2020-21,Gujarat,13834,1362,6538,288,900,22,772,1876,57,1410,609
2020-21,Haryana,8235,729,2450,6,1890,29,1,3062,64,2,2
2020-21,Himachal Pradesh,2753,580,771,0,790,0,1,584,8,12,7
2020-21,Jammu and Kashmir,5649,1825,2019,0,1379,0,1,406,4,13,2
2020-21,Jharkhand,1542,20,171,5,383,315,97,311,8,2,230
2020-21,Karnataka,19915,3383,6242,147,4655,93,1998,665,16,93,2623
2020-21,Kerala,3241,518,623,16,1045,20,19,889,41,27,43
2020-21,Ladakh,112,25,55,0,26,1,0,5,0,0,0
2020-21,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0
2020-21,Madhya Pradesh,31512,3196,20062,55,3364,35,127,4250,105,307,11
2020-21,Maharashtra,19632,4953,4675,104,3061,1851,727,1908,353,140,1860
2020-21,Manipur,1027,48,307,7,481,4,11,96,5,5,63
2020-21,Meghalaya,2179,1115,166,136,117,26,453,30,6,24,106
2020-21,Mizoram,1050,200,420,66,8,1,225,0,0,1,129
2020-21,Nagaland,743,112,169,0,320,1,0,124,3,0,14
2020-21,Odisha,6393,1325,2991,116,530,156,111,140,5,0,1019
2020-21,Puducherry,286,39,32,0,104,0,0,108,1,0,2
2020-21,Punjab,8893,861,2530,1,2593,10,2,2634,23,60,179
2020-21,Rajasthan,36023,3285,16786,13,7057,69,10,8461,255,85,2
2020-21,Sikkim,393,217,139,0,24,0,0,13,0,0,0
2020-21,Tamil Nadu,12402,5776,801,8,1870,155,0,3490,282,7,13
2020-21,Telangana,12023,537,4177,0,5810,235,0,45,1,0,1218
2020-21,Tripura,360,148,98,0,79,1,0,34,0,0,0
2020-21,Uttar Pradesh,96741,40811,17808,14866,1710,3928,3408,3507,5523,5154,26
2020-21,Uttarakhand,5396,1832,2254,227,273,54,38,568,104,38,8
2020-21,West Bengal,10042,7372,1138,556,374,94,0,451,49,1,7
2021-22,India,335844,85945,106292,16810,43887,10942,8468,38190,7053,7636,10621
2021-22,Andaman and Nicobar Islands,72,33,19,0,7,0,0,13,0,0,0
2021-22,Andhra Pradesh,15058,3726,4020,38,1574,3763,0,17,0,0,1920
2021-22,Arunachal Pradesh,503,135,251,0,87,0,0,27,0,3,0
2021-22,Assam,5852,938,1606,59,2332,54,146,320,29,40,328
2021-22,Bihar,8097,623,5280,7,453,65,583,535,11,110,430
2021-22,Chandigarh,76,6,11,0,14,0,0,44,1,0,0
2021-22,Chhattisgarh,7063,1652,2961,88,748,12,28,1397,53,122,2
2021-22,Daman and Diu and Dadra and Nagar Haveli,63,17,14,0,14,0,0,18,0,0,0
2021-22,Delhi,2610,923,782,5,230,5,0,656,7,2,0
2021-22,Goa,139,97,8,0,15,5,0,9,0,0,5
2021-22,Gujarat,13559,1282,6306,274,897,21,688,1978,59,1465,589
2021-22,Haryana,8261,711,2440,6,1850,29,0,3156,65,2,2
2021-22,Himachal Pradesh,2646,520,725,0,786,0,0,587,8,13,7
2021-22,Jammu and Kashmir,5526,1798,1912,0,1385,0,2,410,4,13,2
2021-22,Jharkhand,1559,15,191,4,384,310,94,323,8,2,228
2021-22,Karnataka,19650,3226,6165,123,4876,80,1869,662,15,77,2557
2021-22,Kerala,3164,478,590,17,1044,20,19,887,40,27,42
2021-22,Ladakh,112,24,55,0,26,1,0,6,0,0,0
2021-22,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0
2021-22,Madhya Pradesh,30345,2863,19068,46,3235,32,116,4568,111,296,10
2021-22,Maharashtra,19268,4632,4596,101,3080,1813,724,2030,354,136,1802
2021-22,Manipur,1010,47,285,7,482,4,11,100,6,4,64
2021-22,Meghalaya,2120,1051,165,125,123,26,454,33,5,25,113
2021-22,Mizoram,1034,188,412,66,11,1,225,0,0,0,131
2021-22,Nagaland,757,124,170,0,320,1,0,127,2,0,13
2021-22,Odisha,6104,1140,2990,105,527,146,116,144,5,0,931
2021-22,Puducherry,281,39,26,0,99,0,0,114,1,0,2
2021-22,Punjab,7978,650,2093,1,2375,8,2,2622,21,56,150
2021-22,Rajasthan,34826,2995,16124,12,6916,66,9,8384,238,80,2
2021-22,Sikkim,376,204,134,0,25,0,0,13,0,0,0
2021-22,Tamil Nadu,12396,5458,628,8,1647,147,0,4207,282,5,14
2021-22,Telangana,12193,527,4248,0,5904,226,0,55,1,0,1232
2021-22,Tripura,363,141,90,0,89,1,0,42,0,0,0
2021-22,Uttar Pradesh,97808,41025,18513,14933,1665,3967,3345,3636,5577,5119,28
2021-22,Uttarakhand,5225,1619,2267,204,297,47,37,603,105,38,8
2021-22,West Bengal,9750,7038,1147,581,370,92,0,467,45,1,9
