Year,State,Pre-Primary - Boys,Pre-Primary - Girls,Pre-Primary - Total,Primary (1-5) - Boys,Primary (1-5) - Girls,Primary (1-5) - Total,Upper Primary (6-8) - Boys,Upper Primary (6-8) - Girls,Upper Primary (6-8) - Total,Elementary (1-8) - Boys,Elementary (1-8) - Girls,Elementary (1-8) - Total,Secondary (9-10) - Boys,Secondary (9-10) - Girls,Secondary (9-10) - Total,Higher Secondary (11-12) - Boys,Higher Secondary (11-12) - Girls,Higher Secondary (11-12) - Total,Primary to Higher Secondary (1-12) - Boys,Primary to Higher Secondary (1-12) - Girls,Primary to Higher Secondary (1-12) - Total,Total (Pre-Primary to Higher Secondary) - Boys,Total (Pre-Primary to Higher Secondary) - Girls,Total (Pre-Primary to Higher Secondary) - Total
2018-19,India,4471639,3600074,8071713,23398805,18184573,41583378,11192642,8376870,19569512,34591447,26561443,61152890,7357116,5536321,12893437,5567446,4509026,10076472,47516009,36606790,84122799,51987648,40206864,92194512
2018-19,Andaman and Nicobar Islands,2730,2359,5089,5480,4948,10428,2174,2049,4223,7654,6997,14651,1001,993,1994,587,514,1101,9242,8504,17746,11972,10863,22835
2018-19,Andhra Pradesh,0,0,0,999373,761266,1760639,470070,345587,815657,1469443,1106853,2576296,292247,215870,508117,299256,289212,588468,2060946,1611935,3672881,2060946,1611935,3672881
2018-19,Arunachal Pradesh,7760,6681,14441,31368,25405,56773,10442,7810,18252,41810,33215,75025,3032,2695,5727,975,884,1859,45817,36794,82611,53577,43475,97052
2018-19,Assam,127483,103109,230592,402339,319186,721525,166620,134355,300975,568959,453541,1022500,91290,77449,168739,51694,47248,98942,711943,578238,1290181,839426,681347,1520773
2018-19,Bihar,159906,97182,257088,616228,393272,1009500,272647,177234,449881,888875,570506,1459381,195080,179185,374265,256327,205461,461788,1340282,955152,2295434,1500188,1052334,2552522
2018-19,Chandigarh,7993,6747,14740,18574,15186,33760,11308,8523,19831,29882,23709,53591,7215,5694,12909,7435,5373,12808,44532,34776,79308,52525,41523,94048
2018-19,Chhattisgarh,129680,111786,241466,429337,359882,789219,203349,160317,363666,632686,520199,1152885,109293,88258,197551,73666,62969,136635,815645,671426,1487071,945325,783212,1728537
2018-19,Dadra and Nagar Haveli,1829,1379,3208,7189,4932,12121,3094,2132,5226,10283,7064,17347,1479,1077,2556,775,638,1413,12537,8779,21316,14366,10158,24524
2018-19,Daman and Diu,1223,1038,2261,4779,3574,8353,1704,1180,2884,6483,4754,11237,875,642,1517,237,180,417,7595,5576,13171,8818,6614,15432
2018-19,Delhi,102213,80142,182355,524385,375719,900104,251458,159697,411155,775843,535416,1311259,133659,83851,217510,101160,67876,169036,1010662,687143,1697805,1112875,767285,1880160
