Year,State,Total Schools - All management,Total Schools - Government,Total Schools - Government aided,Total Schools - Pvt. unaided,Total Schools - Others,Schools with electricity facility - All management,Schools with electricity facility - Government,Schools with electricity facility - Government aided,Schools with electricity facility - Pvt. unaided,Schools with electricity facility - Others,Schools with functional electricity facility - All management,Schools with functional electricity facility - Government,Schools with functional electricity facility - Government aided,Schools with functional electricity facility - Pvt. unaided,Schools with functional electricity facility - Others
2019-20,Madhya Pradesh,133379,99411,790,31201,1977,86271,57023,559,27112,1577,83250,54562,548,26589,1551
2019-20,Maharashtra,110229,65886,23791,19654,898,104465,60677,23451,19448,889,94911,51398,23286,19341,886
2019-20,Manipur,4663,2876,585,1015,187,3023,1710,202,952,159,2440,1181,156,946,157
2019-20,Meghalaya,14730,7799,4180,2198,553,3391,1205,1245,704,237,3193,1101,1188,681,223
2019-20,Mizoram,3924,2552,231,1046,95,3207,2002,220,902,83,3059,1864,219,894,82
2019-20,Nagaland,2758,2011,0,746,1,1938,1268,0,669,1,1846,1184,0,661,1
2019-20,Odisha,67020,53260,5839,6375,1546,52651,40859,4503,5960,1329,44248,33695,3719,5619,1215
2019-20,Puducherry,741,422,33,286,0,741,422,33,286,0,741,422,33,286,0
2019-20,Punjab,28775,19377,457,8623,318,28775,19377,457,8623,318,28750,19352,457,8623,318
2019-20,Rajasthan,106240,67660,0,36056,2524,83219,47312,0,34052,1855,81914,46358,0,33745,1811
2019-20,Sikkim,1277,851,19,407,0,1263,838,19,406,0,1255,830,19,406,0
2019-20,Tamil Nadu,58897,37579,8328,12382,608,58897,37579,8328,12382,608,58897,37579,8328,12382,608
2019-20,Telangana,42575,30001,702,11688,184,40763,28189,702,11688,184,39404,26830,702,11688,184
2019-20,Tripura,4940,4275,45,352,268,1943,1514,38,294,97,1862,1441,38,291,92
2019-20,Uttar Pradesh,254352,137638,8048,93750,14916,197164,102847,6634,76259,11424,185159,93062,6518,74490,11089
2019-20,Uttarakhand,23295,16741,617,5467,470,20410,14239,568,5142,461,19495,13381,560,5101,453
2019-20,West Bengal,95755,83456,93,10424,1782,91977,81081,90,9301,1505,90820,80052,89,9200,1479
2020-21,India,1509136,1032049,84295,340753,52039,1311445,887016,72952,312676,38801,1266435,847804,71635,309198,37798
2020-21,Andaman and Nicobar Islands,417,342,2,73,0,385,310,2,73,0,385,310,2,73,0
2020-21,Andhra Pradesh,63343,45145,2121,15792,285,60217,42589,1759,15636,233,60205,42583,1759,15630,233
2020-21,Arunachal Pradesh,3675,3061,67,496,51,2105,1521,65,472,47,1735,1158,64,468,45
2020-21,Assam,65203,46749,4983,6045,7426,39132,32979,960,4491,702,37573,31827,843,4404,499
2020-21,Bihar,93459,75555,735,7923,9246,80881,63993,646,7653,8589,79788,63053,642,7603,8490
2020-21,Chandigarh,230,121,7,75,27,230,121,7,75,27,230,121,7,75,27
2020-21,Chhattisgarh,56494,48619,430,7131,314,53238,45553,390,6996,299,49780,42170,379,6940,291
2020-21,Daman and Diu and Dadra and Nagar Haveli,479,407,8,63,1,479,407,8,63,1,479,407,8,63,1
2020-21,Delhi,5642,2751,250,2641,0,5642,2751,250,2641,0,5642,2751,250,2641,0
2020-21,Goa,1481,821,522,138,0,1481,821,522,138,0,1481,821,522,138,0
2020-21,Gujarat,54444,34967,5640,13834,3,54412,34936,5639,13834,3,54410,34934,5639,13834,3
2020-21,Haryana,23764,14563,17,8235,949,23516,14378,17,8186,935,23182,14056,17,8175,934
2020-21,Himachal Pradesh,18145,15391,0,2753,1,17809,15062,0,2746,1,17619,14875,0,2743,1
2020-21,Jammu and Kashmir,28930,23167,1,5649,113,21228,16234,1,4903,90,20386,15483,1,4815,87
2020-21,Jharkhand,45319,35888,1175,1542,6714,42896,34534,796,1485,6081,41349,33133,755,1469,5992
2020-21,Karnataka,76905,49791,7182,19915,17,76102,49400,7173,19512,17,75847,49171,7166,19494,16
2020-21,Kerala,16481,5020,7191,3241,1029,16379,4932,7186,3234,1027,16354,4909,7186,3232,1027
2020-21,Ladakh,1056,915,29,112,0,939,819,29,91,0,936,816,29,91,0
2020-21,Lakshadweep,45,45,0,0,0,45,45,0,0,0,45,45,0,0,0
2020-21,Madhya Pradesh,133271,99152,773,31512,1834,99002,68659,563,28219,1561,95999,66144,552,27762,1541
2020-21,Maharashtra,110114,65734,23924,19632,824,105023,61089,23654,19462,818,95156,51507,23484,19350,815
2020-21,Manipur,4653,2878,585,1027,163,3078,1742,219,977,140,2483,1206,166,974,137
2020-21,Meghalaya,14694,7795,4176,2179,544,3583,1289,1296,753,245,3365,1172,1236,726,231
2020-21,Mizoram,3925,2558,231,1050,86,3297,2070,223,927,77,3143,1929,221,918,75
2020-21,Nagaland,2719,1975,0,743,1,1949,1280,0,668,1,1854,1194,0,659,1
2020-21,Odisha,64185,50256,5844,6393,1692,52173,40176,4564,6004,1429,45492,34593,3859,5713,1327
2020-21,Puducherry,741,422,33,286,0,741,422,33,286,0,741,422,33,286,0
2020-21,Punjab,28695,19330,455,8893,17,28695,19330,455,8893,17,28695,19330,455,8893,17
2020-21,Rajasthan,107376,68813,0,36023,2540,91204,54886,0,34374,1944,89990,53967,0,34122,1901
2020-21,Sikkim,1263,851,19,393,0,1253,841,19,393,0,1242,830,19,393,0
2020-21,Tamil Nadu,58904,37589,8326,12402,587,58904,37589,8326,12402,587,58904,37589,8326,12402,587
2020-21,Telangana,42917,30015,700,12023,179,40395,27632,637,11947,179,38879,26119,637,11945,178
2020-21,Tripura,4934,4265,43,360,266,2169,1722,37,310,100,2079,1639,37,308,95
2020-21,Uttar Pradesh,256911,137068,8125,96741,14977,210023,110902,6818,80571,11732,200059,103277,6692,78731,11359
2020-21,Uttarakhand,23169,16651,614,5396,508,20777,14584,573,5121,499,19961,13822,565,5083,491
2020-21,West Bengal,95153,83379,87,10042,1645,92063,81418,85,9140,1420,90967,80441,84,9045,1397
2021-22,India,1489115,1022386,82480,335844,48405,1330305,908774,72829,311009,37693,1289245,872864,71704,307868,36809
