Year,State,Number of Primary schools - Total,Number of Primary schools - Having AWC in the school campus,Number of Primary schools - Having Pre-Primary Sections,Number of Primary schools - Having AWC in the school campus or Pre-Primary Sections
2020-21,India,49418,18,19405,19411
2020-21,Andaman and Nicobar Islands,0,0,0,0
2020-21,Andhra Pradesh,277,7,26,29
2020-21,Arunachal Pradesh,51,0,41,41
2020-21,Assam,6280,0,3286,3286
2020-21,Bihar,9191,0,4685,4685
2020-21,Chandigarh,27,0,27,27
2020-21,Chhattisgarh,228,0,15,15
2020-21,Daman and Diu and Dadra and Nagar Haveli,1,0,0,0
2020-21,Delhi,0,0,0,0
2020-21,Goa,0,0,0,0
2020-21,Gujarat,3,0,0,0
2020-21,Haryana,946,0,660,660
2020-21,Himachal Pradesh,1,0,0,0
2020-21,Jammu and Kashmir,111,0,79,79
2020-21,Jharkhand,6590,0,5258,5258
2020-21,Karnataka,13,0,3,3
2020-21,Kerala,1014,0,898,898
2020-21,Ladakh,0,0,0,0
2020-21,Lakshadweep,0,0,0,0
2020-21,Madhya Pradesh,1814,0,225,225
2020-21,Maharashtra,779,0,416,416
2020-21,Manipur,162,0,106,106
2020-21,Meghalaya,327,0,297,297
2020-21,Mizoram,42,0,37,37
2020-21,Nagaland,1,0,1,1
2020-21,Odisha,1562,6,589,592
2020-21,Puducherry,0,0,0,0
2020-21,Punjab,17,0,17,17
2020-21,Rajasthan,2535,0,156,156
2020-21,Sikkim,0,0,0,0
2020-21,Tamil Nadu,582,2,562,562
2020-21,Telangana,179,0,18,18
2020-21,Tripura,266,0,84,84
2020-21,Uttar Pradesh,14537,0,563,563
2020-21,Uttarakhand,372,0,68,68
2020-21,West Bengal,1510,3,1288,1288
2021-22,India,45978,0,17423,17423
2021-22,Andaman and Nicobar Islands,0,0,0,0
2021-22,Andhra Pradesh,206,0,19,19
2021-22,Arunachal Pradesh,47,0,39,39
2021-22,Assam,4661,0,2523,2523
2021-22,Bihar,8716,0,4350,4350
2021-22,Chandigarh,27,0,27,27
2021-22,Chhattisgarh,209,0,13,13
2021-22,Daman and Diu and Dadra and Nagar Haveli,1,0,0,0
2021-22,Delhi,0,0,0,0
2021-22,Goa,0,0,0,0
2021-22,Gujarat,3,0,0,0
2021-22,Haryana,884,0,617,617
2021-22,Himachal Pradesh,2,0,1,1
2021-22,Jammu and Kashmir,104,0,74,74
2021-22,Jharkhand,6164,0,4931,4931
2021-22,Karnataka,9,0,1,1
2021-22,Kerala,871,0,770,770
2021-22,Ladakh,0,0,0,0
2021-22,Lakshadweep,0,0,0,0
2021-22,Madhya Pradesh,1782,0,249,249
2021-22,Maharashtra,632,0,336,336
2021-22,Manipur,134,0,89,89
2021-22,Meghalaya,313,0,287,287
2021-22,Mizoram,41,0,37,37
2021-22,Nagaland,1,0,1,1
2021-22,Odisha,1190,0,479,479
2021-22,Puducherry,0,0,0,0
2021-22,Punjab,14,0,14,14
2021-22,Rajasthan,2594,0,155,155
2021-22,Sikkim,0,0,0,0
2021-22,Tamil Nadu,442,0,428,428
2021-22,Telangana,167,0,19,19
2021-22,Tripura,261,0,75,75
2021-22,Uttar Pradesh,14679,0,568,568
2021-22,Uttarakhand,350,0,53,53
2021-22,West Bengal,1474,0,1268,1268
