Year,State,Primary (1-5) - Boys,Primary (1-5) - Girls,Primary (1-5) - Total,Upper Primary (6-8) - Boys,Upper Primary (6-8) - Girls,Upper Primary (6-8) - Total,Elementary (1-8) - Boys,Elementary (1-8) - Girls,Elementary (1-8) - Total,Secondary (9-10) - Boys,Secondary (9-10) - Girls,Secondary (9-10) - Total,Higher Secondary (11-12) - Boys,Higher Secondary (11-12) - Girls,Higher Secondary (11-12) - Total,Primary to Higher Secondary (11-12) - Boys,Primary to Higher Secondary (11-12) - Girls,Primary to Higher Secondary (11-12) - Total
2018-19,India,44.46,44.87,44.66,44.93,45.44,45.18,44.62,45.07,44.84,45.6,45.03,45.33,44.6,44.65,44.62,44.77,45.02,44.89
2018-19,Andaman and Nicobar Islands,22.88,22.38,22.63,24.03,24.68,24.35,23.31,23.26,23.29,25.57,25.5,25.54,24.38,25.59,25.0,23.83,23.97,23.9
2018-19,Andhra Pradesh,51.44,51.47,51.45,50.59,50.87,50.73,51.13,51.25,51.19,51.31,50.83,51.08,52.52,51.12,51.82,51.3,51.16,51.23
2018-19,Arunachal Pradesh,2.58,2.44,2.51,2.59,2.37,2.47,2.58,2.41,2.5,2.33,2.36,2.34,2.66,2.74,2.7,2.55,2.43,2.49
2018-19,Assam,25.25,25.3,25.28,26.98,25.17,26.04,25.81,25.26,25.53,29.56,27.95,28.71,28.14,28.83,28.47,26.47,25.87,26.16
2018-19,Bihar,60.83,61.92,61.36,64.0,64.98,64.5,61.87,62.97,62.42,63.11,63.25,63.18,58.36,58.09,58.23,61.81,62.74,62.27
2018-19,Chandigarh,2.78,2.51,2.66,2.89,2.81,2.85,2.83,2.63,2.74,3.55,3.6,3.57,3.15,3.16,3.15,3.01,2.88,2.95
2018-19,Chhattisgarh,44.77,45.07,44.92,46.43,46.71,46.57,45.37,45.67,45.52,48.58,48.61,48.6,49.14,49.44,49.3,46.25,46.59,46.42
2018-19,Dadra and Nagar Haveli,4.54,3.47,4.03,4.17,3.64,3.92,4.42,3.53,4.0,4.27,3.79,4.05,5.56,4.52,5.04,4.49,3.66,4.1
2018-19,Daman and Diu,25.88,28.23,26.97,29.19,32.0,30.5,27.05,29.56,28.22,37.41,40.46,38.86,47.29,46.99,47.14,30.43,33.07,31.67
2018-19,Delhi,5.23,4.93,5.09,5.13,4.68,4.92,5.19,4.83,5.02,6.21,5.77,6.0,8.82,8.18,8.51,5.78,5.41,5.6
2018-19,Goa,7.35,7.58,7.46,11.9,12.86,12.36,9.03,9.51,9.26,13.2,13.4,13.3,17.6,17.95,17.78,10.86,11.36,11.1
2018-19,Gujarat,46.34,47.32,46.8,48.03,48.28,48.15,46.98,47.68,47.31,47.82,44.59,46.45,43.12,39.58,41.52,46.78,46.53,46.67
2018-19,Haryana,30.41,30.55,30.47,30.15,30.58,30.34,30.32,30.56,30.42,29.58,29.23,29.43,28.14,28.03,28.09,29.95,30.06,30.0
2018-19,Himachal Pradesh,13.1,12.89,13.0,13.66,13.25,13.47,13.31,13.02,13.17,14.64,14.24,14.45,16.05,15.64,15.85,13.95,13.63,13.8
2018-19,Jammu and Kashmir,6.5,6.75,6.62,6.63,7.03,6.82,6.54,6.85,6.69,6.4,6.34,6.37,5.89,5.78,5.84,6.45,6.67,6.55
2018-19,Jharkhand,44.67,45.5,45.07,46.71,48.63,47.67,45.33,46.56,45.93,48.81,49.92,49.37,42.99,43.88,43.43,45.57,46.78,46.17
2018-19,Karnataka,61.03,61.1,61.07,60.17,60.81,60.48,60.72,61.0,60.86,62.98,64.19,63.56,67.1,68.68,67.94,61.59,62.22,61.89
2018-19,Kerala,67.51,67.65,67.58,65.94,66.3,66.12,66.92,67.14,67.03,65.4,65.71,65.55,59.58,61.0,60.31,65.63,65.96,65.79
2018-19,Ladakh,0.13,0.08,0.11,0.12,0.03,0.08,0.13,0.06,0.1,0.03,0.0,0.01,0.0,0.0,0.0,0.1,0.05,0.07
