Year,State,Total Schools - All management,Total Schools - Government,Total Schools - Government aided,Total Schools - Pvt. unaided,Total Schools - Others,Schools with internet facility available - All management,Schools with internet facility available - Government,Schools with internet facility available - Government aided,Schools with internet facility available - Pvt. unaided,Schools with internet facility available - Others
2020-21,Chandigarh,230,121,7,75,27,224,121,7,75,21
2020-21,Chhattisgarh,56494,48619,430,7131,314,7922,4116,104,3671,31
2020-21,Daman and Diu and Dadra and Nagar Haveli,479,407,8,63,1,176,110,7,58,1
2020-21,Delhi,5642,2751,250,2641,0,4917,2470,204,2243,0
2020-21,Goa,1481,821,522,138,0,577,70,398,109,0
2020-21,Gujarat,54444,34967,5640,13834,3,40956,25301,3936,11717,2
2020-21,Haryana,23764,14563,17,8235,949,10545,3093,13,6857,582
2020-21,Himachal Pradesh,18145,15391,0,2753,1,4216,2186,0,2030,0
2020-21,Jammu and Kashmir,28930,23167,1,5649,113,3740,1237,0,2474,29
2020-21,Jharkhand,45319,35888,1175,1542,6714,14723,10334,211,1082,3096
2020-21,Karnataka,76905,49791,7182,19915,17,19105,3031,2691,13378,5
2020-21,Kerala,16481,5020,7191,3241,1029,14670,4378,6568,2991,733
2020-21,Ladakh,1056,915,29,112,0,590,519,7,64,0
2020-21,Lakshadweep,45,45,0,0,0,42,42,0,0,0
2020-21,Madhya Pradesh,133271,99152,773,31512,1834,20115,4020,230,15601,264
2020-21,Maharashtra,110114,65734,23924,19632,824,40259,7770,15478,16413,598
2020-21,Manipur,4653,2878,585,1027,163,767,82,11,618,56
2020-21,Meghalaya,14694,7795,4176,2179,544,645,104,297,203,41
2020-21,Mizoram,3925,2558,231,1050,86,359,110,42,188,19
2020-21,Nagaland,2719,1975,0,743,1,454,70,0,383,1
2020-21,Odisha,64185,50256,5844,6393,1692,4660,1428,380,2464,388
2020-21,Puducherry,741,422,33,286,0,719,400,33,286,0
2020-21,Punjab,28695,19330,455,8893,17,27047,19260,455,7329,3
2020-21,Rajasthan,107376,68813,0,36023,2540,42365,19255,0,22910,200
2020-21,Sikkim,1263,851,19,393,0,267,116,6,145,0
2020-21,Tamil Nadu,58904,37589,8326,12402,587,18865,6767,2370,9378,350
2020-21,Telangana,42917,30015,700,12023,179,9665,2460,173,7018,14
2020-21,Tripura,4934,4265,43,360,266,274,119,13,122,20
2020-21,Uttar Pradesh,256911,137068,8125,96741,14977,38388,4062,2524,29793,2009
2020-21,Uttarakhand,23169,16651,614,5396,508,4185,1046,206,2810,123
2020-21,West Bengal,95153,83379,87,10042,1645,10442,8550,31,1688,173
2021-22,India,1489115,1022386,82480,335844,48405,504989,247000,43795,200274,13920
2021-22,Andaman and Nicobar Islands,416,342,2,72,0,187,133,2,52,0
2021-22,Andhra Pradesh,61948,45137,1542,15058,211,34744,20313,756,13560,115
2021-22,Arunachal Pradesh,3603,2985,68,503,47,794,458,38,284,14
2021-22,Assam,60859,45490,3841,5852,5676,7126,4680,265,1945,236
2021-22,Bihar,93165,75558,742,8097,8768,10381,4421,65,3493,2402
2021-22,Chandigarh,233,123,7,76,27,230,123,7,76,24
2021-22,Chhattisgarh,56512,48743,417,7063,289,20735,16469,153,4066,47
2021-22,Daman and Diu and Dadra and Nagar Haveli,460,388,8,63,1,264,194,8,61,1
