Year,State,Total Schools,Schools for which affiliation board is Not Applicable up to elementary,Secondary Level - Affiliation board not applicable for secondary and applicable for higher secondary,Secondary Level - State Government Board,Secondary Level - CBSE,Secondary Level - Both CBSE and State,Secondary Level - ICSE,Secondary Level - Others,Higher Secondary Level - Affiliation board not applicable for higher secondary,Higher Secondary Level - State Government Board,Higher Secondary Level - CBSE,Higher Secondary Level - Both CBSE and State,Higher Secondary Level - ICSE,Higher Secondary Level - Others
2021-22,Karnataka,76450,55394,3805,15385,15734,1102,13,369,32,5232,321,7,80,31
2021-22,Kerala,16240,11327,59,1941,3241,1373,3,159,78,2195,679,3,63,32
2021-22,Ladakh,978,816,1,112,90,65,2,0,3,24,24,1,0,1
2021-22,Lakshadweep,38,25,0,0,5,3,5,0,0,11,2,0,0,0
2021-22,Madhya Pradesh,125582,107519,11,8306,16676,1255,23,33,58,8619,1033,18,24,58
2021-22,Maharashtra,109605,80993,2597,17741,24292,1280,25,264,151,10085,589,25,64,106
2021-22,Manipur,4617,3388,67,958,1076,77,0,1,8,210,57,0,1,3
2021-22,Meghalaya,14600,12752,210,1462,1545,28,1,7,57,356,22,0,3,5
2021-22,Mizoram,3911,3000,196,706,698,17,0,0,0,197,8,0,0,0
2021-22,Nagaland,2718,1944,13,576,688,36,1,1,35,170,20,0,1,7
2021-22,Odisha,62291,50375,1880,9497,9252,681,1,96,3,1871,459,2,24,62
2021-22,Puducherry,736,349,6,190,333,41,0,2,5,168,26,0,2,1
2021-22,Punjab,27701,18178,159,4186,7731,1435,1,172,25,4201,1061,0,60,15
2021-22,Rajasthan,106373,74967,2,10775,29961,1234,37,15,157,19466,1026,19,9,111
2021-22,Sikkim,1259,992,0,150,0,250,0,9,8,0,106,0,5,6
2021-22,Tamil Nadu,58801,44305,16,5499,14480,0,0,0,0,8997,0,0,0,0
2021-22,Telangana,43083,28399,1714,12045,12551,385,0,34,0,2549,82,0,8,0
2021-22,Tripura,4929,3748,0,702,1058,101,3,4,15,397,73,1,2,6
2021-22,Uttar Pradesh,258054,224508,31,12783,27280,3149,84,305,1946,16867,2448,30,233,954
2021-22,Uttarakhand,22815,18830,23,1407,3064,716,26,101,38,1833,616,19,74,33
2021-22,West Bengal,94744,84034,19,3291,9833,356,9,292,200,6859,249,3,191,117
