Year,State,Age 3-5 - Boys,Age 3-5 - Girls,Age 3-5 - Total,Age 6-10 - Boys,Age 6-10 - Girls,Age 6-10 - Total,Age 11-13 - Boys,Age 11-13 - Girls,Age 11-13 - Total,Age 6-13 - Boys,Age 6-13 - Girls,Age 6-13 - Total,Age 14-15 - Boys,Age 14-15 - Girls,Age 14-15 - Total,Age 16-17 - Boys,Age 16-17 - Girls,Age 16-17 - Total
2018-19,India,7967749,7260836,15228585,10826940,10036888,20863827,6584573,6121555,12706127,17411512,16158442,33569955,4472704,4078705,8551410,4510007,4034713,8544720
2018-19,Andaman and Nicobar Islands,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2018-19,Andhra Pradesh,250086,234280,484366,351483,340403,691886,227635,226450,454085,579118,566852,1145971,157296,154816,312112,158034,152191,310226
2018-19,Arunachal Pradesh,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2018-19,Assam,74291,68749,143040,108774,103976,212751,74023,72107,146129,182797,176083,358880,50371,49997,100369,52424,50892,103317
2018-19,Bihar,952399,884362,1836761,1277966,1208915,2486882,706084,648387,1354470,1984050,1857302,3841352,437797,371842,809639,405810,333161,738971
2018-19,Chandigarh,8524,7412,15936,12832,10746,23578,7850,6622,14472,20682,17368,38050,5499,4603,10102,5982,4794,10777
2018-19,Chhattisgarh,144490,136629,281119,187293,181260,368553,111204,108667,219871,298497,289927,588424,75706,72821,148527,77505,73872,151377
2018-19,Dadra and Nagar Haveli,233,242,475,333,282,615,210,210,420,543,492,1035,150,118,268,141,150,290
2018-19,Daman and Diu,205,174,378,283,286,569,219,194,414,502,480,983,157,120,277,189,124,313
2018-19,Delhi,101020,88324,189345,142506,125531,268037,90103,80433,170536,232609,205964,438573,64722,58573,123296,68797,62319,131116
2018-19,Goa,812,800,1612,1200,1116,2316,709,710,1418,1908,1825,3734,537,470,1007,523,514,1037
2018-19,Gujarat,144721,124683,269404,203037,178504,381541,129111,115186,244298,332148,293690,625838,90175,80077,170252,94605,84543,179148
2018-19,Haryana,215232,188221,403453,292703,255248,547951,177831,154526,332357,470534,409774,880307,121578,105772,227350,124957,105928,230885
2018-19,Himachal Pradesh,52439,48774,101213,76870,72145,149016,48732,45392,94123,125602,117537,243139,32974,30864,63838,33890,30908,64798
2018-19,Jammu and Kashmir,23291,20964,44256,46990,39651,86641,34015,29338,63353,81006,68989,149995,22789,19606,42395,24117,20263,44381
2018-19,Jharkhand,189310,178684,367994,266362,256469,522830,156051,148607,304658,422412,405076,827488,102405,93954,196359,98707,87498,186205
2018-19,Karnataka,361265,337597,698862,499636,477530,977166,307331,293571,600901,806966,771101,1578067,213202,198465,411667,214415,195319,409735
2018-19,Kerala,75543,72142,147685,107826,103811,211636,70531,67429,137960,178357,171240,349597,47953,45616,93568,46105,44528,90634
2018-19,Ladakh,5,1,7,9,4,14,6,5,11,15,9,24,2,2,5,3,2,5
2018-19,Lakshadweep,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2018-19,Madhya Pradesh,530764,484441,1015204,684112,632132,1316244,408841,380562,789403,1092952,1012694,2105646,278023,249669,527693,282505,243641,526146
2018-19,Maharashtra,408168,369099,777267,598725,553326,1152051,382729,353554,736283,981454,906880,1888334,264614,240342,504956,275211,243444,518655
2018-19,Manipur,2660,2420,5080,4934,4666,9600,3293,3100,6394,8228,7766,15994,2194,2064,4258,1930,1834,3764
2018-19,Meghalaya,495,502,997,877,785,1662,595,574,1169,1472,1359,2831,386,338,724,427,382,809
2018-19,Mizoram,18,27,45,51,47,98,34,24,58,85,71,156,11,20,30,19,16,35
2018-19,Nagaland,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2018-19,Odisha,244089,231616,475705,339080,322790,661870,217951,209856,427807,557032,532646,1089677,146634,144642,291276,147620,145178,292798
2018-19,Puducherry,6838,6562,13399,10776,10051,20827,6831,6512,13343,17607,16563,34170,4549,4306,8855,4309,4159,8468
2018-19,Punjab,286687,262825,549512,417717,375290,793007,267679,238036,505715,685396,613327,1298723,188554,166621,355175,194038,164791,358829
2018-19,Rajasthan,586552,512239,1098791,778431,697793,1476224,462367,418990,881357,1240798,1116783,2357581,310391,275809,586200,310948,268948,579896
2018-19,Sikkim,739,722,1461,1363,1298,2661,982,908,1890,2345,2206,4551,657,555,1212,695,689,1384
2018-19,Tamil Nadu,414555,384270,798825,600132,568608,1168740,375471,362654,738126,975604,931262,1906866,257180,248377,505557,259714,250748,510461
2018-19,Telangana,154731,142334,297065,224341,213596,437937,150431,147859,298290,374772,361455,736227,107625,104582,212207,111117,106359,217476
2018-19,Tripura,16713,15545,32258,25893,24375,50268,18162,17317,35479,44055,41692,85748,12446,11919,24365,14406,13070,27476
2018-19,Uttar Pradesh,2102397,1871300,3973697,2634495,2378222,5012717,1540576,1392118,2932694,4175071,3770340,7945411,1058088,935368,1993456,1075267,932325,2007592
2018-19,Uttarakhand,73041,63951,136992,105793,95571,201364,68264,62064,130328,174058,157635,331693,45590,41435,87025,46272,41153,87425
2018-19,West Bengal,545436,520946,1066382,824115,802461,1626575,538722,529594,1068316,1362837,1332055,2694891,372446,364942,737388,379325,370968,750293
2019-20,India,7915262,7212120,15127382,10854920,9992828,20847748,6481909,6045956,12527866,17336829,16038784,33375614,4417132,4038974,8456106,4461794,4001256,8463050
2019-20,Andaman and Nicobar Islands,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2019-20,Andhra Pradesh,247485,231740,479225,350173,336360,686533,221913,221441,443354,572087,557801,1129887,153829,151701,305530,154804,149350,304154
2019-20,Arunachal Pradesh,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2019-20,Assam,73900,68305,142204,107125,101309,208434,73494,71805,145299,180619,173114,353733,50197,49952,100149,52364,51015,103379
2019-20,Bihar,945732,876374,1822106,1277403,1196044,2473448,702482,650277,1352759,1979885,1846321,3826207,438351,375597,813947,408195,338436,746631
2019-20,Chandigarh,8746,7545,16291,13114,10978,24093,8042,6757,14798,21156,17735,38891,5650,4713,10363,6109,4928,11036
2019-20,Chhattisgarh,144342,136243,280585,189687,182766,372453,110255,107737,217992,299942,290503,590444,75243,72361,147604,77120,73440,150560
2019-20,Dadra and Nagar Haveli,239,246,485,340,288,628,215,214,429,555,502,1058,154,121,275,144,154,297
2019-20,Daman and Diu,210,177,387,289,293,582,225,198,423,514,491,1004,162,123,284,193,127,320
2019-20,Delhi,100985,88397,189382,143528,125314,268842,89321,80132,169453,232849,205446,438295,64288,58381,122669,68391,62046,130437
2019-20,Goa,833,814,1647,1226,1140,2366,726,724,1450,1952,1864,3816,552,482,1033,535,528,1063
2019-20,Gujarat,144983,124952,269935,204908,178248,383157,127900,114489,242389,332808,292737,625546,89536,79642,169178,94067,84047,178114
2019-20,Haryana,214645,188452,403097,294453,256123,550576,176005,153380,329385,470458,409502,879960,120458,105045,225503,123710,105220,228930
2019-20,Himachal Pradesh,51608,47999,99608,75202,70572,145774,48148,44892,93039,123349,115464,238813,32608,30479,63087,33472,30533,64005
