Year,State,Primary (1 to 5) - Boys,Primary (1 to 5) - Girls,Primary (1 to 5) - Total,Upper Primary (6-8) - Boys,Upper Primary (6-8) - Girls,Upper Primary (6-8) - Total,Secondary (9-10) - Boys,Secondary (9-10) - Girls,Secondary (9-10) - Total
2018-19,Tamil Nadu,99.3,98.4,98.8,99.8,99.1,99.5,79.4,90.3,84.8
2018-19,Telangana,98,97.7,97.9,96.9,97.2,97.1,84.7,88.4,86.5
2018-19,Tripura,96,97.2,96.6,94.6,96.1,95.4,58.5,58.5,58.5
2018-19,Uttar Pradesh,90,89.6,89.8,96,90.9,93.5,81.6,81.8,81.7
2018-19,Uttarakhand,96,96.3,96.1,95.8,96.5,96.1,81.3,85.7,83.4
2018-19,West Bengal,95.5,96.7,96.1,96,100,98.2,77.4,76.8,77.1
2019-20,India,97.7,98.2,97.9,97.1,96.4,96.8,80.1,82.3,81.1
2019-20,Andaman and Nicobar Islands,99.3,99.7,99.5,100.0,100.0,100.0,69.5,81.9,75.6
2019-20,Andhra Pradesh,100.0,100.0,100.0,99.7,99.8,99.7,82.8,87.8,85.2
2019-20,Arunachal Pradesh,87.7,91.2,89.4,87.0,88.3,87.7,59.2,66.3,62.8
2019-20,Assam,94.7,96.2,95.5,94.6,97.3,96.0,64.8,63.1,63.9
2019-20,Bihar,96.9,98.4,97.6,91.2,90.7,90.9,79.7,77.1,78.4
2019-20,Chandigarh,100.0,100.0,100.0,99.5,99.6,99.5,87.4,92.0,89.5
2019-20,Chhattisgarh,96.9,97.8,97.3,94.1,95.7,94.9,72.7,76.5,74.7
2019-20,Dadra and Nagar Haveli,99.5,99.3,99.4,97.5,98.0,97.8,67.9,77.5,72.4
2019-20,Daman and Diu,100.0,99.8,100.0,99.3,100.0,99.9,68.0,78.6,73.1
2019-20,Delhi,100.0,100.0,100.0,99.9,99.7,99.8,74.7,77.1,75.8
2019-20,Goa,99.7,99.8,99.7,100.0,99.8,100.0,77.8,87.3,82.3
2019-20,Gujarat,98.9,99.1,99.0,96.5,92.8,94.8,73.5,79.1,75.9
2019-20,Haryana,99.9,99.9,99.9,98.2,97.1,97.7,78.4,81.6,79.8
2019-20,Himachal Pradesh,98.2,98.5,98.3,99.0,98.3,98.6,83.6,88.2,85.7
2019-20,Jammu and Kashmir,95.6,95.6,95.6,96.3,96.1,96.2,81.1,81.4,81.2
2019-20,Jharkhand,92.2,94.4,93.3,90.6,91.7,91.2,82.7,81.9,82.3
2019-20,Karnataka,98.2,98.8,98.5,96.8,97.3,97.1,78.8,84.9,81.7
2019-20,Kerala,100.0,100.0,100.0,100.0,100.0,100.0,90.0,94.0,92.0
2019-20,Ladakh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-20,Lakshadweep,98.3,100.0,99.3,86.0,93.0,89.6,80.8,93.5,87.0
2019-20,Madhya Pradesh,98.2,98.4,98.3,95.5,94.4,95.0,68.4,71.4,69.8
2019-20,Maharashtra,100.0,99.9,100.0,99.2,98.5,98.9,82.5,85.0,83.7
2019-20,Manipur,90.6,90.7,90.6,95.1,96.1,95.6,90.1,90.2,90.1
2019-20,Meghalaya,87.9,91.1,89.4,85.4,89.5,87.6,67.8,69.4,68.6
2019-20,Mizoram,91.2,91.8,91.5,95.5,98.3,96.9,71.4,77.2,74.3
2019-20,Nagaland,90.3,92.7,91.4,86.7,90.8,88.7,66.5,69.3,67.9
2019-20,Odisha,98.9,99.0,99.0,95.0,95.8,95.4,74.1,77.6,75.8
2019-20,Puducherry,100.0,100.0,100.0,100.0,100.0,100.0,86.7,93.3,89.9
2019-20,Punjab,100.0,100.0,100.0,100.0,100.0,100.0,94.5,100.0,97.9
2019-20,Rajasthan,96.2,96.3,96.2,97.9,97.0,97.5,82.8,83.5,83.1
2019-20,Sikkim,99.1,100.0,99.9,100.0,100.0,100.0,65.9,72.0,69.1
2019-20,Tamil Nadu,98.6,99.2,98.9,99.6,99.7,99.6,86.7,94.4,90.5
2019-20,Telangana,100.0,100.0,100.0,99.6,100.0,99.9,86.0,89.4,87.7
2019-20,Tripura,96.9,97.4,97.2,95.5,96.2,95.8,63.7,64.9,64.3
2019-20,Uttar Pradesh,96.6,96.9,96.7,98.8,95.1,97.0,82.8,83.6,83.2
2019-20,Uttarakhand,97.1,97.5,97.3,97.5,97.3,97.4,84.8,88.6,86.6
2019-20,West Bengal,95.7,96.4,96.1,97.8,100.0,99.6,79.1,79.1,79.1
2020-21,India,99.0,99.2,99.1,98.3,97.6,97.9,84.8,85.4,85.1
2020-21,Andaman and Nicobar Islands,97.9,97.5,97.7,100.0,99.5,99.8,92.3,93.0,92.6
2020-21,Andhra Pradesh,100.0,100.0,100.0,99.5,99.5,99.5,82.7,83.9,83.3
2020-21,Arunachal Pradesh,88.8,91.7,90.2,90.4,91.9,91.2,89.9,87.8,88.8
2020-21,Assam,95.8,97.6,96.7,93.9,96.7,95.4,69.7,67.3,68.4
2020-21,Bihar,100.0,100.0,100.0,97.9,96.6,97.2,83.7,81.0,82.4
2020-21,Chandigarh,100.0,100.0,100.0,100.0,100.0,100.0,97.4,98.6,97.9
2020-21,Chhattisgarh,99.0,99.3,99.2,95.2,96.7,95.9,84.2,88.5,86.4
2020-21,Daman and Diu and Dadra and Nagar Haveli,95.9,96.9,96.4,100.0,100.0,100.0,72.9,82.0,77.2
2020-21,Delhi,100.0,100.0,100.0,100.0,100.0,100.0,89.3,91.5,90.4
2020-21,Goa,98.4,98.5,98.5,99.6,99.3,99.4,93.0,94.5,93.7
2020-21,Gujarat,99.1,98.9,99.0,96.3,94.5,95.5,74.9,79.1,76.7
2020-21,Haryana,97.7,97.9,97.8,100.0,100.0,100.0,83.6,87.3,85.2
2020-21,Himachal Pradesh,98.1,98.1,98.1,98.6,98.7,98.7,91.8,92.8,92.3
2020-21,Jammu and Kashmir,95.4,95.7,95.5,97.2,95.7,96.5,96.9,95.2,96.1
2020-21,Jharkhand,95.8,96.9,96.3,94.8,94.5,94.6,86.6,86.0,86.3
2020-21,Karnataka,98.6,99.0,98.8,97.8,98.0,97.9,81.4,85.0,83.1
2020-21,Kerala,99.9,100.0,99.9,100.0,100.0,100.0,90.7,95.1,92.9
2020-21,Ladakh,96.0,95.7,95.8,96.8,98.8,97.8,93.8,98.5,96.2
2020-21,Lakshadweep,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2020-21,Madhya Pradesh,98.5,98.7,98.6,95.3,94.6,94.9,72.2,75.4,73.7
2020-21,Maharashtra,98.9,99.1,99.0,98.8,98.4,98.6,88.5,88.7,88.6
2020-21,Manipur,90.8,91.6,91.2,95.3,96.1,95.7,90.0,90.1,90.0
2020-21,Meghalaya,89.8,92.9,91.3,88.0,91.0,89.6,67.3,69.6,68.5
2020-21,Mizoram,91.3,92.2,91.8,92.8,96.5,94.6,74.6,78.7,76.7
2020-21,Nagaland,91.1,92.8,91.9,91.9,94.5,93.2,68.0,71.3,69.7
2020-21,Odisha,100.0,100.0,100.0,100.0,100.0,100.0,83.3,84.6,84.0
2020-21,Puducherry,100.0,100.0,100.0,100.0,100.0,100.0,91.6,94.7,93.1
2020-21,Punjab,100.0,100.0,100.0,100.0,100.0,100.0,92.7,88.9,91.0
2020-21,Rajasthan,99.1,98.8,99.0,97.5,97.2,97.4,90.9,91.2,91.0
2020-21,Sikkim,97.8,99.7,98.7,100.0,100.0,100.0,70.5,77.9,74.4
2020-21,Tamil Nadu,99.3,99.5,99.4,99.4,99.4,99.4,91.3,95.9,93.6
2020-21,Telangana,100.0,100.0,100.0,100.0,100.0,100.0,85.7,86.6,86.1
2020-21,Tripura,95.4,96.1,95.7,96.0,96.9,96.5,68.0,70.7,69.4
2020-21,Uttar Pradesh,97.6,97.8,97.7,97.3,93.4,95.4,87.9,86.8,87.4
2020-21,Uttarakhand,98.2,98.3,98.3,98.7,98.4,98.6,89.2,92.1,90.6
2020-21,West Bengal,99.9,99.6,99.8,100.0,100.0,100.0,82.5,81.9,82.1
2021-22,India,98.1,98.1,98.1,96.6,95.9,96.3,86.0,86.7,86.3
2021-22,Andaman and Nicobar Islands,99.8,99.4,99.6,99.1,99.0,99.1,93.8,96.0,94.8
2021-22,Andhra Pradesh,100.0,100.0,100.0,98.2,98.4,98.3,82.4,85.0,83.7
2021-22,Arunachal Pradesh,88.3,88.5,88.4,93.3,90.0,91.6,87.6,87.0,87.3
2021-22,Assam,92.9,94.6,93.8,89.7,92.1,90.9,79.1,78.2,78.6
2021-22,Bihar,100.0,100.0,100.0,95.9,94.8,95.3,80.4,78.5,79.5
2021-22,Chandigarh,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2021-22,Chhattisgarh,98.9,99.2,99.1,94.9,96.5,95.7,88.2,91.7,90.0
2021-22,Daman and Diu and Dadra and Nagar Haveli,100.0,100.0,100.0,100.0,99.9,100.0,88.9,91.3,90.0
2021-22,Delhi,100.0,100.0,100.0,100.0,100.0,100.0,92.0,94.2,93.0
2021-22,Goa,100.0,100.0,100.0,100.0,100.0,100.0,86.1,93.4,89.5
2021-22,Gujarat,100.0,100.0,100.0,95.8,94.2,95.1,80.6,84.1,82.2
2021-22,Haryana,100.0,100.0,100.0,99.7,99.7,99.7,92.3,94.3,93.2
2021-22,Himachal Pradesh,100.0,100.0,100.0,99.4,99.5,99.4,98.0,99.0,98.5
2021-22,Jammu and Kashmir,96.0,95.8,95.9,97.1,96.8,97.0,94.0,93.4,93.7
2021-22,Jharkhand,97.4,98.7,98.0,96.1,95.8,96.0,89.9,90.7,90.3
2021-22,Karnataka,99.0,99.1,99.1,97.4,97.4,97.4,82.1,85.2,83.6
2021-22,Kerala,100.0,100.0,100.0,100.0,100.0,100.0,93.2,95.9,94.5
2021-22,Ladakh,92.5,94.5,93.5,97.7,99.9,98.8,95.2,93.9,94.5
2021-22,Lakshadweep,99.5,99.6,99.6,96.8,98.1,97.4,99.6,100.0,100.0
2021-22,Madhya Pradesh,96.2,96.5,96.3,90.8,90.5,90.7,88.3,89.4,88.8
2021-22,Maharashtra,99.9,100.0,99.9,98.5,98.3,98.4,88.9,89.1,89.0
2021-22,Manipur,86.3,86.9,86.6,94.0,94.7,94.3,98.5,98.7,98.6
2021-22,Meghalaya,87.3,90.4,88.8,86.0,89.3,87.7,72.3,76.0,74.3
2021-22,Mizoram,92.8,94.3,93.6,96.1,98.3,97.2,84.9,87.4,86.2
2021-22,Nagaland,92.5,94.0,93.2,92.8,94.7,93.8,76.9,80.1,78.6
2021-22,Odisha,100.0,100.0,100.0,91.8,93.3,92.5,70.5,74.5,72.5
2021-22,Puducherry,96.3,96.4,96.3,97.3,97.9,97.6,91.6,95.9,93.7
2021-22,Punjab,98.3,99.0,98.6,91.3,92.8,92.0,81.4,83.8,82.5
2021-22,Rajasthan,96.2,96.7,96.4,95.6,95.8,95.7,90.9,91.2,91.0
2021-22,Sikkim,96.9,99.5,98.1,99.8,100.0,99.9,83.0,88.8,86.0
2021-22,Tamil Nadu,100.0,100.0,100.0,100.0,100.0,100.0,93.4,97.3,95.3
2021-22,Telangana,100.0,100.0,100.0,96.6,97.1,96.9,85.5,87.1,86.3
2021-22,Tripura,98.7,98.9,98.8,94.9,95.5,95.2,90.0,90.7,90.3
2021-22,Uttar Pradesh,97.0,96.4,96.7,97.9,94.6,96.3,89.1,88.7,88.9
2021-22,Uttarakhand,99.0,99.4,99.2,97.0,97.6,97.3,93.9,94.8,94.3
2021-22,West Bengal,89.5,88.5,89.0,98.9,98.7,98.8,76.0,77.0,76.6
