Year,State,All management,Government - Total,Government - KVS,Government - NVS,Government - Other Central Government,Government - State Government,Government Aided,Private Unaided Recognized,Others
2021-22,India,6.7,5.3,10.5,37.2,18.0,5.3,7.6,10.7,6.6
2021-22,Andaman and Nicobar Islands,3.1,2.9,0.0,33.3,0.0,2.7,0.0,4.2,0.0
2021-22,Andhra Pradesh,5.6,3.9,17.1,73.3,100.0,3.9,5.7,10.8,9.0
2021-22,Arunachal Pradesh,4.9,3.4,15.8,6.3,33.3,3.3,22.1,11.1,8.5
2021-22,Assam,3.1,3.4,5.2,33.3,8.3,3.4,0.5,4.5,0.4
2021-22,Bihar,8.3,7.5,14.3,12.8,75.0,7.5,8.4,12.4,10.7
2021-22,Chandigarh,67.8,74.0,25.0,0.0,50.0,76.7,71.4,80.3,3.7
2021-22,Chhattisgarh,3.7,3.8,5.6,28.6,16.7,3.8,5.3,3.1,1.0
2021-22,Daman and Diu and Dadra and Nagar Haveli,12.0,14.2,0.0,33.3,0.0,14.1,0.0,0.0,0.0
2021-22,Delhi,28.1,39.0,52.2,100.0,0.0,38.7,17.8,17.6,0.0
2021-22,Goa,1.9,1.0,0.0,100.0,0.0,0.7,2.0,6.5,0.0
2021-22,Gujarat,5.5,4.0,11.1,35.3,0.0,4.0,6.6,8.8,0.0
2021-22,Haryana,16.4,10.5,2.9,28.6,33.3,10.5,18.8,26.6,19.4
2021-22,Himachal Pradesh,4.5,4.1,4.0,58.3,36.4,4.0,0.0,6.9,0.0
2021-22,Jammu and Kashmir,9.0,9.2,0.0,20.0,0.0,9.2,100.0,7.9,13.3
2021-22,Jharkhand,7.2,6.7,7.3,15.4,25.0,6.7,6.6,13.8,8.1
2021-22,Karnataka,12.8,10.2,11.5,80.0,21.1,10.2,15.2,18.7,9.1
2021-22,Kerala,6.8,8.7,7.7,14.3,0.0,8.7,3.8,11.1,5.4
2021-22,Ladakh,15.8,13.4,66.7,50.0,100.0,13.0,25.0,31.3,0.0
2021-22,Lakshadweep,2.6,2.6,0.0,0.0,0.0,2.8,0.0,0.0,0.0
2021-22,Madhya Pradesh,4.4,4.2,8.9,24.1,30.8,4.1,6.2,5.4,3.1
2021-22,Maharashtra,10.5,10.0,5.0,52.9,9.1,10.0,10.8,12.1,5.5
2021-22,Manipur,7.6,1.8,0.0,27.3,0.0,1.7,1.0,27.4,10.4
2021-22,Meghalaya,1.8,1.6,0.0,18.2,0.0,1.6,1.8,2.6,3.1
2021-22,Mizoram,1.1,0.5,25.0,0.0,0.0,0.4,2.6,2.1,4.8
2021-22,Nagaland,8.4,9.3,0.0,9.1,100.0,9.3,0.0,5.9,0.0
2021-22,Odisha,3.6,3.6,3.2,9.7,0.0,3.6,2.7,5.5,2.3
2021-22,Puducherry,3.4,1.4,0.0,75.0,0.0,0.7,0.0,6.8,0.0
2021-22,Punjab,9.0,9.2,5.8,8.7,4.8,9.2,5.8,8.6,7.1
2021-22,Rajasthan,4.1,2.9,10.4,57.1,35.7,2.9,0.0,6.6,1.8
2021-22,Sikkim,6.7,7.2,0.0,50.0,0.0,7.0,10.5,5.3,0.0
2021-22,Tamil Nadu,3.3,2.3,8.9,0.0,10.0,2.3,2.1,7.0,3.8
2021-22,Telangana,4.7,3.4,8.6,33.3,0.0,3.3,4.3,7.9,4.8
2021-22,Tripura,2.3,2.0,11.1,12.5,0.0,2.0,2.3,6.1,2.3
2021-22,Uttar Pradesh,8.8,4.9,9.9,73.3,7.1,4.9,13.3,14.1,7.7
2021-22,Uttarakhand,4.1,3.2,20.0,76.9,28.6,3.1,5.8,6.6,3.8
2021-22,West Bengal,3.3,3.4,12.9,17.7,15.9,3.4,6.8,2.6,1.6
