Year,State,Total (Pre-primary to 12),Pre-Primary,Primary (1-5),Upper Primary (6-8),Elementary (1-8),Secondary (9-10),Higher Secondary (11-12)
2020-21,Maharashtra,10246432,113057,2294413,3145053,5439466,2608075,2085834
2020-21,Manipur,30089,1016,17073,6661,23734,3806,1533
2020-21,Meghalaya,390348,57236,140563,99054,239617,67241,26254
2020-21,Mizoram,21166,0,1758,5546,7304,9162,4700
2020-21,Nagaland,0,0,0,0,0,0,0
2020-21,Odisha,923707,286,25121,150665,175786,397513,350122
2020-21,Puducherry,25690,1246,9083,7616,16699,5317,2428
2020-21,Punjab,205191,2501,53430,50310,103740,45331,53619
2020-21,Rajasthan,0,0,0,0,0,0,0
2020-21,Sikkim,4052,226,1010,1210,2220,826,780
2020-21,Tamil Nadu,2197618,2667,642509,661443,1303952,475620,415379
2020-21,Telangana,94467,1702,40981,26519,67500,16734,8531
2020-21,Tripura,26871,132,6907,6890,13797,5783,7159
2020-21,Uttar Pradesh,4579520,603,244145,1360160,1604305,1521352,1453260
2020-21,Uttarakhand,152184,373,6747,47205,53952,49070,48789
2020-21,West Bengal,46595,2850,15013,10400,25413,7798,10534
2021-22,India,27039457,391597,5413098,7443846,12856944,7632234,6158682
2021-22,Andaman and Nicobar Islands,1891,36,491,441,932,371,552
2021-22,Andhra Pradesh,211692,328,77156,50076,127232,33103,51029
2021-22,Arunachal Pradesh,20860,856,10401,5783,16184,2844,976
2021-22,Assam,381954,632,2375,216948,219323,90653,71346
2021-22,Bihar,197306,476,47755,56653,104408,57715,34707
2021-22,Chandigarh,8800,373,2158,1618,3776,1377,3274
2021-22,Chhattisgarh,74249,531,27247,18476,45723,12660,15335
2021-22,Daman and Diu and Dadra and Nagar Haveli,7109,0,1527,2416,3943,1544,1622
2021-22,Delhi,150909,1016,39738,48726,88464,31990,29439
2021-22,Goa,222937,14711,73337,60078,133415,39402,35409
2021-22,Gujarat,1814425,1424,52449,88311,140760,1036120,636121
2021-22,Haryana,9146,296,2458,2126,4584,1903,2363
2021-22,Himachal Pradesh,0,0,0,0,0,0,0
2021-22,Jammu and Kashmir,209,47,86,43,129,33,0
2021-22,Jharkhand,315854,6491,140452,96911,237363,51747,20253
2021-22,Karnataka,1492350,4288,378536,391496,770032,497449,220581
2021-22,Kerala,2828548,192159,1001380,738361,1739741,507520,389128
2021-22,Ladakh,718,0,520,165,685,33,0
2021-22,Lakshadweep,0,0,0,0,0,0,0
2021-22,Madhya Pradesh,111896,1347,34527,19317,53844,24103,32602
2021-22,Maharashtra,10238929,99691,2291484,3098892,5390376,2583231,2165631
2021-22,Manipur,30452,1157,17830,6602,24432,3798,1065
2021-22,Meghalaya,384856,55220,135751,98761,234512,66978,28146
2021-22,Mizoram,22096,0,1624,5665,7289,9421,5386
2021-22,Nagaland,0,0,0,0,0,0,0
2021-22,Odisha,858901,119,24873,127036,151909,364952,341921
2021-22,Puducherry,24198,1031,8423,7036,15459,5271,2437
2021-22,Punjab,191635,2719,54128,47546,101674,38719,48523
2021-22,Rajasthan,0,0,0,0,0,0,0
2021-22,Sikkim,3971,216,923,1210,2133,853,769
2021-22,Tamil Nadu,2239360,2597,685037,656268,1341305,472193,423265
2021-22,Telangana,90601,1293,38576,25248,63824,16054,9430
2021-22,Tripura,26799,138,7252,6241,13493,5508,7660
2021-22,Uttar Pradesh,4886841,541,236524,1508645,1745169,1620725,1520406
2021-22,Uttarakhand,156815,115,6646,48492,55138,48079,53483
2021-22,West Bengal,33150,1749,11434,8259,19693,5885,5823
