Year,State,Total - Male,Total - Female,Total - Total,Pre-Primary Only - Male,Pre-Primary Only - Female,Pre-Primary Only - Total,Pre-Primary & Primary - Male,Pre-Primary & Primary - Female,Pre-Primary & Primary - Total,Primary Only - Male,Primary Only - Female,Primary Only - Total,Primary & Upper Primary - Male,Primary & Upper Primary - Female,Primary & Upper Primary - Total,Upper Primary Only - Male,Upper Primary Only - Female,Upper Primary Only - Total,Upper Primary & Secondary - Male,Upper Primary & Secondary - Female,Upper Primary & Secondary - Total,Secondary Only - Male,Secondary Only - Female,Secondary Only - Total,Secondary & Higher Secondary - Male,Secondary & Higher Secondary - Female,Secondary & Higher Secondary - Total,Higher Secondary Only - Male,Higher Secondary Only - Female,Higher Secondary Only - Total
2021-22,Tamil Nadu,39381,218844,258225,145,7823,7968,135,4219,4354,3742,81390,85132,8178,47674,55852,2238,17545,19783,3901,12806,16707,6756,25798,32554,6362,10594,16956,7924,10995,18919
2021-22,Telangana,50757,126128,176885,183,5122,5305,943,6487,7430,5184,42439,47623,7640,24513,32153,5051,14818,19869,8300,11738,20038,12853,15728,28581,134,264,398,10469,5019,15488
2021-22,Tripura,3055,3136,6191,22,97,119,133,244,377,1076,1362,2438,396,396,792,480,375,855,365,241,606,281,184,465,169,147,316,133,90,223
2021-22,Uttar Pradesh,377702,326247,703949,248,4322,4570,1197,4329,5526,126877,137447,264324,20801,32828,53629,95640,71669,167309,15809,13225,29034,60137,32497,92634,26487,14880,41367,30506,15050,45556
2021-22,Uttarakhand,16553,39776,56329,26,1026,1052,178,1132,1310,4517,17574,22091,1950,5517,7467,3498,6837,10335,1171,2010,3181,1574,2192,3766,2012,2073,4085,1627,1415,3042
2021-22,West Bengal,37020,57067,94087,3090,6021,9111,15769,26703,42472,2710,6338,9048,2887,4521,7408,6168,3906,10074,2005,3013,5018,1540,2313,3853,1979,3201,5180,872,1051,1923
2020-21,India,1358230,2289444,3647674,7128,70378,77506,32304,85747,118051,299685,827951,1127636,126874,267933,394807,330837,466012,796849,111786,123213,234999,203533,244005,447538,88116,71281,159397,157967,132924,290891
2020-21,Andaman and Nicobar Islands,210,865,1075,4,61,65,14,54,68,55,347,402,22,73,95,35,131,166,20,50,70,14,69,83,23,36,59,23,44,67
2020-21,Andhra Pradesh,54753,72796,127549,0,0,0,0,0,0,13896,36291,50187,497,1320,1817,9882,16973,26855,15058,10925,25983,1822,2053,3875,1,3,4,13597,5231,18828
2020-21,Arunachal Pradesh,2388,3579,5967,11,97,108,64,181,245,760,1677,2437,460,574,1034,612,668,1280,136,127,263,215,178,393,71,42,113,59,35,94
2020-21,Assam,40231,49531,89762,152,871,1023,729,1783,2512,10127,17454,27581,5413,7427,12840,9730,9477,19207,4101,3704,7805,6270,5064,11334,655,777,1432,3054,2974,6028
2020-21,Bihar,66840,47024,113864,210,764,974,541,1170,1711,7500,10532,18032,8534,6230,14764,27498,20401,47899,4809,2419,7228,7672,2793,10465,2890,922,3812,7186,1793,8979
2020-21,Chandigarh,334,3618,3952,1,314,315,6,85,91,35,1039,1074,56,427,483,27,461,488,61,510,571,38,268,306,64,279,343,46,235,281
2020-21,Chhattisgarh,26547,59089,85636,121,1987,2108,640,2475,3115,6091,24949,31040,5114,10151,15265,4445,8111,12556,2152,3127,5279,2513,3065,5578,3222,3127,6349,2249,2097,4346
2020-21,"Daman and Diu and Dadra and Nagar Haveli",275,1178,1453,1,138,139,0,3,3,76,518,594,18,64,82,61,226,287,18,35,53,48,109,157,18,19,37,35,66,101
2020-21,Delhi,7572,57189,64761,43,5668,5711,0,0,0,2076,25779,27855,0,0,0,1860,12072,13932,0,0,0,1364,6620,7984,0,0,0,2229,7050,9279
2020-21,Goa,157,1736,1893,0,159,159,6,38,44,35,984,1019,22,108,130,12,106,118,19,120,139,35,143,178,10,20,30,18,58,76
2020-21,Gujarat,43787,100738,144525,115,2061,2176,409,2454,2863,9463,43916,53379,2692,7326,10018,10903,26032,36935,1239,1903,3142,8830,8806,17636,2440,2399,4839,7696,5841,13537
2020-21,Haryana,34663,103252,137915,35,2242,2277,74,887,961,6933,41106,48039,2659,9819,12478,6018,15765,21783,4185,9276,13461,4369,8008,12377,6156,9593,15749,4234,6556,10790
2020-21,Himachal Pradesh,8351,26258,34609,22,1043,1065,70,813,883,1234,7013,8247,1024,4104,5128,1966,5091,7057,1233,3021,4254,1125,2263,3388,859,1629,2488,818,1281,2099
2020-21,Jammu and Kashmir,26001,43688,69689,381,2628,3009,963,3001,3964,7264,15401,22665,1683,2552,4235,8884,12871,21755,1048,931,1979,4348,4853,9201,160,147,307,1270,1304,2574
2020-21,Jharkhand,16366,18749,35115,6,446,452,27,410,437,1848,5526,7374,1519,2169,3688,2594,3147,5741,2326,1894,4220,3519,2635,6154,1409,748,2157,3118,1774,4892
2020-21,Karnataka,56704,143823,200527,49,2164,2213,157,1316,1473,8928,50698,59626,8731,27391,36122,6327,21177,27504,1709,4202,5911,15914,23795,39709,287,587,874,14602,12493,27095
2020-21,Kerala,7359,65055,72414,31,2083,2114,9,189,198,1374,22005,23379,363,3030,3393,1734,16323,18057,486,2627,3113,1991,12022,14013,259,1237,1496,1112,5539,6651
2020-21,Ladakh,559,1027,1586,8,102,110,8,37,45,116,361,477,40,34,74,237,336,573,34,34,68,94,103,197,3,1,4,19,19,38
2020-21,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,Madhya Pradesh,116638,175203,291841,508,4233,4741,1077,3733,4810,21122,45440,66562,10595,16459,27054,55634,75535,131169,3873,5378,9251,11606,12600,24206,4855,5043,9898,7368,6782,14150
2020-21,Maharashtra,55597,163571,219168,94,2894,2988,416,2123,2539,14250,73291,87541,4671,13482,18153,8214,24640,32854,4310,8819,13129,11853,24938,36791,1602,2595,4197,10187,10789,20976
2020-21,Manipur,9483,12454,21937,22,331,353,120,823,943,1340,4120,5460,1614,1967,3581,1999,1915,3914,1358,994,2352,1786,1064,2850,359,311,670,885,929,1814
2020-21,Meghalaya,3818,8636,12454,16,154,170,170,631,801,1225,3631,4856,256,538,794,465,991,1456,132,271,403,1108,1563,2671,65,119,184,381,738,1119
2020-21,Mizoram,3630,4280,7910,9,94,103,40,101,141,953,1907,2860,326,339,665,985,1020,2005,1,4,5,817,444,1261,0,1,1,499,370,869
2020-21,Nagaland,4576,7839,12415,13,191,204,48,171,219,948,2611,3559,511,904,1415,1264,1765,3029,372,430,802,982,1001,1983,122,194,316,316,572,888
2020-21,Odisha,30148,49785,79933,44,472,516,35,267,302,6651,19108,25759,9675,16630,26305,4585,5402,9987,3083,4132,7215,2625,1836,4461,281,223,504,3169,1715,4884
2020-21,Puducherry,1453,5690,7143,3,364,367,1,114,115,105,2143,2248,169,783,952,123,553,676,220,582,802,222,408,630,238,364,602,372,379,751
2020-21,Punjab,20749,130124,150873,127,6054,6181,311,5656,5967,2581,39727,42308,0,0,0,4870,33222,38092,0,0,0,6767,28489,35256,0,0,0,6093,16976,23069
2020-21,Rajasthan,185928,164293,350221,758,7523,8281,5399,10762,16161,26443,46799,73242,22458,25399,47857,39919,31010,70929,29635,16639,46274,19369,9573,28942,27351,11243,38594,14596,5345,19941
2020-21,Sikkim,1044,2709,3753,17,158,175,30,132,162,510,1651,2161,61,112,173,234,455,689,41,35,76,86,103,189,21,18,39,44,45,89
2020-21,Tamil Nadu,39579,219612,259191,144,7839,7983,138,4263,4401,3777,81702,85479,8159,47803,55962,2237,17551,19788,3925,12864,16789,6780,25869,32649,6426,10674,17100,7993,11047,19040
2020-21,Telangana,52588,125124,177712,189,4554,4743,998,6524,7522,5900,43344,49244,7990,24493,32483,5293,14895,20188,8377,11123,19500,12873,14992,27865,111,205,316,10857,4994,15851
2020-21,Tripura,2999,3062,6061,38,118,156,109,184,293,1154,1483,2637,311,237,548,570,458,1028,258,185,443,287,189,476,126,102,228,146,106,252
2020-21,Uttar Pradesh,383582,322193,705775,280,4740,5020,2726,6515,9241,127870,132303,260173,17237,27625,44862,101689,75542,177231,14798,12623,27421,63163,33618,96781,24473,13908,38381,31346,15319,46665
2020-21,Uttarakhand,16975,40201,57176,46,1115,1161,194,950,1144,5452,19252,24704,1420,4153,5573,4016,7825,11841,985,1577,2562,1573,2202,3775,1758,1729,3487,1531,1398,2929
2020-21,West Bengal,36346,55473,91819,3630,6716,10346,16775,27902,44677,1593,3843,5436,2574,4210,6784,5915,3865,9780,1784,2652,4436,1455,2269,3724,1801,2986,4787,819,1030,1849
2019-20,India,1343793,2258832,3602625,7574,68238,75812,31469,79087,110556,305081,835272,1140353,114673,244103,358776,338099,476383,814482,106413,116008,222421,203980,244483,448463,81897,64627,146524,154607,130631,285238
2019-20,Andaman and Nicobar Islands,220,931,1151,4,70,74,11,69,80,59,372,431,26,75,101,40,139,179,21,52,73,15,76,91,21,29,50,23,49,72
2019-20,Andhra Pradesh,51927,72548,124475,0,0,0,0,0,0,13973,36616,50589,3288,6910,10198,6911,10106,17017,16615,14197,30812,1195,940,2135,8,21,29,9937,3758,13695
2019-20,Arunachal Pradesh,2450,3599,6049,16,112,128,44,151,195,826,1771,2597,462,507,969,653,707,1360,109,93,202,235,189,424,45,27,72,60,42,102
2019-20,Assam,40661,49174,89835,148,789,937,697,1670,2367,10935,17974,28909,5017,6725,11742,10285,9938,20223,3722,3365,7087,6487,5188,11675,545,658,1203,2825,2867,5692
2019-20,Bihar,65441,45911,111352,185,715,900,468,966,1434,7297,10019,17316,7587,5540,13127,28310,21285,49595,4492,2275,6767,7555,2629,10184,2613,870,3483,6934,1612,8546
2019-20,Chandigarh,342,3804,4146,1,315,316,6,73,79,35,1118,1153,59,461,520,28,499,527,68,521,589,38,271,309,64,302,366,43,244,287
2019-20,Chhattisgarh,26920,61255,88175,115,1868,1983,512,2136,2648,6403,27015,33418,5058,10222,15280,4601,8484,13085,2128,3117,5245,2592,3150,5742,3173,3111,6284,2338,2152,4490
2019-20,Dadra and Nagar Haveli,198,882,1080,1,123,124,0,16,16,62,378,440,7,37,44,53,174,227,10,22,32,34,70,104,7,15,22,24,47,71
2019-20,Daman and Diu,98,442,540,0,30,30,0,2,2,15,196,211,24,72,96,5,56,61,19,28,47,9,29,38,22,14,36,4,15,19
2019-20,Delhi,8017,62796,70813,49,6695,6744,0,0,0,2288,28740,31028,0,0,0,2013,13145,15158,0,0,0,1467,7029,8496,0,0,0,2200,7187,9387
2019-20,Goa,158,1802,1960,0,158,158,4,40,44,37,1063,1100,20,105,125,15,106,121,18,106,124,37,146,183,11,19,30,16,59,75
2019-20,Gujarat,44606,104607,149213,151,2006,2157,487,2637,3124,11055,47501,58556,1572,4455,6027,12119,29831,41950,771,1221,1992,9174,9334,18508,1490,1463,2953,7787,6159,13946
2019-20,Haryana,36689,110701,147390,41,2528,2569,86,871,957,7642,45494,53136,2793,10100,12893,6607,17103,23710,4434,9726,14160,4553,8553,13106,5978,9269,15247,4555,7057,11612
2019-20,Himachal Pradesh,8712,27224,35936,24,1103,1127,71,806,877,1303,7369,8672,1030,4085,5115,2152,5565,7717,1226,2990,4216,1186,2414,3600,866,1542,2408,854,1350,2204
