Year,State,Age 3-5 - Boys,Age 3-5 - Girls,Age 3-5 - Total,Age 6-10 - Boys,Age 6-10 - Girls,Age 6-10 - Total,Age 11-13 - Boys,Age 11-13 - Girls,Age 11-13 - Total,Age 6-13 - Boys,Age 6-13 - Girls,Age 6-13 - Total,Age 14-15 - Boys,Age 14-15 - Girls,Age 14-15 - Total,Age 16-17 - Boys,Age 16-17 - Girls,Age 16-17 - Total
2019-20,Tamil Nadu,28366,25206,53572,40078,36776,76855,22397,21038,43435,62475,57814,120289,14693,13086,27780,13543,12068,25611
2019-20,Telangana,117919,103102,221021,173236,157609,330845,105601,96468,202069,278837,254077,532914,73042,66423,139465,68818,60659,129478
2019-20,Tripura,37204,34903,72108,55402,52346,107748,40358,38166,78524,95760,90512,186271,26592,24843,51435,26585,24315,50899
2019-20,Uttar Pradesh,61343,56235,117578,77480,72403,149882,39831,38066,77897,117311,110469,227780,26319,23918,50237,25299,22893,48192
2019-20,Uttarakhand,8616,7652,16268,13411,12005,25416,9570,8816,18386,22981,20821,43802,6967,6423,13389,7032,6785,13817
2019-20,West Bengal,164713,158379,323092,241644,234185,475829,150687,146987,297674,392331,381172,773503,106163,99701,205865,106277,101187,207464
2020-21,India,4402251,4128462,8530713,6101398,5763228,11864626,3538139,3406487,6944626,9639537,9169715,18809251,2343031,2229808,4572839,2249663,2165974,4415636
2020-21,Andaman and Nicobar Islands,1165,1114,2278,1445,1245,2690,856,747,1603,2301,1992,4292,678,598,1276,632,571,1203
2020-21,Andhra Pradesh,87013,80801,167814,129808,119717,249525,73480,69509,142989,203288,189226,392514,49300,46851,96151,47353,44434,91787
2020-21,Arunachal Pradesh,31357,29657,61014,50298,48309,98607,36783,37049,73832,87081,85358,172439,25620,25801,51422,23020,23443,46462
2020-21,Assam,136451,124254,260705,195943,182843,378787,129840,127853,257693,325784,310696,636480,91888,92454,184342,91340,94852,186192
2020-21,Bihar,67747,63343,131090,94993,89413,184406,55324,54694,110017,150317,144107,294424,36618,35682,72300,35522,34535,70057
2020-21,Chandigarh,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-21,Chhattisgarh,342355,332293,674648,469210,451123,920333,252445,249157,501603,721655,700281,1421936,169511,165226,334737,163080,162790,325870
2020-21,Daman and Diu and Dadra and Nagar Haveli,9959,9524,19482,15051,13712,28763,9648,8912,18560,24699,22624,47323,5918,5178,11097,5405,4848,10253
2020-21,Delhi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-21,Goa,4706,4428,9134,7148,6591,13739,4693,4250,8943,11841,10841,22682,3221,2810,6031,3067,3007,6074
2020-21,Gujarat,408539,370648,779187,520689,485824,1006514,292768,280870,573638,813457,766695,1580152,192420,180688,373108,182900,167930,350831
2020-21,Haryana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-21,Himachal Pradesh,11135,10553,21687,16522,15180,31703,10827,10122,20949,27349,25303,52652,7323,6975,14298,7431,7215,14646
2020-21,Jammu and Kashmir,45268,44204,89472,75461,71129,146590,59618,51544,111162,135079,122673,257752,35552,29311,64863,30284,24873,55158
2020-21,Jharkhand,373742,352175,725917,518183,489145,1007329,320976,319520,640496,839160,808665,1647825,213795,214770,428565,203922,212199,416121
2020-21,Karnataka,146464,137562,284026,202239,191838,394076,120823,116905,237728,323061,308743,631804,84938,80265,165203,86057,77922,163979
2020-21,Kerala,14533,13705,28237,21532,20049,41581,13126,12756,25883,34658,32805,67464,7870,7803,15672,7241,6867,14109
2020-21,Ladakh,10040,9473,19513,13662,12368,26030,8851,7814,16665,22513,20182,42695,5924,5667,11591,6075,5713,11788
