Year,State,Scheme,Spillover,Non-Recurring - Fresh,Recurring - Fresh,Total Fresh,Grand Total - Including Spillover and Reimbursement
2024-25,Punjab,Teacher Education,304.85,77.53,2175.04,2252.57,2557.42
2024-25,Punjab,Total,22084.17,15610.14,111942.9,127553.04,149637.21
2024-25,Punjab,Secondary,12141.89,7562.94,31887.44,39450.38,51592.27
2024-25,Punjab,Elementary,9637.43,7969.67,77880.42,85850.09,95487.52
2024-25,Rajasthan,Total,141892.1,72719.21,521303.81,594053.02,735945.12
2024-25,Rajasthan,Teacher Education,5145.6,518.27,4729.54,5247.81,10393.41
2024-25,Rajasthan,Secondary,84646.3,57671.74,92642.58,150314.32,234960.62
2024-25,Rajasthan,Elementary,52100.2,14559.2,423931.69,438490.89,490591.09
2024-25,Tamil Nadu,Total,15559.89,58725.42,356280.75,415006.17,430566.06
2024-25,Tamil Nadu,Secondary,10375.5,31325.39,82413.05,113738.44,124113.94
2024-25,Tamil Nadu,Teacher Education,5184.39,218.15,7393.41,7611.56,12795.95
2024-25,Tamil Nadu,Elementary,0.0,27181.88,266474.29,293656.17,293656.17
2024-25,Telangana,Elementary,21830.01,12124.0,134629.19,146753.19,168583.2
2024-25,Telangana,Secondary,19704.04,3395.6,39531.22,42926.82,62630.86
2024-25,Telangana,Teacher Education,2436.51,0.0,1072.58,1072.58,3536.09
2024-25,Telangana,Total,43997.56,15519.6,175232.99,190752.6,234750.15
2024-25,Tripura,Elementary,3905.97,3938.21,24246.65,28184.86,32090.83
2024-25,Tripura,Teacher Education,1220.0,641.0,949.73,1590.73,2810.73
2024-25,Tripura,Total,12870.12,9048.93,35815.98,44864.91,57735.03
2024-25,Tripura,Secondary,7744.15,4469.72,10619.59,15089.31,22833.46
2024-25,Uttar Pradesh,Total,308867.64,110667.69,916857.53,1027525.22,1336392.86
2024-25,Uttar Pradesh,Teacher Education,21236.54,565.0,11858.52,12423.52,33660.06
2024-25,Uttar Pradesh,Secondary,38306.06,18011.38,44185.11,62196.49,100502.55
2024-25,Uttar Pradesh,Elementary,249325.04,92091.31,860813.9,952905.21,1202230.25
2024-25,Uttarakhand,Elementary,12128.18,10453.9,51648.9,62102.8,74230.98
2024-25,Uttarakhand,Secondary,14330.29,8708.13,15100.31,23808.44,38138.73
2024-25,Uttarakhand,Teacher Education,5738.79,908.62,3074.95,3983.57,9722.36
2024-25,Uttarakhand,Total,32197.26,20070.65,69824.15,89894.81,122092.07
2023-24,Andaman and Nicobar Islands,Elementary,732.56,787.09,4286.4,5073.49,5806.05,
2023-24,Andaman and Nicobar Islands,Total,1417.83,1298.92,6060.75,7359.67,8777.5,
2023-24,Andaman and Nicobar Islands,Teacher Education,1.0,0.0,96.6,96.6,97.6,
2023-24,Andaman and Nicobar Islands,Secondary,684.27,511.83,1677.75,2189.58,2873.85,
2023-24,Andhra Pradesh,Teacher Education,354.91,161.85,1159.31,1321.16,1676.07,
2023-24,Andhra Pradesh,Total,99298.17,60614.2,224485.72,285099.92,384398.09,
2023-24,Andhra Pradesh,Elementary,58972.74,47218.05,171473.31,218691.36,277664.14,
2023-24,Andhra Pradesh,Secondary,39970.48,13234.3,51853.1,65087.4,105057.88,
2023-24,Arunachal Pradesh,Teacher Education,298.44,1176.68,1346.86,2523.54,2821.98,
2023-24,Arunachal Pradesh,Total,8749.4,19094.33,44434.65,63528.98,72278.38,
2023-24,Arunachal Pradesh,Elementary,6265.41,14304.85,37243.51,51548.36,57813.77,
2023-24,Arunachal Pradesh,Secondary,2185.55,3612.8,5844.28,9457.08,11642.63,
2023-24,Assam,Secondary,37095.54,27987.58,30843.76,58831.34,95926.88,
2023-24,Assam,Teacher Education,652.45,2313.41,4802.68,7116.09,7768.54,
2023-24,Assam,Total,74869.49,71292.5,218955.91,290248.41,365117.9,
2023-24,Assam,Elementary,37121.5,40991.51,183309.47,224300.98,261422.48,
2023-24,Bihar,Teacher Education,227.856,0.0,759.18,759.18,987.036,
2023-24,Bihar,Secondary,73441.315,40556.72,38850.32,79407.04,152848.355,
2023-24,Bihar,Elementary,139011.439,13881.85,716083.1,729964.95,868976.389,
2023-24,Bihar,Total,212680.61,54438.57,755692.6,810131.17,1022811.78,
2023-24,Chandigarh,Total,607.6,17.3,12947.4,12964.7,13572.3,
2023-24,Chandigarh,Teacher Education,2.13,0.0,30.01,30.01,32.14,
2023-24,Chandigarh,Elementary,300.08,6.9,12339.59,12346.49,12646.57,
2023-24,Chandigarh,Secondary,305.39,10.4,577.8,588.2,893.59,
2023-24,Chhatisgarh,Teacher Education,1519.28,0.0,2691.07,2691.07,4210.35,
2023-24,Chhatisgarh,Total,60118.07,26052.73,141116.2,167168.93,227287.0,
2023-24,Chhatisgarh,Elementary,32873.39,16752.7,100536.14,117288.84,150162.23,
2023-24,Chhatisgarh,Secondary,25725.4,9300.03,37888.99,47189.02,72914.42,
2023-24,Daman and Diu and Dadra and Nagar Haveli,Total,1872.7,301.6,7366.13,7667.73,9540.43,
