Year,State,Major Component,Proposed by State - Total,Proposed by State - % of Total,Recommended by DoSEL - Total,Recommended by DoSEL - % of Total
2019-20,Puducherry,Vocational Education,286.95,7.49,60.87,2.19
2019-20,Puducherry,Inclusive Education,81.18,2.12,77.57,2.79
2019-20,Puducherry,Gender & Equity,61.97,1.62,53.18,1.91
2019-20,Puducherry,Monitoring of the Scheme,4.26,0.11,4.79,0.17
2019-20,Puducherry,Sports & Physical Education,49.5,1.29,49.5,1.78
2019-20,Puducherry,Quality Interventions,2066.93,53.98,1593.14,57.24
2019-20,Puducherry,RTE Entitlements,479.53,12.52,479.53,17.23
2019-20,Puducherry,Teacher Education,273.51,7.14,149.07,5.36
2019-20,Punjab,Monitoring of the Scheme,120.55,0.09,107.02,0.1
2019-20,Punjab,Inclusive Education,2570.54,1.93,2238.91,2.12
2019-20,Punjab,Teacher Education,2859.7,2.14,1940.3,1.84
2019-20,Punjab,Sports & Physical Education,1827.35,1.37,1827.35,1.73
2019-20,Punjab,Quality Interventions,60969.01,45.71,41635.01,39.5
2019-20,Punjab,Vocational Education,6431.62,4.82,6388.65,6.06
2019-20,Punjab,Program Management,3059.0,2.29,5019.37,4.76
2019-20,Punjab,Financial Support for Teachers,30097.8,22.57,26746.2,25.37
2019-20,Punjab,RTE Entitlements,14765.15,11.07,14278.56,13.55
2019-20,Punjab,Access & Retention,4861.19,3.64,2211.53,2.1
2019-20,Punjab,Gender & Equity,5817.12,4.36,3013.96,2.86
2019-20,Punjab,Total of all Major Components,133379.04,100.0,105406.86,100.0
2019-20,Rajasthan,Gender & Equity,33732.65,4.17,24977.13,4.96
2019-20,Rajasthan,Vocational Education,17553.42,2.17,14598.96,2.9
2019-20,Rajasthan,Monitoring of the Scheme,328.48,0.04,328.48,0.07
2019-20,Rajasthan,Inclusive Education,3400.33,0.42,3282.11,0.65
2019-20,Rajasthan,Program Management,46199.62,5.71,23988.99,4.76
2019-20,Rajasthan,Financial Support for Teachers,299118.6,36.99,209534.4,41.59
2019-20,Rajasthan,Teacher Education,20788.27,2.57,6656.52,1.32
2019-20,Rajasthan,Sports & Physical Education,6956.21,0.86,6956.21,1.38
2019-20,Rajasthan,Quality Interventions,226017.26,27.95,126532.68,25.12
2019-20,Rajasthan,RTE Entitlements,41248.12,5.1,40830.79,8.11
2019-20,Rajasthan,Access & Retention,113217.38,14.0,46082.43,9.15
2019-20,Rajasthan,Total of all Major Components,808560.34,100.0,503768.7,100.0
2019-20,Sikkim,Program Management,1074.0,5.6,515.33,4.76
2019-20,Sikkim,Access & Retention,171.68,0.9,171.14,1.58
2019-20,Sikkim,RTE Entitlements,583.33,3.04,577.2,5.33
2019-20,Sikkim,Quality Interventions,10752.77,56.09,4529.12,41.83
2019-20,Sikkim,Sports & Physical Education,199.5,1.04,158.4,1.46
2019-20,Sikkim,Inclusive Education,62.02,0.32,61.34,0.57
2019-20,Sikkim,Financial Support for Teachers,1742.74,9.09,1742.74,16.1
2019-20,Sikkim,Gender & Equity,406.47,2.12,208.47,1.93
2019-20,Sikkim,Vocational Education,3096.76,16.15,2230.3,20.6
2019-20,Sikkim,Total of all Major Components,19169.39,100.0,10826.97,100.0
2019-20,Sikkim,Teacher Education,1037.11,5.41,630.21,5.82
2019-20,Sikkim,Monitoring of the Scheme,43.0,0.22,2.72,0.03
2019-20,Tamil Nadu,Access & Retention,48571.67,12.08,18983.42,5.99
2019-20,Tamil Nadu,Total of all Major Components,402012.83,100.0,317123.41,100.0
2019-20,Tamil Nadu,RTE Entitlements,56681.37,14.1,42788.68,13.49
2019-20,Tamil Nadu,Quality Interventions,114046.49,28.37,89071.85,28.09
2019-20,Tamil Nadu,Sports & Physical Education,176.4,0.04,176.4,0.06
2019-20,Tamil Nadu,Teacher Education,12885.59,3.21,7295.04,2.3
2019-20,Tamil Nadu,Financial Support for Teachers,133929.76,33.31,127694.16,40.27
2019-20,Tamil Nadu,Gender & Equity,9906.47,2.46,6776.86,2.14
2019-20,Tamil Nadu,Inclusive Education,7959.71,1.98,7831.01,2.47
2019-20,Tamil Nadu,Vocational Education,1829.86,0.46,1158.25,0.37
2019-20,Tamil Nadu,Monitoring of the Scheme,267.14,0.07,246.63,0.08
2019-20,Tamil Nadu,Program Management,15758.38,3.92,15101.11,4.76
2019-20,Telangana,Program Management,10506.79,3.73,9887.32,4.76
2019-20,Telangana,Monitoring of the Scheme,1266.88,0.45,130.74,0.06
2019-20,Telangana,Vocational Education,7146.88,2.53,4169.47,2.01
2019-20,Telangana,Inclusive Education,1740.59,0.62,1720.11,0.83
2019-20,Telangana,Quality Interventions,44507.21,15.79,39147.27,18.86
2019-20,Telangana,RTE Entitlements,22525.48,7.99,22473.51,10.82
2019-20,Telangana,Financial Support for Teachers,49423.44,17.53,39473.64,19.01
2019-20,Telangana,Teacher Education,4420.5,1.57,1757.85,0.85
2019-20,Telangana,Sports & Physical Education,2758.65,0.98,2945.35,1.42
2019-20,Telangana,Access & Retention,40611.6,14.4,14110.99,6.8
2019-20,Telangana,Gender & Equity,97034.76,34.42,71794.92,34.58
2019-20,Telangana,Total of all Major Components,281942.78,100.0,207611.18,100.0
2019-20,Tripura,Total of all Major Components,62690.09,100.0,35004.43,100.0
2019-20,Tripura,Vocational Education,975.56,1.56,443.8,1.27
2019-20,Tripura,Inclusive Education,163.64,0.26,141.39,0.4
2019-20,Tripura,Gender & Equity,778.84,1.24,770.88,2.2
2019-20,Tripura,Financial Support for Teachers,12285.6,19.6,8692.21,24.83
2019-20,Tripura,Sports & Physical Education,206.85,0.33,206.85,0.59
2019-20,Tripura,Quality Interventions,22248.94,35.49,9703.2,27.72
2019-20,Tripura,RTE Entitlements,4904.39,7.82,4321.25,12.34
2019-20,Tripura,Access & Retention,17280.93,27.57,7652.12,21.86
2019-20,Tripura,Monitoring of the Scheme,14.6,0.02,14.6,0.04
2019-20,Tripura,Teacher Education,1730.77,2.76,1391.26,3.97
2019-20,Tripura,Program Management,2099.97,3.35,1666.87,4.76
2019-20,Uttar Pradesh,Access & Retention,43174.79,3.99,10580.43,1.15
2019-20,Uttar Pradesh,Monitoring of the Scheme,906.99,0.08,906.99,0.1
2019-20,Uttar Pradesh,Vocational Education,1202.0,0.11,1192.0,0.13
2019-20,Uttar Pradesh,Inclusive Education,5963.11,0.55,5871.55,0.64
2019-20,Uttar Pradesh,Gender & Equity,210076.24,19.41,130032.11,14.09
2019-20,Uttar Pradesh,Financial Support for Teachers,453882.07,41.95,401231.6,43.47
2019-20,Uttar Pradesh,Teacher Education,19849.95,1.83,11702.1,1.27
2019-20,Uttar Pradesh,Sports & Physical Education,10815.95,1.0,10755.95,1.17
2019-20,Uttar Pradesh,Quality Interventions,158636.46,14.66,153817.0,16.67
2019-20,Uttar Pradesh,RTE Entitlements,154478.18,14.28,152870.03,16.56
2019-20,Uttar Pradesh,Program Management,23087.9,2.13,43947.99,4.76
2019-20,Uttar Pradesh,Total of all Major Components,1082073.65,100.0,922907.76,100.0
2019-20,Uttarakhand,Total of all Major Components,110896.26,100.0,75280.96,100.0
2019-20,Uttarakhand,Vocational Education,1194.75,1.08,835.13,1.11
2019-20,Uttarakhand,Inclusive Education,341.68,0.31,339.1,0.45
2019-20,Uttarakhand,Gender & Equity,2161.08,1.95,1904.44,2.53
2019-20,Uttarakhand,Financial Support for Teachers,21611.99,19.49,18764.99,24.93
2019-20,Uttarakhand,Teacher Education,11966.36,10.79,2931.52,3.89
2019-20,Uttarakhand,Sports & Physical Education,1451.3,1.31,1462.85,1.94
2019-20,Uttarakhand,Quality Interventions,31990.85,28.85,23424.16,31.12
2019-20,Uttarakhand,RTE Entitlements,12245.08,11.04,12035.25,15.99
2019-20,Uttarakhand,Access & Retention,22323.19,20.13,9951.55,13.22
2019-20,Uttarakhand,Monitoring of the Scheme,70.74,0.06,47.16,0.06
2019-20,Uttarakhand,Program Management,5539.24,4.99,3584.81,4.76
2019-20,West Bengal,Program Management,19230.0,2.35,20230.9,4.76
2019-20,West Bengal,RTE Entitlements,77401.95,9.48,68321.67,16.08
2019-20,West Bengal,Quality Interventions,100713.81,12.33,75418.32,17.75
2019-20,West Bengal,Sports & Physical Education,6282.05,0.77,6188.65,1.46
2019-20,West Bengal,Teacher Education,2248.62,0.28,1404.73,0.33
2019-20,West Bengal,Total of all Major Components,816780.48,100.0,424849.29,100.0
2019-20,West Bengal,Gender & Equity,10001.97,1.22,5712.02,1.34
2019-20,West Bengal,Inclusive Education,7102.12,0.87,6176.77,1.45
2019-20,West Bengal,Vocational Education,12691.57,1.55,8408.75,1.98
2019-20,West Bengal,Monitoring of the Scheme,366.99,0.04,333.6,0.08
2019-20,West Bengal,Access & Retention,373865.15,45.77,25777.81,6.07
2019-20,West Bengal,Financial Support for Teachers,206876.24,25.33,206876.07,48.69
2020-21,Andaman and Nicobar Islands,Program Management,300.0,4.5,253.54,4.74
2020-21,Andaman and Nicobar Islands,Monitoring of the Scheme,1.38,0.02,1.38,0.03
2020-21,Andaman and Nicobar Islands,Inclusive Education,85.39,1.28,54.11,1.01
2020-21,Andaman and Nicobar Islands,Gender & Equity,111.18,1.67,82.68,1.55
2020-21,Andaman and Nicobar Islands,Financial Support for Teachers,1478.94,22.19,1478.94,27.67
2020-21,Andaman and Nicobar Islands,Vocational Education,650.24,9.75,479.91,8.98
2020-21,Andaman and Nicobar Islands,Sports & Physical Education,37.05,0.56,37.05,0.69
2020-21,Andaman and Nicobar Islands,Quality Interventions,2436.1,36.54,2076.73,38.85
2020-21,Andaman and Nicobar Islands,RTE Entitlements,316.42,4.75,274.33,5.13
2020-21,Andaman and Nicobar Islands,Access & Retention,1181.58,17.73,539.29,10.09
2020-21,Andaman and Nicobar Islands,Teacher Education,67.74,1.02,67.7,1.27
2020-21,Andaman and Nicobar Islands,Total of all Major Components,6666.03,100.0,5345.66,100.0
2020-21,Andhra Pradesh,Access & Retention,54183.25,15.16,14184.15,7.11
2020-21,Andhra Pradesh,Program Management,25585.0,7.16,9496.52,4.76
2020-21,Andhra Pradesh,Quality Interventions,121573.72,34.02,58706.42,29.44
2020-21,Andhra Pradesh,Sports & Physical Education,3847.25,1.08,3836.0,1.92
2020-21,Andhra Pradesh,Teacher Education,3077.01,0.86,1277.3,0.64
2020-21,Andhra Pradesh,Financial Support for Teachers,41490.96,11.61,29371.56,14.73
2020-21,Andhra Pradesh,Gender & Equity,54639.36,15.29,38103.75,19.11
2020-21,Andhra Pradesh,Inclusive Education,5516.99,1.54,4774.89,2.39
2020-21,Andhra Pradesh,Vocational Education,10422.74,2.92,6702.1,3.36
2020-21,Andhra Pradesh,Monitoring of the Scheme,157.21,0.04,157.21,0.08
2020-21,Andhra Pradesh,Total of all Major Components,357312.81,100.0,199426.96,100.0
2020-21,Andhra Pradesh,RTE Entitlements,36819.31,10.3,32817.07,16.46
2020-21,Arunachal Pradesh,Total of all Major Components,49340.12,100.0,44287.99,100.0
2020-21,Arunachal Pradesh,Access & Retention,11883.34,24.08,8598.24,19.41
2020-21,Arunachal Pradesh,RTE Entitlements,1759.33,3.57,1758.83,3.97
2020-21,Arunachal Pradesh,Quality Interventions,8489.6,17.21,5860.06,13.23
2020-21,Arunachal Pradesh,Teacher Education,2170.56,4.4,1583.63,3.58
2020-21,Arunachal Pradesh,Sports & Physical Education,248.3,0.5,248.3,0.56
2020-21,Arunachal Pradesh,Gender & Equity,5176.96,10.49,7104.04,16.04
2020-21,Arunachal Pradesh,Inclusive Education,108.02,0.22,85.06,0.19
2020-21,Arunachal Pradesh,Vocational Education,1059.89,2.15,1059.89,2.39
2020-21,Arunachal Pradesh,Monitoring of the Scheme,6.59,0.01,6.59,0.01
2020-21,Arunachal Pradesh,Program Management,3029.53,6.14,2575.36,5.82
2020-21,Arunachal Pradesh,Financial Support for Teachers,15408.0,31.23,15408.0,34.79
2020-21,Assam,Inclusive Education,3391.23,1.25,3114.95,1.44
2020-21,Assam,Program Management,10983.49,4.05,10291.38,4.76
2020-21,Assam,Monitoring of the Scheme,149.08,0.05,138.61,0.06
2020-21,Assam,Vocational Education,7023.51,2.59,5513.24,2.55
2020-21,Assam,Gender & Equity,10272.78,3.79,9470.28,4.38
2020-21,Assam,Total of all Major Components,271371.66,100.0,216119.02,100.0
2020-21,Assam,Teacher Education,5976.88,2.2,5119.07,2.37
2020-21,Assam,Sports & Physical Education,3457.75,1.27,3457.75,1.6
2020-21,Assam,Quality Interventions,93508.78,34.46,56130.67,25.97
2020-21,Assam,RTE Entitlements,44912.46,16.55,44649.02,20.66
2020-21,Assam,Access & Retention,25736.48,9.48,12319.86,5.7
2020-21,Assam,Financial Support for Teachers,65959.2,24.31,65914.2,30.5
2020-21,Bihar,Access & Retention,19117.21,1.35,1838.48,0.29
2020-21,Bihar,RTE Entitlements,144202.87,10.15,144197.51,22.56
2020-21,Bihar,Sports & Physical Education,6106.7,0.43,6106.7,0.96
2020-21,Bihar,Teacher Education,1805.2,0.13,257.7,0.04
2020-21,Bihar,Quality Interventions,87131.28,6.13,71958.33,11.26
2020-21,Bihar,Total of all Major Components,1420713.29,100.0,639279.14,100.0
2020-21,Bihar,Gender & Equity,81608.39,5.74,39972.97,6.25
2020-21,Bihar,Inclusive Education,4427.16,0.31,3694.0,0.58
2020-21,Bihar,Vocational Education,497.8,0.04,203.3,0.03
2020-21,Bihar,Monitoring of the Scheme,478.49,0.03,478.49,0.07
2020-21,Bihar,Program Management,35080.75,2.47,30441.86,4.76
2020-21,Bihar,Financial Support for Teachers,1040257.44,73.22,340129.8,53.21
2020-21,Chandigarh,Quality Interventions,1081.02,10.89,919.84,10.33
2020-21,Chandigarh,Sports & Physical Education,49.4,0.5,49.4,0.55
2020-21,Chandigarh,Teacher Education,36.14,0.36,24.25,0.27
2020-21,Chandigarh,Financial Support for Teachers,7192.11,72.48,6323.72,71.0
2020-21,Chandigarh,Gender & Equity,26.5,0.27,19.44,0.22
2020-21,Chandigarh,Monitoring of the Scheme,23.15,0.23,4.85,0.05
2020-21,Chandigarh,Vocational Education,131.1,1.32,122.36,1.37
2020-21,Chandigarh,Program Management,344.87,3.48,424.12,4.76
2020-21,Chandigarh,Total of all Major Components,9923.02,100.0,8906.58,100.0
2020-21,Chandigarh,RTE Entitlements,804.0,8.1,804.0,9.03
2020-21,Chandigarh,Inclusive Education,234.73,2.37,214.6,2.41
2020-21,Chhattisgarh,RTE Entitlements,47286.64,24.7,32491.76,24.47
2020-21,Chhattisgarh,Quality Interventions,84876.35,44.33,53704.04,40.45
2020-21,Chhattisgarh,Gender & Equity,5598.96,2.92,5274.14,3.97
2020-21,Chhattisgarh,Sports & Physical Education,3997.3,2.09,3996.95,3.01
2020-21,Chhattisgarh,Teacher Education,4932.0,2.58,1928.57,1.45
2020-21,Chhattisgarh,Financial Support for Teachers,3865.8,2.02,3368.1,2.54
2020-21,Chhattisgarh,Inclusive Education,1748.64,0.91,1470.37,1.11
2020-21,Chhattisgarh,Vocational Education,8877.58,4.64,8495.36,6.4
2020-21,Chhattisgarh,Monitoring of the Scheme,113.58,0.06,113.58,0.09
2020-21,Chhattisgarh,Program Management,11037.51,5.76,6321.94,4.76
2020-21,Chhattisgarh,Total of all Major Components,191463.46,100.0,132760.74,100.0
2020-21,Chhattisgarh,Access & Retention,19129.1,9.99,15595.92,11.75
2020-21,Daman and Diu and Dadra and Nagar Haveli,Program Management,447.38,5.27,294.99,4.76
2020-21,Daman and Diu and Dadra and Nagar Haveli,Monitoring of the Scheme,0.78,0.01,0.78,0.01
2020-21,Daman and Diu and Dadra and Nagar Haveli,Inclusive Education,102.26,1.2,97.55,1.57
2020-21,Daman and Diu and Dadra and Nagar Haveli,Gender & Equity,169.31,1.99,150.03,2.42
2020-21,Daman and Diu and Dadra and Nagar Haveli,Financial Support for Teachers,3815.66,44.93,3766.03,60.79
2020-21,Daman and Diu and Dadra and Nagar Haveli,Teacher Education,291.87,3.44,125.96,2.03
2020-21,Daman and Diu and Dadra and Nagar Haveli,Access & Retention,1475.0,17.37,343.98,5.55
2020-21,Daman and Diu and Dadra and Nagar Haveli,Sports & Physical Education,37.35,0.44,37.35,0.6
2020-21,Daman and Diu and Dadra and Nagar Haveli,Quality Interventions,1775.33,20.9,1072.58,17.31
2020-21,Daman and Diu and Dadra and Nagar Haveli,RTE Entitlements,130.07,1.53,130.07,2.1
2020-21,Daman and Diu and Dadra and Nagar Haveli,Vocational Education,247.57,2.92,175.46,2.83
2020-21,Daman and Diu and Dadra and Nagar Haveli,Total of all Major Components,8492.59,100.0,6194.78,100.0
2020-21,Delhi,RTE Entitlements,23526.29,25.76,21061.13,44.08
2020-21,Delhi,Total of all Major Components,91330.84,100.0,47778.33,100.0
2020-21,Delhi,Program Management,10628.52,11.64,2275.16,4.76
2020-21,Delhi,Monitoring of the Scheme,88.4,0.1,82.88,0.17
2020-21,Delhi,Vocational Education,2964.47,3.25,961.35,2.01
2020-21,Delhi,Inclusive Education,4572.25,5.01,3372.24,7.06
2020-21,Delhi,Gender & Equity,1261.54,1.38,450.9,0.94
2020-21,Delhi,Teacher Education,4190.78,4.59,2065.47,4.32
2020-21,Delhi,Sports & Physical Education,649.39,0.71,353.3,0.74
2020-21,Delhi,Quality Interventions,19757.56,21.63,10022.76,20.98
2020-21,Delhi,Access & Retention,16223.45,17.76,3399.04,7.11
2020-21,Delhi,Financial Support for Teachers,7468.2,8.18,3734.1,7.82
2020-21,Goa,Access & Retention,153.31,2.62,150.92,3.49
2020-21,Goa,RTE Entitlements,612.72,10.46,604.9,13.97
2020-21,Goa,Quality Interventions,1952.33,33.34,1335.3,30.85
2020-21,Goa,Sports & Physical Education,39.0,0.67,39.0,0.9
2020-21,Goa,Teacher Education,371.5,6.34,201.45,4.65
2020-21,Goa,Financial Support for Teachers,467.32,7.98,385.2,8.9
2020-21,Goa,Gender & Equity,129.12,2.2,117.33,2.71
2020-21,Goa,Inclusive Education,160.6,2.74,104.33,2.41
2020-21,Goa,Vocational Education,1649.4,28.17,1178.69,27.23
2020-21,Goa,Monitoring of the Scheme,5.64,0.1,5.64,0.13
2020-21,Goa,Program Management,315.0,5.38,206.14,4.76
2020-21,Goa,Total of all Major Components,5855.94,100.0,4328.91,100.0
2020-21,Gujarat,Access & Retention,65017.86,16.75,19055.71,6.7
2020-21,Gujarat,Total of all Major Components,388214.06,100.0,284530.48,100.0
2020-21,Gujarat,Teacher Education,8114.5,2.09,3818.97,1.34
2020-21,Gujarat,RTE Entitlements,39984.29,10.3,28657.2,10.07
2020-21,Gujarat,Quality Interventions,97955.01,25.23,72648.55,25.53
2020-21,Gujarat,Sports & Physical Education,3228.4,0.83,3220.45,1.13
2020-21,Gujarat,Financial Support for Teachers,124131.0,31.97,122031.0,42.89
2020-21,Gujarat,Gender & Equity,12131.48,3.12,10667.92,3.75
2020-21,Gujarat,Inclusive Education,11231.19,2.89,8279.76,2.91
2020-21,Gujarat,Vocational Education,7441.1,1.92,2372.23,0.83
2020-21,Gujarat,Monitoring of the Scheme,229.63,0.06,229.63,0.08
2020-21,Gujarat,Program Management,18749.6,4.83,13549.07,4.76
2020-21,Haryana,Inclusive Education,1993.23,1.37,1926.23,1.63
2020-21,Haryana,Total of all Major Components,145924.93,100.0,118337.76,100.0
2020-21,Haryana,Program Management,7450.0,5.11,5635.13,4.76
2020-21,Haryana,Monitoring of the Scheme,111.28,0.08,111.28,0.09
2020-21,Haryana,Vocational Education,26463.84,18.14,18661.27,15.77
2020-21,Haryana,Gender & Equity,5316.38,3.64,4612.34,3.9
2020-21,Haryana,Access & Retention,1345.89,0.92,1016.81,0.86
2020-21,Haryana,Teacher Education,6842.51,4.69,3853.66,3.26
2020-21,Haryana,Sports & Physical Education,1499.6,1.03,1499.6,1.27
2020-21,Haryana,Quality Interventions,42846.83,29.36,30792.47,26.02
2020-21,Haryana,RTE Entitlements,14054.66,9.63,12523.29,10.58
2020-21,Haryana,Financial Support for Teachers,38000.7,26.04,37705.68,31.86
2020-21,Himachal Pradesh,Vocational Education,21792.81,21.07,10947.37,18.06
2020-21,Himachal Pradesh,Gender & Equity,973.06,0.94,953.76,1.57
2020-21,Himachal Pradesh,Financial Support for Teachers,14333.4,13.86,10650.0,17.57
2020-21,Himachal Pradesh,Teacher Education,4016.77,3.88,1792.38,2.96
2020-21,Himachal Pradesh,Sports & Physical Education,1422.05,1.37,1422.05,2.35
2020-21,Himachal Pradesh,Quality Interventions,38405.63,37.13,24205.52,39.93
2020-21,Himachal Pradesh,Monitoring of the Scheme,29.52,0.03,27.48,0.05
2020-21,Himachal Pradesh,Access & Retention,14089.8,13.62,3209.34,5.29
2020-21,Himachal Pradesh,Total of all Major Components,103432.99,100.0,60616.1,100.0
2020-21,Himachal Pradesh,Program Management,3804.19,3.68,2886.48,4.76
2020-21,Himachal Pradesh,RTE Entitlements,4168.25,4.03,4165.64,6.87
2020-21,Himachal Pradesh,Inclusive Education,397.51,0.38,356.06,0.59
2020-21,Jammu and Kashmir,Access & Retention,46381.41,19.82,4699.47,4.38
2020-21,Jammu and Kashmir,Financial Support for Teachers,106837.29,45.65,46160.84,42.99
2020-21,Jammu and Kashmir,Quality Interventions,40308.18,17.22,25401.18,23.66
2020-21,Jammu and Kashmir,RTE Entitlements,15818.07,6.76,10493.27,9.77
2020-21,Jammu and Kashmir,Program Management,4390.76,1.88,5112.76,4.76
2020-21,Jammu and Kashmir,Monitoring of the Scheme,216.19,0.09,44.13,0.04
2020-21,Jammu and Kashmir,Vocational Education,6735.37,2.88,4353.57,4.05
2020-21,Jammu and Kashmir,Total of all Major Components,234020.1,100.0,107367.97,100.0
2020-21,Jammu and Kashmir,Gender & Equity,6760.8,2.89,5842.5,5.44
2020-21,Jammu and Kashmir,Teacher Education,3499.73,1.5,2344.67,2.18
2020-21,Jammu and Kashmir,Sports & Physical Education,2040.5,0.87,1998.6,1.86
2020-21,Jammu and Kashmir,Inclusive Education,1031.8,0.44,916.98,0.85
2020-21,Jharkhand,RTE Entitlements,36820.0,14.31,36188.94,17.28
2020-21,Jharkhand,Total of all Major Components,257307.68,100.0,209387.99,100.0
2020-21,Jharkhand,Sports & Physical Education,2481.29,0.96,2057.59,0.98
2020-21,Jharkhand,Teacher Education,1801.0,0.7,507.77,0.24
2020-21,Jharkhand,Financial Support for Teachers,114875.68,44.65,92322.9,44.09
2020-21,Jharkhand,Gender & Equity,20391.67,7.93,19184.33,9.16
2020-21,Jharkhand,Inclusive Education,780.19,0.3,542.03,0.26
2020-21,Jharkhand,Vocational Education,5737.42,2.23,3726.75,1.78
2020-21,Jharkhand,Monitoring of the Scheme,684.79,0.27,152.18,0.07
2020-21,Jharkhand,Program Management,17657.8,6.86,9970.86,4.76
2020-21,Jharkhand,Quality Interventions,54050.63,21.01,42822.71,20.45
2020-21,Jharkhand,Access & Retention,2027.21,0.79,1911.94,0.91
2020-21,Karnataka,Monitoring of the Scheme,208.45,0.09,208.45,0.14
2020-21,Karnataka,Program Management,12268.55,5.25,6938.3,4.76
2020-21,Karnataka,Vocational Education,3783.71,1.62,2298.95,1.58
2020-21,Karnataka,Inclusive Education,7787.15,3.33,4775.47,3.28
2020-21,Karnataka,Gender & Equity,11068.04,4.73,7274.26,4.99
2020-21,Karnataka,Financial Support for Teachers,32047.2,13.7,16929.0,11.62
2020-21,Karnataka,Total of all Major Components,233856.89,100.0,145704.32,100.0
2020-21,Karnataka,Sports & Physical Education,999.55,0.43,999.55,0.69
2020-21,Karnataka,Quality Interventions,97737.95,41.79,62912.05,43.18
2020-21,Karnataka,RTE Entitlements,34279.99,14.66,34275.94,23.52
2020-21,Karnataka,Access & Retention,27877.52,11.92,5358.44,3.68
2020-21,Karnataka,Teacher Education,5798.79,2.48,3733.91,2.56
2020-21,Kerala,Quality Interventions,45286.84,41.23,30299.85,42.15
2020-21,Kerala,Sports & Physical Education,534.35,0.49,528.3,0.73
2020-21,Kerala,Teacher Education,4637.0,4.22,2943.51,4.1
2020-21,Kerala,Total of all Major Components,109844.17,100.0,71878.46,100.0
2020-21,Kerala,Gender & Equity,1371.9,1.25,549.88,0.77
2020-21,Kerala,Access & Retention,5299.61,4.82,1677.28,2.33
2020-21,Kerala,Inclusive Education,16874.21,15.36,11288.27,15.7
2020-21,Kerala,Vocational Education,8453.33,7.7,1293.65,1.8
2020-21,Kerala,Monitoring of the Scheme,114.62,0.1,114.62,0.16
2020-21,Kerala,Program Management,2800.0,2.55,3422.78,4.76
2020-21,Kerala,Financial Support for Teachers,11505.6,10.47,7309.8,10.17
2020-21,Kerala,RTE Entitlements,12966.72,11.8,12450.51,17.32
2020-21,Ladakh,Program Management,2140.65,11.96,312.61,3.77
2020-21,Ladakh,Monitoring of the Scheme,0.92,0.01,0.92,0.01
2020-21,Ladakh,Vocational Education,352.75,1.97,192.89,2.32
2020-21,Ladakh,Gender & Equity,731.35,4.09,491.44,5.92
2020-21,Ladakh,Teacher Education,150.28,0.84,139.8,1.68
2020-21,Ladakh,Sports & Physical Education,85.35,0.48,50.09,0.6
2020-21,Ladakh,Quality Interventions,3276.2,18.3,1747.42,21.06
2020-21,Ladakh,RTE Entitlements,183.2,1.02,178.08,2.15
2020-21,Ladakh,Access & Retention,9764.0,54.54,4271.39,51.48
2020-21,Ladakh,Total of all Major Components,17901.74,100.0,8297.3,100.0
2020-21,Ladakh,Inclusive Education,73.2,0.41,36.84,0.44
2020-21,Ladakh,Financial Support for Teachers,1143.84,6.39,875.82,10.56
2020-21,Lakshadweep,Monitoring of the Scheme,0.26,0.03,0.23,0.04
2020-21,Lakshadweep,Total of all Major Components,1006.2,100.0,655.55,100.0
2020-21,Lakshadweep,Program Management,60.0,5.96,40.0,6.1
2020-21,Lakshadweep,Vocational Education,37.41,3.72,37.1,5.66
2020-21,Lakshadweep,Gender & Equity,16.78,1.67,11.9,1.82
2020-21,Lakshadweep,Financial Support for Teachers,50.16,4.99,48.62,7.42
2020-21,Lakshadweep,Inclusive Education,45.35,4.51,36.82,5.62
2020-21,Lakshadweep,Sports & Physical Education,9.85,0.98,5.5,0.84
2020-21,Lakshadweep,RTE Entitlements,1.94,0.19,1.94,0.3
2020-21,Lakshadweep,Quality Interventions,682.45,67.82,432.16,65.92
2020-21,Lakshadweep,Access & Retention,60.0,5.96,6.88,1.05
2020-21,Lakshadweep,Teacher Education,42.0,4.17,34.4,5.25
2020-21,Madhya Pradesh,Inclusive Education,2919.4,0.46,2944.4,0.62
2020-21,Madhya Pradesh,Quality Interventions,142842.86,22.41,112672.51,23.81
2020-21,Madhya Pradesh,Financial Support for Teachers,264514.8,41.5,178337.4,37.69
2020-21,Madhya Pradesh,Gender & Equity,18957.75,2.97,16604.75,3.51
2020-21,Madhya Pradesh,Vocational Education,16128.45,2.53,15323.17,3.24
2020-21,Madhya Pradesh,Sports & Physical Education,9374.15,1.47,9274.7,1.96
2020-21,Madhya Pradesh,Program Management,26823.77,4.21,22534.02,4.76
2020-21,Madhya Pradesh,Total of all Major Components,637329.0,100.0,473214.52,100.0
2020-21,Madhya Pradesh,Teacher Education,5224.78,0.82,3542.57,0.75
2020-21,Madhya Pradesh,Access & Retention,46204.63,7.25,23432.02,4.95
2020-21,Madhya Pradesh,RTE Entitlements,103549.22,16.25,88236.09,18.65
2020-21,Madhya Pradesh,Monitoring of the Scheme,789.19,0.12,312.88,0.07
2020-21,Maharashtra,Monitoring of the Scheme,447.12,0.28,447.12,0.3
2020-21,Maharashtra,Program Management,7570.88,4.73,7066.8,4.76
2020-21,Maharashtra,Vocational Education,8766.36,5.47,8164.21,5.5
2020-21,Maharashtra,Inclusive Education,13969.86,8.72,9671.03,6.52
2020-21,Maharashtra,Gender & Equity,3669.81,2.29,2841.4,1.91
2020-21,Maharashtra,Financial Support for Teachers,12652.5,7.9,12652.5,8.53
